controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.2->0.0, gamma: 1.0
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 2000, 1.0, 0.8333333333333333, 15860, 17860
0, 4000, 1.0, 1.0, 31750, 35750
0, 6000, 1.0, 1.0, 47421, 53421
0, 8000, 1.0, 1.0, 62738, 70738
0, 10000, 1.0, 0.9166666666666666, 78786, 88786
0, 12000, 1.0, 0.9166666666666666, 94759, 106759
0, 14000, 1.0, 0.9166666666666666, 111032, 125032
0, 16000, 1.0, 1.0, 126654, 142654
0, 18000, 1.0, 1.0, 142151, 160151
0, 20000, 1.0, 1.0, 158378, 178378
0, 22000, 1.0, 0.9166666666666666, 174542, 196542
0, 24000, 1.0, 1.0, 190202, 214202
0, 26000, 1.0, 1.0, 206695, 232695
0, 28000, 1.0, 1.0, 223112, 251112
0, 30000, 1.0, 1.0, 238764, 268764
0, 32000, 1.0, 1.0, 254718, 286718
0, 34000, 1.0, 1.0, 270618, 304618
0, 36000, 1.0, 1.0, 286611, 322611
0, 38000, 1.0, 1.0, 301787, 339787
0, 40000, 1.0, 1.0, 316895, 356895
0, 42000, 1.0, 1.0, 332473, 374473
0, 44000, 1.0, 1.0, 347452, 391452
0, 46000, 1.0, 1.0, 363626, 409626
0, 48000, 1.0, 1.0, 378248, 426248
0, 50000, 1.0, 1.0, 393092, 443092
0, 52000, 1.0, 1.0, 408297, 460297
0, 54000, 1.0, 1.0, 422494, 476494
0, 56000, 1.0, 1.0, 436450, 492450
0, 58000, 1.0, 1.0, 451541, 509541
0, 60000, 1.0, 1.0, 466664, 526664
0, 62000, 1.0, 1.0, 480813, 542813
0, 64000, 1.0, 1.0, 494082, 558082
0, 66000, 1.0, 1.0, 507131, 573131
0, 68000, 1.0, 0.9166666666666666, 521204, 589204
0, 70000, 1.0, 1.0, 534814, 604814
0, 72000, 1.0, 1.0, 548452, 620452
0, 74000, 1.0, 1.0, 562414, 636414
0, 76000, 1.0, 1.0, 575847, 651847
0, 78000, 1.0, 1.0, 589159, 667159
0, 80000, 1.0, 1.0, 602316, 682316
0, 82000, 0.6666666666666666, 0.9166666666666666, 615278, 697278
0, 84000, 1.0, 1.0, 628320, 712320
0, 86000, 1.0, 1.0, 641186, 727186
0, 88000, 1.0, 1.0, 654120, 742120
0, 90000, 1.0, 1.0, 666781, 756781
0, 92000, 1.0, 1.0, 679119, 771119
0, 94000, 1.0, 0.9166666666666666, 691460, 785460
0, 96000, 1.0, 1.0, 703603, 799603
0, 98000, 1.0, 1.0, 715688, 813688
0, 100000, 1.0, 1.0, 727566, 827566
1, 2000, 0.0, 0.0, 18779, 20779
1, 4000, 1.0, 0.5833333333333333, 34345, 38345
1, 6000, 1.0, 0.8333333333333334, 51007, 57007
1, 8000, 0.3333333333333333, 1.0, 67101, 75101
1, 10000, 1.0, 0.9166666666666666, 83932, 93932
1, 12000, 1.0, 1.0, 99660, 111660
1, 14000, 1.0, 1.0, 115859, 129859
1, 16000, 1.0, 1.0, 131842, 147842
1, 18000, 1.0, 0.9166666666666666, 147910, 165910
1, 20000, 1.0, 1.0, 163740, 183740
1, 22000, 1.0, 1.0, 179947, 201947
1, 24000, 1.0, 1.0, 196001, 220001
1, 26000, 1.0, 1.0, 211622, 237622
1, 28000, 1.0, 1.0, 227180, 255180
1, 30000, 1.0, 0.5833333333333334, 243590, 273590
1, 32000, 1.0, 1.0, 260397, 292397
1, 34000, 1.0, 1.0, 276915, 310915
1, 36000, 1.0, 1.0, 293164, 329164
1, 38000, 1.0, 1.0, 309755, 347755
1, 40000, 1.0, 0.9166666666666666, 325250, 365250
1, 42000, 1.0, 1.0, 341099, 383099
1, 44000, 1.0, 1.0, 357142, 401142
