controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.2, epsilon_init->final:1.0->0.2
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.0, 0.0, 0.0, 15476, 204199
0, 20000, 0.0, 0.08333333333333333, 0.0, 41043, 400620
0, 30000, 0.3333333333333333, 0.5, 0.0, 76249, 589735
0, 40000, 0.3333333333333333, 0.5833333333333333, 0.0, 120289, 772253
0, 50000, 0.3333333333333333, 0.75, 0.0, 172620, 949311
0, 60000, 1.0, 0.8333333333333334, 0.0, 232629, 1119530
0, 70000, 0.6666666666666666, 0.9166666666666666, 0.0, 299707, 1284057
0, 80000, 0.6666666666666666, 0.9166666666666666, 0.0, 374488, 1446083
0, 90000, 1.0, 1.0, 0.0, 456192, 1603135
0, 100000, 1.0, 1.0, 0.0, 543998, 1756873
0, 110000, 1.0, 0.9166666666666666, 0.0, 637238, 1905759
0, 120000, 1.0, 0.9166666666666666, 0.0, 737034, 2052295
0, 130000, 1.0, 1.0, 0.0, 843582, 2197440
0, 140000, 1.0, 0.9166666666666666, 0.0, 954586, 2337672
0, 150000, 1.0, 0.8333333333333333, 0.0, 1070070, 2474287
1, 10000, 0.0, 0.0, 0.0, 15399, 203952
1, 20000, 0.0, 0.0, 0.0, 41001, 400943
1, 30000, 0.0, 0.41666666666666663, 0.0, 76125, 589085
1, 40000, 0.3333333333333333, 0.3333333333333333, 0.0, 120019, 770754
1, 50000, 0.3333333333333333, 0.5833333333333333, 0.0, 172254, 945806
1, 60000, 0.6666666666666666, 0.6666666666666666, 0.0, 232597, 1116240
1, 70000, 1.0, 0.9166666666666666, 0.0, 299953, 1282380
1, 80000, 1.0, 0.9166666666666666, 0.0, 374987, 1444236
1, 90000, 0.3333333333333333, 1.0, 0.0, 456356, 1600946
1, 100000, 1.0, 0.75, 0.0, 544348, 1754851
1, 110000, 1.0, 1.0, 0.0, 638707, 1906086
1, 120000, 1.0, 1.0, 0.0, 739337, 2053732
1, 130000, 1.0, 0.9166666666666666, 0.0, 844959, 2197660
1, 140000, 1.0, 1.0, 0.0, 955665, 2337638
1, 150000, 1.0, 1.0, 0.0, 1074563, 2478318
2, 10000, 0.0, 0.0, 0.0, 15457, 203902
2, 20000, 0.0, 0.0, 0.0, 41245, 400878
2, 30000, 0.3333333333333333, 0.0, 0.0, 76197, 590282
2, 40000, 0.0, 0.25, 0.0, 120181, 772851
2, 50000, 0.3333333333333333, 0.3333333333333333, 0.0, 172545, 949427
2, 60000, 0.6666666666666666, 0.5, 0.0, 232623, 1119404
2, 70000, 1.0, 0.6666666666666666, 0.0, 300048, 1285188
2, 80000, 1.0, 0.9166666666666666, 0.0, 374461, 1445795
2, 90000, 1.0, 0.9166666666666666, 0.0, 455744, 1602387
2, 100000, 1.0, 0.9166666666666666, 0.0, 543917, 1756715
2, 110000, 1.0, 1.0, 0.0, 638211, 1907572
2, 120000, 1.0, 0.9166666666666666, 0.0, 739472, 2056252
2, 130000, 1.0, 1.0, 0.0, 846672, 2202032
2, 140000, 1.0, 1.0, 0.0, 957858, 2342659
2, 150000, 1.0, 1.0, 0.0, 1076430, 2483211
3, 10000, 0.0, 0.0, 0.0, 15461, 203758
3, 20000, 0.3333333333333333, 0.3333333333333333, 0.0, 40940, 400243
3, 30000, 1.0, 0.6666666666666666, 0.0, 75955, 589216
3, 40000, 0.0, 0.0, 0.0, 119807, 770603
3, 50000, 1.0, 0.3333333333333333, 0.0, 172262, 947530
3, 60000, 1.0, 0.41666666666666663, 0.0, 232313, 1117775
3, 70000, 1.0, 0.75, 0.0, 299682, 1282966
3, 80000, 1.0, 0.5833333333333334, 0.0, 373707, 1443707
3, 90000, 1.0, 1.0, 0.0, 454996, 1600712
3, 100000, 1.0, 0.8333333333333334, 0.0, 542906, 1754773
3, 110000, 1.0, 0.75, 0.0, 637329, 1905542
3, 120000, 1.0, 0.8333333333333334, 0.0, 738822, 2054363
3, 130000, 1.0, 0.8333333333333333, 0.0, 845970, 2200252
3, 140000, 1.0, 1.0, 0.0, 954188, 2336561
3, 150000, 1.0, 1.0, 0.0, 1066069, 2468391
4, 10000, 0.0, 0.0, 0.0, 15409, 203439
4, 20000, 0.0, 0.16666666666666666, 0.0, 41071, 399829
4, 30000, 0.0, 0.0, 0.0, 75847, 587878
4, 40000, 0.6666666666666666, 0.3333333333333333, 0.0, 119680, 768578
4, 50000, 1.0, 0.41666666666666663, 0.0, 171826, 943457
4, 60000, 0.6666666666666666, 0.3333333333333333, 0.0, 231773, 1112875
4, 70000, 1.0, 0.5833333333333333, 0.0, 298949, 1277309
4, 80000, 1.0, 0.8333333333333333, 0.0, 374108, 1439453
4, 90000, 1.0, 0.9166666666666666, 0.0, 455620, 1597428
4, 100000, 1.0, 1.0, 0.0, 544472, 1752876
4, 110000, 1.0, 1.0, 0.0, 639703, 1905048
4, 120000, 1.0, 1.0, 0.0, 741423, 2054491
4, 130000, 1.0, 1.0, 0.0, 848866, 2200548
4, 140000, 1.0, 0.9166666666666666, 0.0, 963048, 2345050
4, 150000, 1.0, 1.0, 0.0, 1084691, 2489186
