controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, AFTERSTATE:false, learnFromRM: false

run, gameNum, evalQ, evalT, evalM, actionNum
0, 5000, 0.0, 0.0, 0.0, 7552
0, 10000, 0.0, 0.0, 0.0, 19944
0, 15000, 0.0, 0.0, 0.0, 37027
0, 20000, 0.6666666666666666, 0.41666666666666663, 0.0, 58012
0, 25000, 1.0, 0.25, 0.0, 82886
0, 30000, 0.6666666666666666, 0.5833333333333333, 0.0, 111450
0, 35000, 1.0, 0.75, 0.0, 143581
0, 40000, 0.3333333333333333, 0.75, 0.0, 179074
0, 45000, 1.0, 0.9166666666666666, 0.0, 217865
0, 50000, 1.0, 0.9166666666666666, 0.0, 260142
0, 55000, 1.0, 0.9166666666666666, 0.0, 305288
0, 60000, 1.0, 0.8333333333333334, 0.0, 353565
0, 65000, 1.0, 0.75, 0.0, 404760
0, 70000, 1.0, 1.0, 0.0, 458908
0, 75000, 1.0, 0.9166666666666666, 0.0, 516347
0, 80000, 1.0, 0.75, 0.0, 577482
0, 85000, 1.0, 1.0, 0.0, 640833
0, 90000, 1.0, 0.8333333333333334, 0.0, 709344
0, 95000, 1.0, 0.9166666666666666, 0.0, 780110
0, 100000, 1.0, 0.7499999999999999, 0.0, 859255
1, 5000, 0.0, 0.0, 0.0, 7577
1, 10000, 0.0, 0.0, 0.0, 19944
1, 15000, 0.0, 0.0, 0.0, 36758
1, 20000, 0.0, 0.25, 0.0, 58109
1, 25000, 1.0, 0.08333333333333333, 0.0, 83317
1, 30000, 0.0, 0.25, 0.0, 112350
1, 35000, 1.0, 0.41666666666666663, 0.0, 144572
1, 40000, 0.6666666666666666, 0.6666666666666666, 0.0, 180453
1, 45000, 1.0, 0.8333333333333333, 0.0, 219911
1, 50000, 1.0, 0.75, 0.0, 262812
1, 55000, 1.0, 0.9166666666666666, 0.0, 308828
1, 60000, 1.0, 0.9166666666666666, 0.0, 357467
1, 65000, 1.0, 1.0, 0.0, 409156
1, 70000, 1.0, 0.8333333333333333, 0.0, 462912
1, 75000, 1.0, 0.9166666666666666, 0.0, 520919
1, 80000, 1.0, 1.0, 0.0, 581178
1, 85000, 1.0, 1.0, 0.0, 643005
1, 90000, 1.0, 1.0, 0.0, 708792
1, 95000, 1.0, 1.0, 0.0, 775435
1, 100000, 1.0, 1.0, 0.0, 851661
2, 5000, 0.0, 0.0, 0.0, 7574
2, 10000, 0.0, 0.0, 0.0, 19968
2, 15000, 0.0, 0.0, 0.0, 36897
2, 20000, 0.0, 0.25, 0.0, 58005
2, 25000, 0.6666666666666666, 0.6666666666666666, 0.0, 83163
2, 30000, 0.6666666666666666, 0.5833333333333333, 0.0, 112128
2, 35000, 1.0, 0.75, 0.0, 144395
2, 40000, 1.0, 0.5833333333333333, 0.0, 180197
2, 45000, 0.6666666666666666, 0.9166666666666666, 0.0, 219268
2, 50000, 1.0, 0.8333333333333333, 0.0, 261610
2, 55000, 1.0, 0.9166666666666666, 0.0, 307012
2, 60000, 1.0, 0.8333333333333333, 0.0, 355521
2, 65000, 1.0, 0.8333333333333334, 0.0, 407072
2, 70000, 1.0, 1.0, 0.0, 460973
2, 75000, 1.0, 0.9166666666666666, 0.0, 517490
2, 80000, 1.0, 1.0, 0.0, 576555
2, 85000, 1.0, 1.0, 0.0, 639534
2, 90000, 1.0, 0.9166666666666666, 0.0, 704253
2, 95000, 1.0, 0.9166666666666666, 0.0, 774936
2, 100000, 0.6666666666666666, 0.75, 0.0, 848923
