controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, AFTERSTATE:false, learnFromRM: false

run, gameNum, evalQ, evalT, evalM, actionNum
0, 5000, 0.0, 0.0, 0.0, 5000
0, 10000, 0.0, 0.0, 0.0, 10000
0, 15000, 0.0, 0.0, 0.0, 15000
0, 20000, 0.0, 0.0, 0.0, 20000
0, 25000, 0.0, 0.0, 0.0, 25495
0, 30000, 0.0, 0.0, 0.0, 36398
0, 35000, 0.0, 0.0, 0.0, 53221
0, 40000, 0.3333333333333333, 0.08333333333333333, 0.0, 75970
0, 45000, 0.0, 0.08333333333333333, 0.0, 104227
0, 50000, 1.0, 0.5833333333333334, 0.0, 137198
0, 55000, 1.0, 0.6666666666666666, 0.0, 175099
0, 60000, 1.0, 0.5, 0.0, 217222
0, 65000, 1.0, 0.6666666666666666, 0.0, 264208
0, 70000, 1.0, 0.75, 0.0, 315115
0, 75000, 1.0, 1.0, 0.0, 369884
0, 80000, 1.0, 0.8333333333333333, 0.0, 429180
0, 85000, 1.0, 1.0, 0.0, 493750
0, 90000, 1.0, 1.0, 0.0, 563183
0, 95000, 1.0, 1.0, 0.0, 637532
0, 100000, 1.0, 0.9166666666666666, 0.0, 718816
1, 5000, 0.0, 0.0, 0.0, 5000
1, 10000, 0.0, 0.0, 0.0, 10000
1, 15000, 0.0, 0.0, 0.0, 15000
1, 20000, 0.0, 0.0, 0.0, 20000
1, 25000, 0.0, 0.0, 0.0, 25511
1, 30000, 0.0, 0.0, 0.0, 36365
1, 35000, 0.0, 0.0, 0.0, 53331
1, 40000, 0.0, 0.08333333333333333, 0.0, 76142
1, 45000, 0.0, 0.16666666666666666, 0.0, 104460
1, 50000, 0.3333333333333333, 0.16666666666666666, 0.0, 137763
1, 55000, 0.3333333333333333, 0.25, 0.0, 175528
1, 60000, 1.0, 0.41666666666666663, 0.0, 217542
1, 65000, 0.6666666666666666, 0.8333333333333333, 0.0, 263885
1, 70000, 0.6666666666666666, 0.75, 0.0, 315055
1, 75000, 0.6666666666666666, 0.8333333333333333, 0.0, 369140
1, 80000, 1.0, 0.8333333333333333, 0.0, 426731
1, 85000, 1.0, 0.8333333333333334, 0.0, 487544
1, 90000, 1.0, 0.8333333333333333, 0.0, 548297
1, 95000, 1.0, 1.0, 0.0, 614924
1, 100000, 1.0, 0.9166666666666666, 0.0, 673088
2, 5000, 0.0, 0.0, 0.0, 5000
2, 10000, 0.0, 0.0, 0.0, 10000
2, 15000, 0.0, 0.0, 0.0, 15000
2, 20000, 0.0, 0.0, 0.0, 20000
2, 25000, 0.0, 0.0, 0.0, 25495
2, 30000, 0.0, 0.0, 0.0, 36382
2, 35000, 0.0, 0.0, 0.0, 53359
2, 40000, 0.0, 0.16666666666666666, 0.0, 75975
2, 45000, 0.0, 0.25, 0.0, 104003
2, 50000, 0.3333333333333333, 0.08333333333333333, 0.0, 137034
2, 55000, 0.6666666666666666, 0.41666666666666663, 0.0, 175261
2, 60000, 0.3333333333333333, 0.41666666666666663, 0.0, 217356
2, 65000, 1.0, 0.5833333333333333, 0.0, 264608
2, 70000, 1.0, 1.0, 0.0, 316714
2, 75000, 1.0, 0.9166666666666666, 0.0, 372387
2, 80000, 1.0, 0.9166666666666666, 0.0, 431347
2, 85000, 0.6666666666666666, 1.0, 0.0, 494890
2, 90000, 1.0, 0.9166666666666666, 0.0, 562531
2, 95000, 1.0, 1.0, 0.0, 633891
2, 100000, 1.0, 1.0, 0.0, 710422
