controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, AFTERSTATE:false, learnFromRM: false

run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.6666666666666666, 0.08333333333333333, 0.0, 19759, 200579
0, 20000, 0.0, 0.0, 0.0, 57746, 387675
0, 30000, 1.0, 0.3333333333333333, 0.0, 111134, 561779
0, 40000, 1.0, 0.25, 0.0, 178599, 725645
0, 50000, 1.0, 0.5, 0.0, 258604, 880560
0, 60000, 1.0, 1.0, 0.0, 349958, 1028709
0, 70000, 1.0, 0.9166666666666666, 0.0, 452095, 1170407
0, 80000, 1.0, 1.0, 0.0, 565748, 1308905
0, 90000, 1.0, 0.9166666666666666, 0.0, 691762, 1445201
0, 100000, 1.0, 0.9166666666666666, 0.0, 836930, 1587473
0, 110000, 1.0, 0.6666666666666666, 0.0, 998951, 1739494
0, 120000, 1.0, 1.0, 0.0, 1158980, 1889523
0, 130000, 1.0, 1.0, 0.0, 1333603, 2054146
0, 140000, 1.0, 1.0, 0.0, 1501783, 2212326
0, 150000, 0.6666666666666666, 0.9166666666666666, 0.0, 1671873, 2372416
1, 10000, 0.0, 0.0, 0.0, 20014, 200235
1, 20000, 0.3333333333333333, 0.08333333333333333, 0.0, 58105, 387544
1, 30000, 0.3333333333333333, 0.08333333333333333, 0.0, 111671, 562648
1, 40000, 1.0, 0.25, 0.0, 178571, 725969
1, 50000, 1.0, 0.8333333333333333, 0.0, 258652, 881734
1, 60000, 1.0, 0.9166666666666666, 0.0, 351282, 1032442
1, 70000, 1.0, 1.0, 0.0, 454033, 1175171
1, 80000, 1.0, 0.9166666666666666, 0.0, 566653, 1312151
1, 90000, 1.0, 0.9166666666666666, 0.0, 685766, 1440499
1, 100000, 1.0, 0.7499999999999999, 0.0, 809972, 1560793
1, 110000, 1.0, 0.9166666666666666, 0.0, 948189, 1689010
1, 120000, 1.0, 1.0, 0.0, 1095767, 1826588
1, 130000, 1.0, 1.0, 0.0, 1244162, 1964983
1, 140000, 1.0, 0.9166666666666666, 0.0, 1399289, 2110110
1, 150000, 1.0, 0.8333333333333334, 0.0, 1567734, 2268555
2, 10000, 0.0, 0.0, 0.0, 19711, 200749
2, 20000, 0.0, 0.0, 0.0, 57693, 388328
2, 30000, 0.3333333333333333, 0.5833333333333333, 0.0, 111387, 563601
2, 40000, 0.3333333333333333, 0.3333333333333333, 0.0, 178022, 726324
2, 50000, 1.0, 0.7499999999999999, 0.0, 257645, 880905
2, 60000, 1.0, 0.9166666666666666, 0.0, 348558, 1028591
2, 70000, 1.0, 1.0, 0.0, 452673, 1173109
2, 80000, 1.0, 0.75, 0.0, 564838, 1309109
2, 90000, 1.0, 1.0, 0.0, 685909, 1439448
2, 100000, 1.0, 0.9166666666666666, 0.0, 821442, 1571549
2, 110000, 1.0, 0.9166666666666666, 0.0, 966230, 1706337
2, 120000, 1.0, 0.8333333333333333, 0.0, 1123057, 1853164
2, 130000, 1.0, 0.75, 0.0, 1279207, 1999314
2, 140000, 1.0, 0.75, 0.0, 1433685, 2143792
2, 150000, 1.0, 0.9166666666666666, 0.0, 1591739, 2291846
3, 10000, 0.0, 0.0, 0.0, 20004, 200264
3, 20000, 0.0, 0.25, 0.0, 57798, 386075
3, 30000, 1.0, 0.3333333333333333, 0.0, 111101, 561111
3, 40000, 1.0, 0.5833333333333333, 0.0, 178558, 725181
3, 50000, 1.0, 0.8333333333333333, 0.0, 258551, 881081
3, 60000, 0.6666666666666666, 1.0, 0.0, 350372, 1030156
3, 70000, 0.6666666666666666, 0.9166666666666666, 0.0, 453586, 1173600
3, 80000, 1.0, 1.0, 0.0, 567405, 1311975
3, 90000, 1.0, 0.9166666666666666, 0.0, 689344, 1443778
3, 100000, 1.0, 1.0, 0.0, 812275, 1562694
3, 110000, 1.0, 1.0, 0.0, 954957, 1695376
3, 120000, 0.6666666666666666, 0.9166666666666666, 0.0, 1106840, 1837259
3, 130000, 1.0, 1.0, 0.0, 1245424, 1965843
