controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, AFTERSTATE:false, learnFromRM: false

run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.0, 0.0, 0.0, 15472, 203105
0, 20000, 0.0, 0.0, 0.0, 41164, 399345
0, 30000, 0.0, 0.16666666666666666, 0.0, 76179, 588023
0, 40000, 0.6666666666666666, 0.25, 0.0, 120423, 770834
0, 50000, 0.3333333333333333, 0.16666666666666666, 0.0, 172760, 947239
0, 60000, 1.0, 0.9166666666666666, 0.0, 233030, 1118333
0, 70000, 1.0, 0.8333333333333333, 0.0, 300485, 1284262
0, 80000, 1.0, 0.6666666666666666, 0.0, 375049, 1445668
0, 90000, 0.6666666666666666, 0.9166666666666666, 0.0, 456794, 1603561
0, 100000, 1.0, 1.0, 0.0, 544642, 1756612
0, 110000, 1.0, 1.0, 0.0, 639147, 1907423
0, 120000, 1.0, 1.0, 0.0, 739283, 2054499
0, 130000, 1.0, 1.0, 0.0, 845333, 2198592
0, 140000, 1.0, 1.0, 0.0, 960134, 2343987
0, 150000, 1.0, 1.0, 0.0, 1080429, 2486828
