controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.2, epsilon_init->final:1.0->0.2
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.0, 0.0, 0.0, 15411, 203570
0, 20000, 0.0, 0.0, 0.0, 40997, 399372
0, 30000, 0.0, 0.25, 0.0, 75849, 588782
0, 40000, 0.0, 0.5, 0.0, 119926, 770599
0, 50000, 0.3333333333333333, 0.3333333333333333, 0.0, 172421, 946603
0, 60000, 0.3333333333333333, 0.25, 0.0, 232623, 1117357
0, 70000, 0.3333333333333333, 0.41666666666666663, 0.0, 299734, 1283046
0, 80000, 1.0, 0.6666666666666666, 0.0, 374414, 1444402
0, 90000, 0.6666666666666666, 0.8333333333333333, 0.0, 455300, 1599941
0, 100000, 0.0, 0.6666666666666666, 0.0, 542296, 1751748
0, 110000, 0.6666666666666666, 0.9166666666666666, 0.0, 636568, 1901851
0, 120000, 0.0, 0.9166666666666666, 0.0, 735121, 2046100
0, 130000, 1.0, 0.9166666666666666, 0.0, 838626, 2186500
0, 140000, 1.0, 1.0, 0.0, 949668, 2326638
0, 150000, 0.3333333333333333, 0.9166666666666666, 0.0, 1069070, 2468134
1, 10000, 0.0, 0.0, 0.0, 15300, 203892
1, 20000, 0.0, 0.0, 0.0, 40837, 399289
1, 30000, 0.0, 0.0, 0.0, 75781, 588058
1, 40000, 1.0, 0.6666666666666666, 0.0, 119779, 769328
1, 50000, 0.0, 0.6666666666666666, 0.0, 172147, 944792
1, 60000, 0.6666666666666666, 0.9166666666666666, 0.0, 232197, 1116021
1, 70000, 1.0, 0.7499999999999999, 0.0, 299567, 1281600
1, 80000, 1.0, 0.9166666666666666, 0.0, 374536, 1443547
1, 90000, 1.0, 1.0, 0.0, 456808, 1603570
1, 100000, 1.0, 1.0, 0.0, 546300, 1760966
1, 110000, 1.0, 1.0, 0.0, 643063, 1915627
1, 120000, 1.0, 1.0, 0.0, 746759, 2068344
1, 130000, 1.0, 1.0, 0.0, 856257, 2218104
1, 140000, 1.0, 1.0, 0.0, 974649, 2368584
1, 150000, 1.0, 1.0, 0.0, 1101117, 2519359
2, 10000, 0.0, 0.0, 0.0, 15439, 203731
2, 20000, 0.0, 0.08333333333333333, 0.0, 40885, 399939
2, 30000, 0.3333333333333333, 0.16666666666666666, 0.0, 75954, 588451
2, 40000, 0.6666666666666666, 0.16666666666666666, 0.0, 119850, 770018
2, 50000, 0.0, 0.16666666666666666, 0.0, 172325, 946002
2, 60000, 0.6666666666666666, 0.6666666666666666, 0.0, 232559, 1117550
2, 70000, 0.6666666666666666, 0.5833333333333333, 0.0, 300710, 1285395
2, 80000, 1.0, 0.8333333333333333, 0.0, 375983, 1448997
2, 90000, 1.0, 0.9166666666666666, 0.0, 458629, 1609453
2, 100000, 1.0, 0.9166666666666666, 0.0, 547996, 1765843
2, 110000, 1.0, 0.9166666666666666, 0.0, 643659, 1918772
2, 120000, 1.0, 0.9166666666666666, 0.0, 744808, 2067109
2, 130000, 1.0, 1.0, 0.0, 850596, 2211601
2, 140000, 1.0, 1.0, 0.0, 963087, 2353487
2, 150000, 1.0, 1.0, 0.0, 1083148, 2495729
3, 10000, 0.0, 0.0, 0.0, 15329, 203940
3, 20000, 0.0, 0.0, 0.0, 40873, 399604
3, 30000, 0.0, 0.0, 0.0, 76065, 588388
3, 40000, 1.0, 0.5833333333333333, 0.0, 119926, 770121
3, 50000, 0.6666666666666666, 0.6666666666666666, 0.0, 172349, 946332
3, 60000, 1.0, 0.5833333333333334, 0.0, 232318, 1117453
3, 70000, 0.6666666666666666, 0.5833333333333333, 0.0, 300065, 1283190
3, 80000, 1.0, 0.75, 0.0, 374367, 1444092
3, 90000, 1.0, 1.0, 0.0, 455266, 1600428
3, 100000, 1.0, 0.8333333333333333, 0.0, 543312, 1754140
3, 110000, 1.0, 1.0, 0.0, 637859, 1905427
3, 120000, 1.0, 0.9166666666666666, 0.0, 738380, 2052751
3, 130000, 1.0, 1.0, 0.0, 844266, 2196727
3, 140000, 1.0, 0.9166666666666666, 0.0, 958099, 2340623
3, 150000, 1.0, 1.0, 0.0, 1075924, 2480003
4, 10000, 0.0, 0.08333333333333333, 0.0, 15377, 203274
4, 20000, 0.3333333333333333, 0.08333333333333333, 0.0, 40957, 400374
4, 30000, 0.0, 0.0, 0.0, 76328, 589604
4, 40000, 1.0, 0.5833333333333334, 0.0, 120321, 771405
4, 50000, 1.0, 0.8333333333333333, 0.0, 172649, 947248
4, 60000, 0.6666666666666666, 0.75, 0.0, 232483, 1116443
4, 70000, 1.0, 0.8333333333333333, 0.0, 299891, 1281528
4, 80000, 1.0, 0.8333333333333334, 0.0, 374622, 1443084
4, 90000, 1.0, 0.9166666666666666, 0.0, 456207, 1600786
4, 100000, 1.0, 0.9166666666666666, 0.0, 544706, 1755521
4, 110000, 1.0, 0.9166666666666666, 0.0, 639248, 1906806
4, 120000, 1.0, 0.8333333333333333, 0.0, 740742, 2055503
4, 130000, 1.0, 0.9166666666666666, 0.0, 847875, 2200594
4, 140000, 1.0, 0.9166666666666666, 0.0, 957969, 2339525
4, 150000, 1.0, 0.9166666666666666, 0.0, 1073690, 2476373
