controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:3, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.2, epsilon_init->final:1.0->0.2
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.0, 0.0, 0.0, 15464, 203984
0, 20000, 0.0, 0.41666666666666663, 0.0, 41200, 401152
0, 30000, 0.0, 0.41666666666666663, 0.0, 76451, 592139
0, 40000, 0.3333333333333333, 0.41666666666666663, 0.0, 121063, 776266
0, 50000, 0.0, 0.41666666666666663, 0.0, 174041, 955406
0, 60000, 0.3333333333333333, 0.41666666666666663, 0.0, 234898, 1129507
0, 70000, 1.0, 0.9166666666666666, 0.0, 302636, 1296503
0, 80000, 0.3333333333333333, 0.9166666666666666, 0.0, 377029, 1457723
0, 90000, 0.6666666666666666, 0.8333333333333333, 0.0, 458199, 1613930
0, 100000, 0.6666666666666666, 0.9166666666666666, 0.0, 544324, 1764418
0, 110000, 1.0, 1.0, 0.0, 635680, 1909205
0, 120000, 0.6666666666666666, 1.0, 0.0, 731016, 2048704
0, 130000, 1.0, 0.9166666666666666, 0.0, 831656, 2184613
0, 140000, 1.0, 1.0, 0.0, 937979, 2318580
0, 150000, 1.0, 1.0, 0.0, 1047759, 2447363
1, 10000, 0.0, 0.0, 0.0, 15301, 204302
1, 20000, 0.0, 0.16666666666666666, 0.0, 40992, 401217
1, 30000, 1.0, 0.6666666666666666, 0.0, 76054, 590285
1, 40000, 0.3333333333333333, 0.5833333333333333, 0.0, 120310, 773033
1, 50000, 1.0, 0.75, 0.0, 172732, 949204
1, 60000, 1.0, 1.0, 0.0, 233084, 1120119
1, 70000, 1.0, 0.9166666666666666, 0.0, 300538, 1285012
1, 80000, 1.0, 0.9166666666666666, 0.0, 374943, 1446159
1, 90000, 1.0, 0.9166666666666666, 0.0, 455868, 1602312
1, 100000, 1.0, 1.0, 0.0, 543044, 1754230
1, 110000, 1.0, 1.0, 0.0, 635295, 1901360
1, 120000, 1.0, 1.0, 0.0, 733259, 2045090
1, 130000, 1.0, 1.0, 0.0, 837873, 2186973
1, 140000, 1.0, 0.8333333333333333, 0.0, 948613, 2326755
1, 150000, 1.0, 1.0, 0.0, 1066341, 2466045
2, 10000, 0.0, 0.0, 0.0, 15357, 203898
2, 20000, 0.0, 0.08333333333333333, 0.0, 40968, 400949
2, 30000, 0.6666666666666666, 0.5833333333333333, 0.0, 76242, 590786
2, 40000, 0.6666666666666666, 0.41666666666666663, 0.0, 120671, 774509
2, 50000, 1.0, 0.6666666666666666, 0.0, 173364, 951794
2, 60000, 1.0, 0.8333333333333334, 0.0, 233718, 1123166
2, 70000, 1.0, 0.9166666666666666, 0.0, 301488, 1289803
2, 80000, 1.0, 0.9166666666666666, 0.0, 375813, 1450725
2, 90000, 1.0, 1.0, 0.0, 457286, 1607875
2, 100000, 1.0, 1.0, 0.0, 544582, 1760258
2, 110000, 1.0, 1.0, 0.0, 637389, 1907871
2, 120000, 0.6666666666666666, 0.8333333333333333, 0.0, 734349, 2049851
2, 130000, 1.0, 1.0, 0.0, 837204, 2189226
