controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.6, AFTERSTATE:false, learnFromRM: false

run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.0, 0.0, 0.0, 19001, 201507
0, 20000, 0.0, 0.0, 0.0, 54752, 391840
0, 30000, 0.3333333333333333, 0.3333333333333333, 0.0, 104975, 572033
0, 40000, 1.0, 0.16666666666666666, 0.0, 168663, 742576
0, 50000, 1.0, 0.75, 0.0, 244910, 905443
0, 60000, 1.0, 0.75, 0.0, 331965, 1061315
0, 70000, 1.0, 1.0, 0.0, 429585, 1210880
0, 80000, 1.0, 0.9166666666666666, 0.0, 538125, 1356801
0, 90000, 1.0, 1.0, 0.0, 655339, 1497014
0, 100000, 1.0, 0.6666666666666666, 0.0, 776929, 1627465
1, 10000, 0.0, 0.0, 0.0, 19106, 201639
1, 20000, 0.0, 0.0, 0.0, 54721, 392599
1, 30000, 0.3333333333333333, 0.16666666666666666, 0.0, 105230, 572983
1, 40000, 0.3333333333333333, 0.5833333333333333, 0.0, 168989, 744342
1, 50000, 1.0, 0.9166666666666666, 0.0, 245498, 907970
1, 60000, 1.0, 0.8333333333333333, 0.0, 333496, 1064715
1, 70000, 1.0, 0.9166666666666666, 0.0, 430677, 1213141
1, 80000, 1.0, 1.0, 0.0, 538790, 1358362
1, 90000, 1.0, 1.0, 0.0, 661060, 1505022
1, 100000, 1.0, 0.9166666666666666, 0.0, 790106, 1644276
2, 10000, 0.0, 0.0, 0.0, 19138, 201291
2, 20000, 0.3333333333333333, 0.16666666666666666, 0.0, 54977, 392311
2, 30000, 0.0, 0.16666666666666666, 0.0, 105594, 572527
2, 40000, 0.6666666666666666, 0.3333333333333333, 0.0, 169104, 742883
2, 50000, 1.0, 0.8333333333333333, 0.0, 244812, 905703
2, 60000, 1.0, 1.0, 0.0, 332522, 1062689
2, 70000, 1.0, 0.9166666666666666, 0.0, 429428, 1211516
2, 80000, 1.0, 1.0, 0.0, 535983, 1354445
2, 90000, 1.0, 1.0, 0.0, 655417, 1497105
2, 100000, 1.0, 1.0, 0.0, 785589, 1637882
3, 10000, 0.0, 0.0, 0.0, 19222, 201828
3, 20000, 0.0, 0.16666666666666666, 0.0, 54763, 391526
3, 30000, 0.0, 0.41666666666666663, 0.0, 105280, 571289
3, 40000, 1.0, 0.49999999999999994, 0.0, 169293, 742153
3, 50000, 0.6666666666666666, 0.41666666666666663, 0.0, 245741, 905296
3, 60000, 1.0, 0.41666666666666663, 0.0, 333328, 1061406
3, 70000, 1.0, 0.75, 0.0, 430763, 1210900
3, 80000, 1.0, 0.9166666666666666, 0.0, 538414, 1355628
3, 90000, 1.0, 1.0, 0.0, 656831, 1497409
3, 100000, 1.0, 0.8333333333333333, 0.0, 780280, 1630090
4, 10000, 0.0, 0.0, 0.0, 19066, 201512
4, 20000, 0.0, 0.0, 0.0, 54383, 392830
4, 30000, 0.0, 0.5, 0.0, 104685, 572305
4, 40000, 1.0, 0.75, 0.0, 168421, 741838
4, 50000, 1.0, 0.08333333333333333, 0.0, 243905, 903618
4, 60000, 0.6666666666666666, 1.0, 0.0, 330898, 1059102
4, 70000, 1.0, 0.9166666666666666, 0.0, 427998, 1207990
4, 80000, 1.0, 0.9166666666666666, 0.0, 534832, 1351514
4, 90000, 0.6666666666666666, 0.9166666666666666, 0.0, 651382, 1490599
4, 100000, 1.0, 1.0, 0.0, 778664, 1627863
5, 10000, 0.0, 0.0, 0.0, 18913, 201292
5, 20000, 0.6666666666666666, 0.16666666666666666, 0.0, 54407, 391273
5, 30000, 0.6666666666666666, 0.3333333333333333, 0.0, 104616, 570723
5, 40000, 1.0, 0.5833333333333333, 0.0, 168638, 741162
5, 50000, 1.0, 0.6666666666666666, 0.0, 244687, 904417
5, 60000, 1.0, 0.6666666666666666, 0.0, 331824, 1060161
5, 70000, 0.6666666666666666, 0.8333333333333333, 0.0, 429978, 1210415
5, 80000, 1.0, 0.9166666666666666, 0.0, 538751, 1356645
