controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:3, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.2, epsilon_init->final:1.0->0.2
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.0, 0.0, 0.0, 15413, 204608
0, 20000, 0.0, 0.08333333333333333, 0.0, 41090, 401336
0, 30000, 0.6666666666666666, 0.49999999999999994, 0.0, 76297, 591074
0, 40000, 0.0, 0.6666666666666666, 0.0, 120797, 776214
0, 50000, 0.3333333333333333, 0.75, 0.0, 173550, 954721
0, 60000, 0.6666666666666666, 0.8333333333333333, 0.0, 233947, 1126933
0, 70000, 1.0, 0.9166666666666666, 0.0, 301591, 1293475
0, 80000, 0.6666666666666666, 1.0, 0.0, 376083, 1455039
0, 90000, 1.0, 1.0, 0.0, 457042, 1611186
0, 100000, 1.0, 0.8333333333333334, 0.0, 543240, 1761628
0, 110000, 1.0, 1.0, 0.0, 634569, 1906668
0, 120000, 1.0, 1.0, 0.0, 731353, 2048362
0, 130000, 1.0, 1.0, 0.0, 834206, 2187705
0, 140000, 1.0, 1.0, 0.0, 942356, 2323863
0, 150000, 1.0, 1.0, 0.0, 1057710, 2460090
