TDNTuple3Agt: USESYM:true, P:3, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.2->0.2, gamma: 1.0, random 25 6-tuple, evalQ: 0, evalT: 10
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 10000, -0.9999999999999999, -0.9999999999999999, 203783, 213783, 24.439, 8338.434469495478, 0.0, 0.0
0, 20000, -0.9999999999999999, -0.9999999999999999, 408929, 428929, 48.188, 8486.11687557068, 0.0, 0.0
0, 30000, -0.9999999999999999, -0.9999999999999999, 614741, 644741, 73.402, 8374.98978229476, 0.0, 0.0
0, 40000, -0.9999999999999999, -0.9999999999999999, 819967, 859967, 97.119, 8442.910244133485, 0.0, 0.0
0, 50000, -0.9999999999999999, -0.9999999999999999, 1025206, 1075206, 120.89, 8480.486392588304, 0.0, 0.0
0, 60000, -0.9999999999999999, -0.9999999999999999, 1229599, 1289599, 144.678, 8498.866448250597, 0.0, 0.0
0, 70000, -0.9999999999999999, -0.9999999999999999, 1433496, 1503496, 168.24, 8520.542082738944, 0.0, 0.0
0, 80000, -0.9999999999999999, -0.9999999999999999, 1637215, 1717215, 191.826, 8534.896208021853, 0.0, 0.0
0, 90000, -0.9999999999999999, -0.9999999999999999, 1839959, 1929959, 215.299, 8546.063846093108, 0.0, 0.0
0, 100000, -0.9999999999999999, -0.9999999999999999, 2041415, 2141415, 238.673, 8553.187834401042, 0.0, 0.0
0, 110000, -0.9999999999999999, -0.9999999999999999, 2242618, 2352618, 262.07, 8557.324378982716, 0.0, 0.0
0, 120000, -0.9999999999999999, -0.9999999999999999, 2442556, 2562556, 285.345, 8560.009812682893, 0.0, 0.0
0, 130000, -0.9999999999999999, -0.9999999999999999, 2639934, 2769934, 313.043, 8433.135383956836, 0.0, 0.0
0, 140000, -0.9999999999999999, -0.9999999999999999, 2836698, 2976698, 338.978, 8368.383788918454, 0.0, 0.0
0, 150000, -0.9999999999999999, -0.9999999999999999, 3033439, 3183439, 365.844, 8291.6188320705, 0.0, 0.0
0, 160000, -0.9999999999999999, -0.9999999999999999, 3228762, 3388762, 397.474, 8123.203027116239, 0.0, 0.0
0, 170000, -0.9999999999999999, -0.9999999999999999, 3423917, 3593917, 428.108, 7997.7879413605915, 0.0, 0.0
0, 180000, -0.9999999999999999, -0.9999999999999999, 3617509, 3797509, 461.635, 7836.297074528578, 0.0, 0.0
0, 190000, -0.9999999999999999, -0.9999999999999999, 3811886, 4001886, 489.494, 7787.400867017777, 0.0, 0.0
0, 200000, -0.9999999999999999, -0.9999999999999999, 4005198, 4205198, 526.41, 7608.514275944606, 0.0, 0.0
0, 210000, -0.9999999999999999, -0.9999999999999999, 4198647, 4408647, 554.356, 7573.91820418648, 0.0, 0.0
0, 220000, -0.9999999999999999, -0.9999999999999999, 4391857, 4611857, 584.69, 7511.428278232909, 0.0, 0.0
0, 230000, -0.9999999999999999, -0.9999999999999999, 4584867, 4814867, 617.973, 7419.202780704012, 0.0, 0.0
0, 240000, -0.9999999999999999, -0.9999999999999999, 4777823, 5017823, 644.918, 7408.41936494252, 0.0, 0.0
0, 250000, -0.9999999999999999, -0.9999999999999999, 4970424, 5220424, 683.502, 7271.9962779918715, 0.0, 0.0
0, 260000, -0.9999999999999999, -0.9999999999999999, 5161966, 5421966, 711.617, 7253.854250249784, 0.0, 0.0
0, 270000, -0.9999999999999999, -0.9999999999999999, 5354788, 5624788, 736.293, 7272.63195494185, 0.0, 0.0
0, 280000, -0.9999999999999999, -0.9999999999999999, 5546426, 5826426, 763.344, 7265.958728960993, 0.0, 0.0
0, 290000, -0.9999999999999999, -0.9999999999999999, 5737599, 6027599, 786.298, 7296.977736176361, 0.0, 0.0
0, 300000, -0.9999999999999999, -0.9999999999999999, 5929279, 6229279, 808.851, 7330.49597515488, 0.0, 0.0
1, 10000, -0.9999999999999999, -0.9999999999999999, 150944, 160944, 19.561, 7716.578907008844, 0.0, 0.0
1, 20000, -0.9999999999999999, -0.9999999999999999, 298861, 318861, 44.615, 6698.6663678135155, 0.0, 0.0
1, 30000, -0.9999999999999999, -0.9999999999999999, 446506, 476506, 75.544, 5910.542200571853, 0.0, 0.0
1, 40000, -0.9999999999999999, -0.9999999999999999, 593206, 633206, 102.191, 5804.8751847031535, 0.0, 0.0
1, 50000, -0.9999999999999999, -0.9999999999999999, 739337, 789337, 126.14, 5861.241477723164, 0.0, 0.0
1, 60000, -0.9999999999999999, -0.9999999999999999, 883850, 943850, 148.974, 5932.914468296482, 0.0, 0.0
1, 70000, -0.9999999999999999, -0.9999999999999999, 1027793, 1097793, 175.108, 5869.480549146812, 0.0, 0.0
1, 80000, -0.9999999999999999, -0.9999999999999999, 1170745, 1250745, 195.751, 5980.786815903878, 0.0, 0.0
1, 90000, -0.9999999999999999, -0.9999999999999999, 1312843, 1402843, 216.573, 6061.895988881347, 0.0, 0.0
1, 100000, -0.9999999999999999, -0.9999999999999999, 1454079, 1554079, 234.743, 6194.344453295732, 0.0, 0.0
1, 110000, -0.9999999999999999, -0.9999999999999999, 1594593, 1704593, 252.903, 6305.156522461181, 0.0, 0.0
1, 120000, -0.9999999999999999, -0.9999999999999999, 1734250, 1854250, 271.002, 6399.399266426078, 0.0, 0.0
1, 130000, -0.9999999999999999, -0.9999999999999999, 1874183, 2004183, 289.066, 6483.581604201117, 0.0, 0.0
1, 140000, -0.9999999999999999, -0.9999999999999999, 2012952, 2152952, 313.547, 6419.937042931362, 0.0, 0.0
