TDNTuple3Agt: USESYM:true, P:3, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.2->0.2, gamma: 1.0, random 25 6-tuple, evalQ: 20, evalT: -1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 50000, -0.9818181818181819, 0.0, 678247, 728247, 89.438, 7583.432098213288, 0.0, 0.0
0, 100000, -1.0, 0.0, 1351109, 1451109, 173.901, 7769.414781973651, 0.0, 0.0
0, 150000, -1.0, 0.0, 2026739, 2176739, 260.995, 7765.432287974865, 0.0, 0.0
0, 200000, -1.0, 0.0, 2687941, 2887941, 348.716, 7708.109177668934, 0.0, 0.0
0, 250000, -1.0, 0.0, 3339811, 3589811, 438.252, 7620.754725591669, 0.0, 0.0
0, 300000, -1.0, 0.0, 3992653, 4292653, 533.614, 7482.286821560154, 0.0, 0.0
1, 50000, -1.0, 0.0, 1243380, 1293380, 145.085, 8570.010683392493, 0.0, 0.0
1, 100000, -1.0, 0.0, 2455797, 2555797, 285.668, 8596.682162510326, 0.0, 0.0
1, 150000, -1.0, 0.0, 3661330, 3811330, 430.627, 8502.323356408215, 0.0, 0.0
1, 200000, -1.0, 0.0, 4855532, 5055532, 570.061, 8517.56566402543, 0.0, 0.0
1, 250000, -1.0, 0.0, 6043775, 6293775, 708.171, 8534.344106155151, 0.0, 0.0
1, 300000, -1.0, 0.0, 7226301, 7526301, 869.53, 8310.582728600508, 0.0, 0.0
2, 50000, -0.9818181818181819, 0.0, 671774, 721774, 96.377, 6970.272990443778, 0.0, 0.0
2, 100000, -1.0, 0.0, 1302766, 1402766, 193.815, 6721.698526945799, 0.0, 0.0
2, 150000, -1.0, 0.0, 1941825, 2091825, 287.134, 6762.783230129487, 0.0, 0.0
2, 200000, -0.990909090909091, 0.0, 2588108, 2788108, 378.772, 6832.891554813978, 0.0, 0.0
2, 250000, -1.0, 0.0, 3227055, 3477055, 460.812, 7002.975182937944, 0.0, 0.0
2, 300000, -0.990909090909091, 0.0, 3859417, 4159417, 547.438, 7049.961822160683, 0.0, 0.0
3, 50000, -1.0, 0.0, 653562, 703562, 94.899, 6886.92188537287, 0.0, 0.0
3, 100000, -1.0, 0.0, 1305294, 1405294, 188.351, 6930.114520230845, 0.0, 0.0
3, 150000, -1.0, 0.0, 1939970, 2089970, 283.097, 6852.668873213069, 0.0, 0.0
3, 200000, -1.0, 0.0, 2577063, 2777063, 376.182, 6850.574987638962, 0.0, 0.0
3, 250000, -1.0, 0.0, 3203639, 3453639, 478.147, 6700.113145120643, 0.0, 0.0
3, 300000, -1.0, 0.0, 3827258, 4127258, 567.106, 6748.752437815858, 0.0, 0.0
4, 50000, -1.0, 0.0, 704728, 754728, 99.737, 7065.863220269309, 0.0, 0.0
4, 100000, -1.0, 0.0, 1415448, 1515448, 200.887, 7045.991029782913, 0.0, 0.0
4, 150000, -1.0, 0.0, 2126798, 2276798, 302.8, 7023.771466314399, 0.0, 0.0
4, 200000, -1.0, 0.0, 2833006, 3033006, 403.363, 7023.465216194842, 0.0, 0.0
4, 250000, -1.0, 0.0, 3529472, 3779472, 502.915, 7018.028891562192, 0.0, 0.0
4, 300000, -1.0, 0.0, 4220635, 4520635, 603.018, 6999.185762282386, 0.0, 0.0
5, 50000, -1.0, 0.0, 1102759, 1152759, 125.978, 8753.583959103971, 0.0, 0.0
5, 100000, -1.0, 0.0, 2204268, 2304268, 255.765, 8618.333235587355, 0.0, 0.0
5, 150000, -1.0, 0.0, 3300449, 3450449, 390.251, 8457.246746324801, 0.0, 0.0
5, 200000, -1.0, 0.0, 4393158, 4593158, 514.869, 8532.574305308728, 0.0, 0.0
5, 250000, -1.0, 0.0, 5482498, 5732498, 639.72, 8570.152566747953, 0.0, 0.0
5, 300000, -1.0, 0.0, 6569944, 6869944, 760.374, 8640.411166084059, 0.0, 0.0
6, 50000, -1.0, 0.0, 764925, 814925, 108.221, 7068.175307934689, 0.0, 0.0
6, 100000, -1.0, 0.0, 1474078, 1574078, 210.79, 6993.111627686323, 0.0, 0.0
6, 150000, -1.0, 0.0, 2178733, 2328733, 310.198, 7023.68487224289, 0.0, 0.0
6, 200000, -1.0, 0.0, 2888236, 3088236, 413.649, 6982.335264922676, 0.0, 0.0
6, 250000, -1.0, 0.0, 3594143, 3844143, 517.032, 6951.4904299927275, 0.0, 0.0
6, 300000, -1.0, 0.0, 4301934, 4601934, 633.24, 6793.52851999242, 0.0, 0.0
7, 50000, -1.0, 0.0, 741685, 791685, 106.803, 6944.421036862261, 0.0, 0.0
7, 100000, -1.0, 0.0, 1472668, 1572668, 201.902, 7293.974304365484, 0.0, 0.0
7, 150000, -1.0, 0.0, 2148015, 2298015, 286.505, 7497.303711977103, 0.0, 0.0
7, 200000, -0.990909090909091, 0.0, 2822750, 3022750, 384.451, 7342.288093931345, 0.0, 0.0
7, 250000, -1.0, 0.0, 3517853, 3767853, 475.826, 7393.150017023029, 0.0, 0.0
7, 300000, -1.0, 0.0, 4216963, 4516963, 566.878, 7438.9251302749435, 0.0, 0.0
8, 50000, -1.0, 0.0, 972711, 1022711, 125.079, 7776.773079413811, 0.0, 0.0
8, 100000, -1.0, 0.0, 1948532, 2048532, 260.718, 7473.714895020673, 0.0, 0.0
8, 150000, -1.0, 0.0, 2916493, 3066493, 398.857, 7312.126902624248, 0.0, 0.0
8, 200000, -1.0, 0.0, 3881856, 4081856, 522.469, 7429.830286581596, 0.0, 0.0
8, 250000, -1.0, 0.0, 4846222, 5096222, 632.335, 7664.010374247827, 0.0, 0.0
8, 300000, -1.0, 0.0, 5812852, 6112852, 742.484, 7828.925606477715, 0.0, 0.0
9, 50000, -1.0, 0.0, 942893, 992893, 130.784, 7209.543980915097, 0.0, 0.0
9, 100000, -1.0, 0.0, 1861700, 1961700, 251.435, 7404.2993218923375, 0.0, 0.0
9, 150000, -1.0, 0.0, 2774934, 2924934, 372.177, 7455.9524097405265, 0.0, 0.0
9, 200000, -1.0, 0.0, 3686743, 3886743, 500.233, 7370.051555974916, 0.0, 0.0
9, 250000, -1.0, 0.0, 4592826, 4842826, 619.761, 7410.640553374607, 0.0, 0.0
9, 300000, -1.0, 0.0, 5498483, 5798483, 739.523, 7435.175106115698, 0.0, 0.0
