controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:3, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.2, epsilon_init->final:1.0->0.2
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.0, 0.0, 0.0, 17989, 296830
0, 20000, 0.0, 0.0, 0.0, 50663, 580498
0, 30000, 0.0, 0.0, 0.0, 96946, 853419
0, 40000, 0.0, 0.5238095238095238, 0.0, 156058, 1115321
0, 50000, 0.6666666666666666, 0.5714285714285714, 0.0, 226409, 1367477
0, 60000, 0.3333333333333333, 0.7142857142857143, 0.0, 307246, 1609777
0, 70000, 1.0, 0.5238095238095238, 0.0, 399079, 1844797
0, 80000, 1.0, 0.6666666666666666, 0.0, 499873, 2071957
0, 90000, 1.0, 0.8571428571428571, 0.0, 609340, 2291184
0, 100000, 1.0, 0.8571428571428571, 0.0, 727293, 2504196
0, 110000, 1.0, 0.8571428571428571, 0.0, 853885, 2712418
0, 120000, 0.6666666666666666, 1.0, 0.0, 987796, 2914566
0, 130000, 1.0, 0.9523809523809523, 0.0, 1130150, 3113078
0, 140000, 1.0, 0.9523809523809523, 0.0, 1279975, 3306987
0, 150000, 0.6666666666666666, 0.9523809523809524, 0.0, 1439465, 3500479
1, 10000, 0.0, 0.0, 0.0, 17894, 295890
1, 20000, 0.0, 0.0, 0.0, 50690, 580364
1, 30000, 0.0, 0.0, 0.0, 97071, 854186
1, 40000, 0.0, 0.5238095238095238, 0.0, 155949, 1115921
1, 50000, 0.3333333333333333, 0.19047619047619047, 0.0, 226381, 1367109
1, 60000, 0.0, 0.5714285714285714, 0.0, 308102, 1611385
1, 70000, 0.6666666666666666, 0.4761904761904762, 0.0, 399258, 1845661
1, 80000, 0.6666666666666666, 0.3333333333333333, 0.0, 499729, 2072203
1, 90000, 0.6666666666666666, 0.9047619047619048, 0.0, 609571, 2292494
1, 100000, 1.0, 0.9523809523809523, 0.0, 727791, 2506771
1, 110000, 1.0, 0.9523809523809524, 0.0, 853800, 2713876
1, 120000, 1.0, 1.0, 0.0, 987133, 2915124
1, 130000, 1.0, 0.8571428571428571, 0.0, 1127791, 3111030
1, 140000, 1.0, 0.9047619047619048, 0.0, 1276504, 3303653
1, 150000, 1.0, 0.9523809523809523, 0.0, 1430555, 3490038
2, 10000, 0.0, 0.0, 0.0, 17851, 296742
2, 20000, 0.0, 0.047619047619047616, 0.0, 50634, 581270
2, 30000, 0.3333333333333333, 0.09523809523809523, 0.0, 97086, 854250
2, 40000, 0.0, 0.2857142857142857, 0.0, 156074, 1116334
2, 50000, 0.6666666666666666, 0.38095238095238093, 0.0, 226668, 1368957
2, 60000, 0.3333333333333333, 0.19047619047619047, 0.0, 307943, 1613744
2, 70000, 0.0, 0.3333333333333333, 0.0, 399343, 1848025
2, 80000, 0.6666666666666666, 0.7619047619047619, 0.0, 499593, 2074398
2, 90000, 1.0, 0.7619047619047619, 0.0, 609083, 2294212
2, 100000, 1.0, 0.7619047619047619, 0.0, 726715, 2506716
2, 110000, 1.0, 1.0, 0.0, 852510, 2713829
2, 120000, 0.6666666666666666, 1.0, 0.0, 986238, 2915909
