TDNTuple3Agt: USESYM:true, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:0.5->0.5, epsilon_init->final:0.2->0.0, gamma: 1.0, fixed n-tuple, mode=1, evalQ: 1, evalT: 3
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 500, -1.0, -1.0, 3880, 4380, 0.057, 68070.17543859649, 0.0, 0.0
0, 1000, -1.0, -1.0, 7150, 8150, 0.069, 103623.18840579709, 0.0, 0.0
0, 1500, -1.0, -1.0, 10476, 11976, 0.082, 127756.0975609756, 0.0, 0.0
0, 2000, -1.0, -1.0, 13705, 15705, 0.094, 145797.87234042553, 0.0, 0.0
0, 2500, -1.0, -1.0, 16924, 19424, 0.105, 161180.9523809524, 0.0, 0.0
0, 3000, -1.0, -1.0, 20096, 23096, 0.116, 173241.3793103448, 0.0, 0.0
0, 3500, -1.0, -1.0, 23231, 26731, 0.125, 185848.0, 0.0, 0.0
0, 4000, -1.0, 0.0, 26523, 30523, 0.131, 202465.64885496182, 0.0, 0.0
0, 4500, -1.0, -1.0, 29661, 34161, 0.136, 218095.5882352941, 0.0, 0.0
0, 5000, -1.0, -1.0, 32785, 37785, 0.141, 232517.73049645394, 0.0, 0.0
0, 5500, -1.0, -1.0, 35882, 41382, 0.146, 245767.12328767125, 0.0, 0.0
0, 6000, -1.0, -1.0, 38969, 44969, 0.151, 258072.8476821192, 0.0, 0.0
0, 6500, -1.0, 0.0, 42065, 48565, 0.158, 266234.17721518985, 0.0, 0.0
0, 7000, -1.0, -1.0, 45116, 52116, 0.164, 275097.56097560975, 0.0, 0.0
0, 7500, -1.0, -1.0, 48167, 55667, 0.169, 285011.8343195266, 0.0, 0.0
0, 8000, -1.0, 0.0, 51207, 59207, 0.174, 294293.1034482759, 0.0, 0.0
0, 8500, -1.0, -1.0, 54227, 62727, 0.179, 302944.1340782123, 0.0, 0.0
