controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
controllers.MCTS.MCTSAgentT:
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 100, -1.0, 1.0, 931, 931, 1.862, 500.0, 0.0, 0.0
0, 200, -1.0, 1.0, 1862, 1862, 3.683, 505.56611458050503, 0.0, 0.0
0, 300, -1.0, 0.0, 2800, 2800, 5.465, 512.3513266239707, 0.0, 0.0
0, 400, -1.0, 0.0, 3735, 3735, 7.233, 516.3832434674409, 0.0, 0.0
0, 500, -1.0, 0.0, 4665, 4665, 8.996, 518.5638061360604, 0.0, 0.0
0, 600, -1.0, 1.0, 5610, 5610, 10.782, 520.3116304952699, 0.0, 0.0
0, 700, 0.0, 0.0, 6546, 6546, 12.567, 520.888040105037, 0.0, 0.0
0, 800, -1.0, 1.0, 7487, 7487, 14.344, 521.9604015616286, 0.0, 0.0
0, 900, -1.0, 0.0, 8401, 8401, 16.083, 522.3527948765778, 0.0, 0.0
0, 1000, -1.0, -1.0, 9342, 9342, 17.868, 522.834116856951, 0.0, 0.0
