TDNTuple3Agt: USESYM:false, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:0.5->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1, evalQ: 2, evalT: 4
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 1000, -0.1, 0.7, 8806, 7806, 0.065, 135476.92307692306, 0.0, 0.0
0, 2000, -0.2, 0.8, 17220, 15220, 0.093, 185161.29032258064, 0.0, 0.0
0, 3000, -0.1, 0.7, 26194, 23194, 0.113, 231805.30973451326, 0.0, 0.0
0, 4000, -0.4, 0.8, 35889, 31889, 0.133, 269842.10526315786, 0.0, 0.0
0, 5000, 0.0, 0.8, 46048, 41048, 0.152, 302947.36842105264, 0.0, 0.0
0, 6000, -0.2, 0.9, 56796, 50796, 0.172, 330209.30232558143, 0.0, 0.0
0, 7000, -0.1, 0.7, 67439, 60439, 0.191, 353083.7696335078, 0.0, 0.0
0, 8000, -0.1, 0.7, 77873, 69873, 0.211, 369066.3507109005, 0.0, 0.0
0, 9000, 0.0, 1.0, 88700, 79700, 0.23, 385652.17391304346, 0.0, 0.0
0, 10000, 0.0, 0.9, 99414, 89414, 0.249, 399253.0120481928, 0.0, 0.0
0, 11000, 0.0, 0.9, 110421, 99421, 0.269, 410486.9888475836, 0.0, 0.0
0, 12000, 0.0, 1.0, 121223, 109223, 0.288, 420913.1944444445, 0.0, 0.0
0, 13000, 0.0, 1.0, 131714, 118714, 0.307, 429035.8306188925, 0.0, 0.0
0, 14000, 0.0, 0.9, 142373, 128373, 0.326, 436726.99386503064, 0.0, 0.0
0, 15000, 0.0, 0.9, 153301, 138301, 0.346, 443066.47398843936, 0.0, 0.0
0, 16000, 0.0, 0.8, 164398, 148398, 0.365, 450405.47945205483, 0.0, 0.0
0, 17000, 0.0, 0.8, 174725, 157725, 0.383, 456201.04438642296, 0.0, 0.0
0, 18000, 0.0, 0.9, 185166, 167166, 0.402, 460611.94029850746, 0.0, 0.0
0, 19000, 0.0, 0.7, 194919, 175919, 0.42, 464092.85714285716, 0.0, 0.0
0, 20000, 0.0, 0.8, 204305, 184305, 0.439, 465387.24373576307, 0.0, 0.0
1, 1000, -0.1, 0.6, 8764, 7764, 0.019, 461263.15789473685, 0.0, 0.0
1, 2000, -0.1, 0.7, 18911, 16911, 0.037, 511108.1081081081, 0.0, 0.0
1, 3000, 0.0, 0.7, 28881, 25881, 0.055, 525109.0909090909, 0.0, 0.0
1, 4000, 0.0, 0.8, 39481, 35481, 0.074, 533527.0270270271, 0.0, 0.0
1, 5000, 0.0, 0.7, 50111, 45111, 0.093, 538827.9569892474, 0.0, 0.0
1, 6000, 0.0, 0.8, 60789, 54789, 0.112, 542758.9285714285, 0.0, 0.0
1, 7000, 0.0, 0.9, 71613, 64613, 0.131, 546664.1221374045, 0.0, 0.0
1, 8000, 0.0, 0.4, 82504, 74504, 0.152, 542789.4736842106, 0.0, 0.0
1, 9000, 0.0, 0.7, 93179, 84179, 0.172, 541738.3720930233, 0.0, 0.0
1, 10000, 0.0, 0.6, 103709, 93709, 0.192, 540151.0416666666, 0.0, 0.0
1, 11000, 0.0, 0.5, 114792, 103792, 0.212, 541471.6981132076, 0.0, 0.0
1, 12000, 0.0, 0.7, 125593, 113593, 0.231, 543692.6406926407, 0.0, 0.0
1, 13000, 0.0, 0.7, 136097, 123097, 0.25, 544388.0, 0.0, 0.0
1, 14000, 0.0, 0.8, 147347, 133347, 0.272, 541716.9117647058, 0.0, 0.0
1, 15000, 0.0, 0.8, 158100, 143100, 0.296, 534121.6216216217, 0.0, 0.0
1, 16000, 0.0, 0.9, 168740, 152740, 0.317, 532302.8391167192, 0.0, 0.0
1, 17000, 0.0, 0.9, 179248, 162248, 0.34, 527200.0, 0.0, 0.0
1, 18000, 0.0, 0.9, 189630, 171630, 0.363, 522396.69421487604, 0.0, 0.0
1, 19000, 0.0, 0.8, 199792, 180792, 0.385, 518940.25974025973, 0.0, 0.0
1, 20000, 0.0, 0.8, 209415, 189415, 0.405, 517074.07407407404, 0.0, 0.0
