TDNTuple3Agt: USESYM:false, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:0.5->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1, evalQ: 2, evalT: 4
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 1000, -0.7, -0.9, 3480, 4480, 0.053, 65660.37735849057, 0.0, 0.0
0, 2000, -0.8, -1.0, 6811, 8811, 0.078, 87320.51282051283, 0.0, 0.0
0, 3000, -0.7, -1.0, 10082, 13082, 0.089, 113280.8988764045, 0.0, 0.0
0, 4000, -0.6, -1.0, 13356, 17356, 0.099, 134909.0909090909, 0.0, 0.0
0, 5000, -0.9, -1.0, 16639, 21639, 0.11, 151263.63636363635, 0.0, 0.0
0, 6000, -0.8, -1.0, 19868, 25868, 0.123, 161528.45528455285, 0.0, 0.0
0, 7000, -0.8, -1.0, 23120, 30120, 0.134, 172537.3134328358, 0.0, 0.0
0, 8000, -0.7, -0.9, 26321, 34321, 0.145, 181524.1379310345, 0.0, 0.0
0, 9000, -0.9, -0.9, 29547, 38547, 0.155, 190625.8064516129, 0.0, 0.0
0, 10000, -0.5, -0.8, 32701, 42701, 0.165, 198187.87878787878, 0.0, 0.0
0, 11000, -0.8, -1.0, 35847, 46847, 0.176, 203676.13636363638, 0.0, 0.0
0, 12000, -0.9, -1.0, 38976, 50976, 0.19, 205136.84210526315, 0.0, 0.0
0, 13000, -0.8, -1.0, 42110, 55110, 0.201, 209502.48756218905, 0.0, 0.0
0, 14000, -0.7, -1.0, 45229, 59229, 0.211, 214355.45023696683, 0.0, 0.0
0, 15000, -0.5, -0.9, 48324, 63324, 0.222, 217675.67567567568, 0.0, 0.0
0, 16000, -0.7, -1.0, 51389, 67389, 0.234, 219611.1111111111, 0.0, 0.0
0, 17000, -1.0, -1.0, 54442, 71442, 0.244, 223122.95081967214, 0.0, 0.0
0, 18000, -0.9, -1.0, 57481, 75481, 0.255, 225415.6862745098, 0.0, 0.0
0, 19000, -0.7, -1.0, 60512, 79512, 0.265, 228347.16981132075, 0.0, 0.0
0, 20000, -0.9, -1.0, 63525, 83525, 0.275, 230999.99999999997, 0.0, 0.0
1, 1000, -0.5, -1.0, 5086, 6086, 0.015, 339066.6666666667, 0.0, 0.0
1, 2000, -0.8, -0.9, 10115, 12115, 0.027, 374629.6296296296, 0.0, 0.0
1, 3000, -0.7, -0.8, 15051, 18051, 0.042, 358357.14285714284, 0.0, 0.0
1, 4000, -0.9, -1.0, 20025, 24025, 0.055, 364090.9090909091, 0.0, 0.0
1, 5000, -0.5, -0.9, 24978, 29978, 0.071, 351802.8169014085, 0.0, 0.0
1, 6000, -0.7, -1.0, 29956, 35956, 0.083, 360915.6626506024, 0.0, 0.0
1, 7000, -0.9, -0.8, 34913, 41913, 0.095, 367505.2631578947, 0.0, 0.0
1, 8000, -0.8, -0.8, 39888, 47888, 0.108, 369333.3333333333, 0.0, 0.0
1, 9000, -0.5, -0.9, 44910, 53910, 0.121, 371157.02479338844, 0.0, 0.0
1, 10000, -0.9, -0.7, 49917, 59917, 0.134, 372514.9253731343, 0.0, 0.0
1, 11000, -1.0, -0.8, 54909, 65909, 0.147, 373530.612244898, 0.0, 0.0
1, 12000, -0.7, -0.8, 59909, 71909, 0.159, 376786.1635220126, 0.0, 0.0
1, 13000, -0.7, -0.6, 64893, 77893, 0.173, 375104.0462427746, 0.0, 0.0
1, 14000, -0.6, -1.0, 69870, 83870, 0.185, 377675.6756756757, 0.0, 0.0
1, 15000, -0.8, -0.8, 74885, 89885, 0.198, 378207.0707070707, 0.0, 0.0
1, 16000, -0.8, -0.8, 79906, 95906, 0.21, 380504.7619047619, 0.0, 0.0
1, 17000, -0.7, -1.0, 84912, 101912, 0.223, 380771.30044843047, 0.0, 0.0
1, 18000, -0.7, -0.9, 89921, 107921, 0.236, 381021.18644067796, 0.0, 0.0
1, 19000, -0.5, -0.9, 94907, 113907, 0.249, 381152.6104417671, 0.0, 0.0
1, 20000, -0.6, -1.0, 99908, 119908, 0.262, 381328.24427480914, 0.0, 0.0
2, 1000, -0.8, -0.7, 6298, 7298, 0.014, 449857.14285714284, 0.0, 0.0
2, 2000, -0.6, -0.7, 13019, 15019, 0.03, 433966.6666666667, 0.0, 0.0
2, 3000, -0.9, -0.9, 19730, 22730, 0.047, 419787.2340425532, 0.0, 0.0
2, 4000, -0.8, -0.8, 26140, 30140, 0.063, 414920.6349206349, 0.0, 0.0
2, 5000, -0.7, -0.9, 31396, 36396, 0.076, 413105.2631578947, 0.0, 0.0
2, 6000, -0.9, -0.7, 36633, 42633, 0.09, 407033.3333333334, 0.0, 0.0
2, 7000, -0.8, -0.8, 41826, 48826, 0.106, 394584.90566037735, 0.0, 0.0
2, 8000, -0.9, -0.6, 47054, 55054, 0.12, 392116.6666666667, 0.0, 0.0
2, 9000, -0.8, -0.8, 52262, 61262, 0.133, 392947.3684210526, 0.0, 0.0
2, 10000, -0.4, -0.7, 57413, 67413, 0.147, 390564.6258503402, 0.0, 0.0
2, 11000, -0.9, -0.8, 62590, 73590, 0.16, 391187.5, 0.0, 0.0
2, 12000, -0.8, -1.0, 67739, 79739, 0.173, 391554.9132947977, 0.0, 0.0
2, 13000, -0.8, -0.7, 72817, 85817, 0.185, 393605.4054054054, 0.0, 0.0
2, 14000, -0.9, -0.8, 77895, 91895, 0.198, 393409.0909090909, 0.0, 0.0
