TDNTuple3Agt: USESYM:true, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.15->0.15, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 1, evalT: 3
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 2000, 0.2533333333333333, 0.33999999999999997, 15071, 14742, 0.102, 147754.90196078434, 0.0, 0.0
0, 4000, 0.020000000000000004, 0.31333333333333335, 30962, 30381, 0.147, 210625.85034013606, 0.0, 0.0
0, 6000, 0.0, 0.5533333333333333, 47061, 46270, 0.18, 261450.0, 0.0, 0.0
0, 8000, 0.0, 0.6933333333333332, 63330, 62411, 0.214, 295934.5794392523, 0.0, 0.0
0, 10000, 0.0, 0.6133333333333333, 79772, 78597, 0.248, 321661.29032258067, 0.0, 0.0
0, 12000, 0.0, 0.7933333333333332, 96149, 94765, 0.282, 340953.9007092199, 0.0, 0.0
0, 14000, 0.0, 0.7399999999999999, 112490, 110872, 0.315, 357111.1111111111, 0.0, 0.0
0, 16000, 0.0, 0.6333333333333333, 128794, 127070, 0.352, 365892.04545454547, 0.0, 0.0
0, 18000, 0.0, 0.6933333333333332, 145240, 143370, 0.385, 377246.75324675324, 0.0, 0.0
0, 20000, 0.0, 0.7, 161800, 159769, 0.42, 385238.09523809527, 0.0, 0.0
0, 22000, 0.0, 0.6, 178817, 176752, 0.463, 386213.82289416844, 0.0, 0.0
0, 24000, 0.0, 0.7666666666666666, 195383, 193226, 0.498, 392335.3413654618, 0.0, 0.0
0, 26000, 0.0, 0.6533333333333333, 212044, 209840, 0.538, 394133.8289962825, 0.0, 0.0
0, 28000, 0.0, 0.7533333333333332, 229274, 227016, 0.584, 392592.4657534247, 0.0, 0.0
0, 30000, 0.0, 0.7799999999999999, 246027, 243605, 0.622, 395541.80064308684, 0.0, 0.0
1, 2000, 0.06000000000000001, 0.1466666666666667, 14835, 14428, 0.035, 423857.14285714284, 0.0, 0.0
1, 4000, 0.013333333333333336, 0.38666666666666666, 29700, 28882, 0.064, 464062.5, 0.0, 0.0
1, 6000, 0.0, 0.2866666666666667, 45919, 44928, 0.099, 463828.2828282828, 0.0, 0.0
1, 8000, 0.06666666666666668, 0.7466666666666665, 62427, 61295, 0.132, 472931.8181818182, 0.0, 0.0
1, 10000, 0.053333333333333344, 0.6466666666666666, 78716, 77458, 0.165, 477066.6666666666, 0.0, 0.0
1, 12000, 0.013333333333333336, 0.7333333333333332, 95455, 94106, 0.203, 470221.67487684725, 0.0, 0.0
1, 14000, 0.013333333333333336, 0.7266666666666666, 111743, 110250, 0.238, 469508.40336134454, 0.0, 0.0
1, 16000, 0.026666666666666672, 0.9133333333333332, 128329, 126640, 0.284, 451862.67605633807, 0.0, 0.0
1, 18000, 0.026666666666666672, 0.9133333333333332, 144894, 143049, 0.34, 426158.82352941175, 0.0, 0.0
1, 20000, 0.0, 0.9133333333333332, 161322, 159331, 0.427, 377803.2786885246, 0.0, 0.0
1, 22000, 0.0, 0.8533333333333332, 177778, 175648, 0.562, 316330.9608540925, 0.0, 0.0
1, 24000, 0.0, 0.8866666666666666, 194279, 191970, 0.657, 295706.2404870624, 0.0, 0.0
1, 26000, 0.0, 0.8466666666666666, 210635, 208184, 0.691, 304826.3386396527, 0.0, 0.0
1, 28000, 0.0, 0.8133333333333332, 227038, 224455, 0.723, 314022.13001383125, 0.0, 0.0
1, 30000, 0.0, 0.9733333333333332, 243360, 240602, 0.822, 296058.39416058396, 0.0, 0.0
2, 2000, 0.020000000000000004, 0.08000000000000002, 13890, 13318, 0.027, 514444.44444444444, 0.0, 0.0
2, 4000, 0.0, 0.45999999999999996, 29704, 28878, 0.057, 521122.8070175438, 0.0, 0.0
2, 6000, 0.0, 0.3666666666666667, 46444, 45545, 0.089, 521842.6966292135, 0.0, 0.0
2, 8000, 0.0, 0.3066666666666667, 62618, 61536, 0.123, 509089.43089430896, 0.0, 0.0
2, 10000, 0.0, 0.32666666666666666, 78844, 77607, 0.157, 502191.0828025478, 0.0, 0.0
2, 12000, 0.0, 0.26, 95095, 93650, 0.19, 500500.0, 0.0, 0.0
2, 14000, 0.0, 0.2666666666666667, 111340, 109721, 0.223, 499282.5112107623, 0.0, 0.0
2, 16000, 0.0, 0.5999999999999999, 127534, 125737, 0.256, 498179.6875, 0.0, 0.0
2, 18000, 0.0, 0.5599999999999999, 143836, 141845, 0.289, 497702.4221453288, 0.0, 0.0
2, 20000, 0.0, 0.6399999999999999, 160150, 157954, 0.322, 497360.24844720494, 0.0, 0.0
2, 22000, 0.0, 0.6333333333333333, 176499, 174028, 0.353, 499997.1671388102, 0.0, 0.0
2, 24000, 0.0, 0.7399999999999999, 192859, 190200, 0.386, 499634.71502590674, 0.0, 0.0
2, 26000, 0.0, 0.6866666666666665, 209134, 206325, 0.418, 500320.57416267943, 0.0, 0.0
2, 28000, 0.0, 0.7733333333333332, 225485, 222582, 0.452, 498860.6194690265, 0.0, 0.0
2, 30000, 0.0, 0.6866666666666665, 241959, 238829, 0.485, 498884.5360824742, 0.0, 0.0
3, 2000, 0.020000000000000004, 0.34, 14687, 14245, 0.029, 506448.2758620689, 0.0, 0.0
3, 4000, 0.0, 0.31333333333333335, 29705, 28929, 0.058, 512155.1724137931, 0.0, 0.0
3, 6000, 0.0, 0.58, 45930, 44954, 0.092, 499239.1304347826, 0.0, 0.0
3, 8000, 0.0, 0.7666666666666665, 62302, 61094, 0.127, 490566.92913385824, 0.0, 0.0
3, 10000, 0.0, 0.7599999999999999, 78658, 77219, 0.159, 494704.40251572325, 0.0, 0.0
3, 12000, 0.0, 0.7733333333333332, 95012, 93462, 0.195, 487241.0256410256, 0.0, 0.0
3, 14000, 0.0, 0.7533333333333332, 111506, 109784, 0.232, 480629.31034482754, 0.0, 0.0
3, 16000, 0.0, 0.7533333333333332, 127906, 126121, 0.289, 442581.3148788928, 0.0, 0.0
3, 18000, 0.0, 0.8466666666666666, 144432, 142512, 0.38, 380084.2105263158, 0.0, 0.0
3, 20000, 0.0, 0.7399999999999999, 160976, 158892, 0.475, 338896.84210526315, 0.0, 0.0
3, 22000, 0.0, 0.82, 177613, 175331, 0.565, 314359.29203539825, 0.0, 0.0
3, 24000, 0.33333333333333326, 0.8333333333333333, 194411, 192010, 0.62, 313566.12903225806, 0.0, 0.0
3, 26000, 0.0, 0.8399999999999999, 212145, 209698, 0.675, 314288.8888888889, 0.0, 0.0
3, 28000, 0.0, 0.9733333333333332, 229247, 226832, 0.728, 314899.7252747253, 0.0, 0.0
3, 30000, 0.0, 0.9199999999999999, 247411, 245014, 0.789, 313575.41191381495, 0.0, 0.0
4, 2000, 0.020000000000000004, 0.3866666666666666, 14085, 13554, 0.035, 402428.57142857136, 0.0, 0.0
4, 4000, 0.0, 0.2666666666666667, 30387, 29622, 0.073, 416260.2739726028, 0.0, 0.0
4, 6000, 0.0, 0.5866666666666667, 47900, 47078, 0.123, 389430.89430894307, 0.0, 0.0
4, 8000, 0.0, 0.7133333333333333, 66133, 65455, 0.167, 396005.98802395206, 0.0, 0.0
4, 10000, 0.0, 0.6399999999999999, 84027, 83352, 0.211, 398232.2274881517, 0.0, 0.0
4, 12000, 0.0, 0.6, 101928, 101356, 0.253, 402877.4703557312, 0.0, 0.0
4, 14000, 0.0, 0.7999999999999999, 120547, 120191, 0.324, 372058.64197530865, 0.0, 0.0
