TDNTuple3Agt: USESYM:true, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.15->0.15, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 2, evalT: 4
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 5000, 0.11799999999999997, 0.17111111111111107, 35530, 34180, 0.248, 143266.12903225806, 0.0, 0.0
0, 10000, 0.16599999999999998, 0.26888888888888884, 76100, 74302, 0.52, 146346.15384615384, 0.0, 0.0
0, 15000, 0.08933333333333332, 0.5866666666666667, 118686, 116757, 0.802, 147987.5311720698, 0.0, 0.0
0, 20000, 0.07599999999999998, 0.5266666666666666, 162730, 160851, 1.098, 148205.82877959925, 0.0, 0.0
0, 25000, 0.10666666666666665, 0.6199999999999999, 206391, 204605, 1.397, 147738.72584108805, 0.0, 0.0
0, 30000, 0.15799999999999997, 0.9022222222222223, 247663, 245426, 1.667, 148568.08638272344, 0.0, 0.0
0, 35000, 0.24266666666666664, 0.8355555555555554, 289648, 287081, 1.938, 149457.17234262126, 0.0, 0.0
0, 40000, 0.013333333333333336, 0.7711111111111111, 332323, 329550, 2.224, 149425.80935251797, 0.0, 0.0
0, 45000, 0.16066666666666665, 0.9377777777777776, 373355, 370233, 2.488, 150062.29903536977, 0.0, 0.0
0, 50000, 0.11999999999999997, 0.8711111111111111, 414716, 411169, 2.758, 150368.3828861494, 0.0, 0.0
0, 55000, 0.17066666666666663, 0.9533333333333334, 455805, 451970, 3.029, 150480.35655331792, 0.0, 0.0
0, 60000, 0.248, 0.8933333333333333, 497114, 492871, 3.298, 150731.95876288658, 0.0, 0.0
0, 65000, 0.048666666666666664, 0.8711111111111111, 538260, 533539, 3.562, 151111.73498034812, 0.0, 0.0
0, 70000, 0.18666666666666662, 0.8488888888888889, 579429, 574216, 3.825, 151484.70588235292, 0.0, 0.0
0, 75000, 0.15999999999999998, 0.8555555555555555, 620550, 614889, 4.091, 151686.62918601808, 0.0, 0.0
0, 80000, 0.1873333333333333, 0.9066666666666668, 661811, 655783, 4.36, 151791.51376146788, 0.0, 0.0
0, 85000, 0.094, 0.9044444444444444, 703110, 696744, 4.63, 151859.6112311015, 0.0, 0.0
0, 90000, 0.18866666666666662, 0.8711111111111112, 744487, 737790, 4.902, 151874.13300693594, 0.0, 0.0
0, 95000, 0.20933333333333332, 0.9266666666666665, 785811, 778789, 5.17, 151994.3907156673, 0.0, 0.0
0, 100000, 0.17999999999999997, 0.9088888888888891, 827362, 819943, 5.441, 152060.65061569566, 0.0, 0.0
1, 5000, 0.16199999999999998, 0.2755555555555555, 38310, 37568, 0.251, 152629.48207171314, 0.0, 0.0
1, 10000, 0.09333333333333331, 0.64, 78862, 77719, 0.515, 153130.09708737864, 0.0, 0.0
1, 15000, 0.11466666666666665, 0.44222222222222224, 119600, 118000, 0.778, 153727.5064267352, 0.0, 0.0
1, 20000, 0.09266666666666665, 0.7488888888888888, 162404, 160564, 1.061, 153066.91800188503, 0.0, 0.0
1, 25000, 0.1733333333333333, 0.7155555555555554, 203629, 201422, 1.328, 153335.09036144576, 0.0, 0.0
1, 30000, 0.11066666666666665, 0.7933333333333332, 244968, 242390, 1.596, 153488.72180451127, 0.0, 0.0
1, 35000, 0.24666666666666665, 0.7733333333333333, 287162, 284369, 1.869, 153644.72980203317, 0.0, 0.0
1, 40000, 0.18999999999999997, 0.8555555555555554, 330920, 328149, 2.165, 152849.8845265589, 0.0, 0.0
1, 45000, 0.12133333333333333, 0.7711111111111111, 374815, 372060, 2.461, 152301.90979276717, 0.0, 0.0
1, 50000, 0.172, 0.931111111111111, 421364, 419099, 2.779, 151624.32529686939, 0.0, 0.0
1, 55000, 0.29999999999999993, 0.831111111111111, 467980, 466101, 3.099, 151010.00322684736, 0.0, 0.0
1, 60000, 0.3433333333333332, 0.8866666666666667, 514569, 513316, 3.419, 150502.77859023106, 0.0, 0.0
1, 65000, 0.35133333333333316, 0.8377777777777776, 561303, 560645, 3.747, 149800.64051240994, 0.0, 0.0
1, 70000, 0.15199999999999997, 0.9022222222222223, 608041, 607990, 4.079, 149066.19269428783, 0.0, 0.0
1, 75000, 0.3639999999999999, 0.7733333333333332, 654619, 655164, 4.418, 148170.89180624718, 0.0, 0.0
1, 80000, 0.2866666666666665, 0.8711111111111111, 701408, 702485, 4.754, 147540.5973916702, 0.0, 0.0
1, 85000, 0.26933333333333326, 0.8133333333333332, 748069, 749824, 5.08, 147257.67716535434, 0.0, 0.0
1, 90000, 0.3093333333333333, 0.8488888888888889, 794966, 797357, 5.41, 146943.8077634011, 0.0, 0.0
1, 95000, 0.31133333333333335, 0.8599999999999998, 841938, 844890, 5.73, 146935.0785340314, 0.0, 0.0
1, 100000, 0.2753333333333332, 0.831111111111111, 888631, 892110, 6.046, 146978.3327820046, 0.0, 0.0
2, 5000, 0.044666666666666674, 0.4066666666666666, 37892, 36928, 0.246, 154032.52032520325, 0.0, 0.0
2, 10000, 0.024, 0.43999999999999995, 78351, 76949, 0.523, 149810.70745697897, 0.0, 0.0
2, 15000, 0.05199999999999999, 0.6488888888888887, 120371, 118804, 0.806, 149343.67245657567, 0.0, 0.0
2, 20000, 0.08666666666666664, 0.8288888888888888, 164370, 162911, 1.104, 148885.86956521738, 0.0, 0.0
2, 25000, 0.006666666666666668, 0.8733333333333334, 208647, 207385, 1.406, 148397.58179231864, 0.0, 0.0
