TDNTuple3Agt: USESYM:true, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.15->0.15, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 2, evalT: 4
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 2000, 0.15, 0.26222222222222225, 14124, 13530, 0.116, 121758.62068965516, 0.0, 0.0
0, 4000, 0.10933333333333332, 0.4888888888888888, 29884, 28955, 0.227, 131647.577092511, 0.0, 0.0
0, 6000, 0.03599999999999999, 0.6511111111111111, 46117, 44951, 0.331, 139326.2839879154, 0.0, 0.0
0, 8000, 0.09466666666666665, 0.5311111111111111, 62697, 61383, 0.439, 142817.76765375855, 0.0, 0.0
0, 10000, 0.09533333333333331, 0.6311111111111111, 79223, 77755, 0.55, 144041.81818181818, 0.0, 0.0
0, 12000, 0.14399999999999996, 0.5888888888888888, 95611, 94050, 0.658, 145305.47112462006, 0.0, 0.0
0, 14000, 0.12066666666666666, 0.5155555555555555, 112179, 110394, 0.768, 146066.40625, 0.0, 0.0
0, 16000, 0.08133333333333333, 0.6333333333333333, 128717, 126827, 0.879, 146435.72241183164, 0.0, 0.0
0, 18000, 0.07066666666666664, 0.6555555555555556, 145190, 143098, 0.993, 146213.4944612286, 0.0, 0.0
0, 20000, 0.11933333333333332, 0.5755555555555555, 161620, 159396, 1.101, 146793.8237965486, 0.0, 0.0
0, 22000, 0.10133333333333332, 0.40888888888888886, 178117, 175706, 1.212, 146961.2211221122, 0.0, 0.0
0, 24000, 0.036, 0.5355555555555556, 194573, 192018, 1.321, 147292.20287660864, 0.0, 0.0
0, 26000, 0.10999999999999999, 0.54, 211097, 208421, 1.429, 147723.58292512246, 0.0, 0.0
0, 28000, 0.07533333333333334, 0.5622222222222222, 227585, 224755, 1.538, 147974.64239271783, 0.0, 0.0
0, 30000, 0.26199999999999996, 0.6511111111111111, 244175, 241201, 1.648, 148164.44174757283, 0.0, 0.0
1, 2000, 0.07200000000000001, 0.2955555555555555, 15249, 14876, 0.102, 149500.0, 0.0, 0.0
1, 4000, 0.11333333333333331, 0.5133333333333333, 30846, 30185, 0.201, 153462.68656716417, 0.0, 0.0
1, 6000, 0.06466666666666666, 0.4622222222222222, 47438, 46738, 0.316, 150120.25316455695, 0.0, 0.0
1, 8000, 0.19599999999999998, 0.5888888888888888, 64509, 63686, 0.429, 150370.62937062938, 0.0, 0.0
1, 10000, 0.14466666666666664, 0.5888888888888889, 80897, 79912, 0.536, 150927.23880597015, 0.0, 0.0
1, 12000, 0.010000000000000002, 0.6755555555555554, 97302, 96177, 0.643, 151325.03888024882, 0.0, 0.0
1, 14000, 0.13799999999999996, 0.6377777777777777, 114259, 113003, 0.754, 151537.1352785146, 0.0, 0.0
1, 16000, 0.22733333333333333, 0.5844444444444444, 130603, 129242, 0.861, 151687.5725900116, 0.0, 0.0
1, 18000, 0.16066666666666665, 0.7599999999999999, 148021, 146590, 0.979, 151196.11848825333, 0.0, 0.0
1, 20000, 0.20266666666666663, 0.7377777777777778, 165416, 163977, 1.097, 150789.4257064722, 0.0, 0.0
1, 22000, 0.09066666666666665, 0.9044444444444446, 182423, 180919, 1.21, 150762.80991735536, 0.0, 0.0
1, 24000, 0.14333333333333328, 0.9199999999999999, 198846, 197265, 1.316, 151098.78419452888, 0.0, 0.0
1, 26000, 0.1973333333333333, 0.8244444444444443, 216040, 214410, 1.43, 151076.9230769231, 0.0, 0.0
1, 28000, 0.11666666666666665, 0.8422222222222222, 233527, 231947, 1.546, 151052.39327296248, 0.0, 0.0
1, 30000, 0.36799999999999994, 0.8711111111111112, 251433, 250025, 1.671, 150468.5816876122, 0.0, 0.0
2, 2000, 0.12466666666666666, 0.14666666666666667, 14113, 13528, 0.091, 155087.9120879121, 0.0, 0.0
2, 4000, 0.09133333333333334, 0.49555555555555547, 30096, 29273, 0.208, 144692.3076923077, 0.0, 0.0
2, 6000, 0.059999999999999984, 0.6155555555555556, 46710, 45714, 0.317, 147350.15772870663, 0.0, 0.0
2, 8000, 0.09133333333333331, 0.31777777777777777, 62652, 61435, 0.422, 148464.45497630333, 0.0, 0.0
2, 10000, 0.10866666666666665, 0.4533333333333333, 79088, 77660, 0.528, 149787.87878787878, 0.0, 0.0
2, 12000, 0.04800000000000001, 0.4222222222222222, 95322, 93654, 0.633, 150587.67772511847, 0.0, 0.0
2, 14000, 0.06133333333333333, 0.4, 111782, 109860, 0.741, 150852.90148448045, 0.0, 0.0
2, 16000, 0.10133333333333334, 0.45999999999999985, 128160, 126079, 0.846, 151489.36170212767, 0.0, 0.0
2, 18000, 0.07066666666666666, 0.7222222222222222, 144461, 142126, 0.95, 152064.2105263158, 0.0, 0.0
2, 20000, 0.020666666666666663, 0.6377777777777777, 160638, 158090, 1.055, 152263.50710900474, 0.0, 0.0
2, 22000, 0.11666666666666665, 0.5199999999999999, 176873, 174178, 1.16, 152476.72413793104, 0.0, 0.0
2, 24000, 0.09933333333333332, 0.5911111111111111, 193018, 190178, 1.264, 152704.11392405065, 0.0, 0.0
2, 26000, 0.09533333333333333, 0.58, 209265, 206235, 1.369, 152859.75164353542, 0.0, 0.0
2, 28000, 0.06133333333333333, 0.66, 225490, 222250, 1.471, 153290.27872195785, 0.0, 0.0
2, 30000, 0.09666666666666665, 0.6355555555555557, 241644, 238241, 1.584, 152553.0303030303, 0.0, 0.0
3, 2000, 0.041333333333333326, 0.21999999999999997, 14758, 14298, 0.093, 158688.17204301077, 0.0, 0.0
3, 4000, 0.0, 0.271111111111111, 30226, 29438, 0.193, 156611.39896373058, 0.0, 0.0
3, 6000, 0.02533333333333334, 0.6266666666666666, 47208, 46412, 0.305, 154780.32786885247, 0.0, 0.0
3, 8000, 0.2699999999999999, 0.49555555555555547, 64471, 63688, 0.418, 154236.84210526317, 0.0, 0.0
3, 10000, 0.22866666666666666, 0.6133333333333333, 81575, 80810, 0.535, 152476.63551401868, 0.0, 0.0
3, 12000, 0.3233333333333333, 0.66, 98455, 97553, 0.648, 151936.7283950617, 0.0, 0.0
3, 14000, 0.2759999999999999, 0.6333333333333332, 115127, 114094, 0.757, 152083.22324966974, 0.0, 0.0
3, 16000, 0.09399999999999999, 0.76, 132052, 130968, 0.869, 151958.57307249712, 0.0, 0.0
3, 18000, 0.14533333333333331, 0.7288888888888889, 148750, 147515, 0.978, 152096.1145194274, 0.0, 0.0
3, 20000, 0.09466666666666665, 0.7177777777777777, 165500, 164140, 1.087, 152253.90984360626, 0.0, 0.0
3, 22000, 0.044, 0.6733333333333333, 182204, 180722, 1.23, 148133.33333333334, 0.0, 0.0
3, 24000, 0.09999999999999999, 0.6533333333333331, 198823, 197224, 1.34, 148375.37313432834, 0.0, 0.0
3, 26000, 0.04533333333333332, 0.6644444444444443, 215400, 213660, 1.458, 147736.6255144033, 0.0, 0.0
3, 28000, 0.1513333333333333, 0.7711111111111111, 231999, 230115, 1.567, 148052.96745373326, 0.0, 0.0
3, 30000, 0.11466666666666665, 0.7266666666666668, 248616, 246586, 1.676, 148338.90214797136, 0.0, 0.0
4, 2000, 0.06933333333333333, 0.45999999999999996, 16074, 15843, 0.112, 143517.85714285713, 0.0, 0.0
4, 4000, 0.052000000000000005, 0.5022222222222222, 32572, 32080, 0.226, 144123.89380530972, 0.0, 0.0
4, 6000, 0.14066666666666666, 0.5488888888888888, 48966, 48287, 0.338, 144869.82248520709, 0.0, 0.0
4, 8000, 0.076, 0.4777777777777777, 65286, 64415, 0.445, 146710.11235955055, 0.0, 0.0
4, 10000, 0.05, 0.3666666666666666, 81494, 80442, 0.549, 148440.8014571949, 0.0, 0.0
