TDNTuple3Agt: USESYM:true, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.15->0.15, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 2, evalT: 4
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 2000, 0.030666666666666675, 0.017777777777777774, 8408, 13853, 0.158, 53215.18987341772, 0.0, 0.0
0, 4000, 0.030666666666666675, 0.03333333333333333, 16681, 27546, 0.255, 65415.686274509804, 0.0, 0.0
0, 6000, 0.023333333333333338, 0.09999999999999999, 24925, 41177, 0.35, 71214.28571428572, 0.0, 0.0
0, 8000, 0.05466666666666666, 0.03555555555555555, 33269, 54918, 0.586, 56773.03754266212, 0.0, 0.0
0, 10000, 0.03266666666666666, 0.06, 41479, 68612, 0.824, 50338.59223300971, 0.0, 0.0
0, 12000, 0.03066666666666667, 0.057777777777777775, 49763, 82361, 1.069, 46550.9822263798, 0.0, 0.0
0, 14000, 0.011333333333333336, 0.10888888888888888, 58126, 96173, 1.344, 43248.5119047619, 0.0, 0.0
0, 16000, 0.028666666666666667, 0.057777777777777775, 66276, 109792, 1.594, 41578.41907151819, 0.0, 0.0
0, 18000, 0.023333333333333338, 0.057777777777777775, 74534, 123543, 1.726, 43183.08227114716, 0.0, 0.0
0, 20000, 0.01666666666666667, 0.042222222222222223, 82757, 137176, 1.965, 42115.521628498725, 0.0, 0.0
0, 22000, 0.016000000000000004, 0.10666666666666666, 90961, 150851, 2.196, 41421.22040072859, 0.0, 0.0
0, 24000, 0.023333333333333338, 0.06666666666666665, 99244, 164525, 2.433, 40790.7932593506, 0.0, 0.0
0, 26000, 0.013333333333333336, 0.06, 107476, 178149, 2.655, 40480.602636534844, 0.0, 0.0
0, 28000, 0.03400000000000001, 0.048888888888888885, 115802, 191888, 2.914, 39739.87645847632, 0.0, 0.0
0, 30000, 0.03066666666666667, 0.06888888888888889, 123938, 205523, 3.147, 39382.9043533524, 0.0, 0.0
1, 2000, 0.015999999999999997, 0.07999999999999999, 8207, 13706, 0.237, 34628.691983122364, 0.0, 0.0
1, 4000, 0.023333333333333334, 0.06444444444444444, 16454, 27407, 0.469, 35083.15565031983, 0.0, 0.0
1, 6000, 0.03533333333333334, 0.07999999999999999, 24546, 40998, 0.7, 35065.71428571429, 0.0, 0.0
1, 8000, 0.032, 0.031111111111111107, 32730, 54586, 0.849, 38551.23674911661, 0.0, 0.0
1, 10000, 0.03666666666666667, 0.07777777777777777, 40974, 68247, 1.076, 38079.92565055762, 0.0, 0.0
1, 12000, 0.029333333333333333, 0.06000000000000001, 49174, 82008, 1.164, 42245.70446735396, 0.0, 0.0
1, 14000, 0.01466666666666667, 0.07999999999999999, 57435, 95758, 1.247, 46058.54049719326, 0.0, 0.0
1, 16000, 0.028666666666666667, 0.039999999999999994, 65749, 109569, 1.332, 49361.11111111111, 0.0, 0.0
1, 18000, 0.016000000000000004, 0.06222222222222222, 73978, 123282, 1.419, 52133.897110641294, 0.0, 0.0
1, 20000, 0.023333333333333338, 0.11333333333333333, 82293, 136949, 1.501, 54825.44970019987, 0.0, 0.0
1, 22000, 0.02466666666666667, 0.09555555555555555, 90555, 150647, 1.584, 57168.5606060606, 0.0, 0.0
1, 24000, 0.038, 0.07777777777777777, 98801, 164352, 1.664, 59375.60096153846, 0.0, 0.0
1, 26000, 0.011333333333333334, 0.06444444444444444, 106983, 177947, 1.744, 61343.463302752294, 0.0, 0.0
1, 28000, 0.03133333333333334, 0.1088888888888889, 115291, 191721, 1.826, 63138.554216867466, 0.0, 0.0
1, 30000, 0.026000000000000006, 0.059999999999999984, 123629, 205580, 1.908, 64795.07337526206, 0.0, 0.0
2, 2000, 0.01866666666666667, 0.06666666666666665, 8330, 13753, 0.084, 99166.66666666666, 0.0, 0.0
2, 4000, 0.018000000000000002, 0.0711111111111111, 16603, 27466, 0.167, 99419.1616766467, 0.0, 0.0
2, 6000, 0.044, 0.06888888888888889, 24990, 41274, 0.249, 100361.44578313253, 0.0, 0.0
2, 8000, 0.015333333333333334, 0.039999999999999994, 33312, 55071, 0.331, 100640.4833836858, 0.0, 0.0
2, 10000, 0.016000000000000004, 0.11333333333333333, 41535, 68769, 0.413, 100569.00726392253, 0.0, 0.0
2, 12000, 0.02, 0.05333333333333333, 49786, 82507, 0.496, 100375.0, 0.0, 0.0
2, 14000, 0.03133333333333334, 0.028888888888888888, 58040, 96224, 0.577, 100589.2547660312, 0.0, 0.0
2, 16000, 0.02266666666666667, 0.0688888888888889, 66191, 109831, 0.658, 100594.22492401216, 0.0, 0.0
2, 18000, 0.04066666666666667, 0.09777777777777777, 74431, 123493, 0.74, 100582.43243243244, 0.0, 0.0
2, 20000, 0.01266666666666667, 0.10444444444444442, 82770, 137321, 0.829, 99843.1845597105, 0.0, 0.0
2, 22000, 0.032, 0.05333333333333332, 91032, 151015, 0.91, 100035.16483516483, 0.0, 0.0
2, 24000, 0.034, 0.062222222222222213, 99258, 164728, 0.993, 99957.70392749245, 0.0, 0.0
2, 26000, 0.015999999999999997, 0.08444444444444445, 107553, 178461, 1.078, 99770.87198515769, 0.0, 0.0
2, 28000, 0.023333333333333334, 0.048888888888888885, 115785, 192049, 1.169, 99046.19332763045, 0.0, 0.0
2, 30000, 0.03666666666666667, 0.07999999999999999, 124068, 205773, 1.25, 99254.4, 0.0, 0.0
3, 2000, 0.016000000000000004, 0.046666666666666655, 8172, 13588, 0.084, 97285.71428571428, 0.0, 0.0
3, 4000, 0.012000000000000002, 0.1311111111111111, 16494, 27387, 0.166, 99361.44578313253, 0.0, 0.0
3, 6000, 0.021333333333333333, 0.06666666666666665, 24731, 41060, 0.248, 99721.7741935484, 0.0, 0.0
3, 8000, 0.012, 0.06444444444444444, 33109, 54879, 0.336, 98538.69047619047, 0.0, 0.0
3, 10000, 0.02466666666666667, 0.06444444444444444, 41427, 68600, 0.418, 99107.65550239234, 0.0, 0.0
3, 12000, 0.01866666666666667, 0.02222222222222222, 49604, 82233, 0.498, 99606.42570281125, 0.0, 0.0
3, 14000, 0.038, 0.05555555555555556, 57778, 95883, 0.583, 99104.63121783877, 0.0, 0.0
3, 16000, 0.023333333333333338, 0.05555555555555556, 65997, 109589, 0.667, 98946.02698650674, 0.0, 0.0
3, 18000, 0.02466666666666667, 0.06222222222222222, 74161, 123228, 0.751, 98749.66711051931, 0.0, 0.0
3, 20000, 0.028000000000000004, 0.06888888888888889, 82485, 136984, 0.832, 99140.625, 0.0, 0.0
3, 22000, 0.022000000000000002, 0.07999999999999999, 90685, 150617, 0.912, 99435.30701754386, 0.0, 0.0
3, 24000, 0.01666666666666667, 0.06444444444444444, 98879, 164316, 0.992, 99676.41129032258, 0.0, 0.0
3, 26000, 0.025333333333333336, 0.062222222222222213, 107164, 178091, 1.073, 99873.25256290774, 0.0, 0.0
3, 28000, 0.027999999999999997, 0.08444444444444445, 115395, 191734, 1.156, 99822.66435986159, 0.0, 0.0
3, 30000, 0.021333333333333336, 0.11555555555555555, 123696, 205503, 1.237, 99996.7663702506, 0.0, 0.0
4, 2000, 0.02, 0.08444444444444445, 8296, 13725, 0.082, 101170.73170731707, 0.0, 0.0
4, 4000, 0.015333333333333334, 0.07777777777777777, 16574, 27435, 0.165, 100448.48484848485, 0.0, 0.0
