TDNTuple3Agt: USESYM:true, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.15->0.15, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 1, evalT: 3
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 2000, 0.013333333333333336, 0.13333333333333336, 8304, 13760, 0.112, 74142.85714285714, 0.0, 0.0
0, 4000, 0.020000000000000004, 0.06666666666666667, 16653, 27515, 0.223, 74677.13004484304, 0.0, 0.0
0, 6000, 0.020000000000000004, 0.006666666666666668, 24860, 41152, 0.349, 71232.09169054442, 0.0, 0.0
0, 8000, 0.0, 0.04666666666666667, 33192, 54971, 0.449, 73924.27616926504, 0.0, 0.0
0, 10000, 0.006666666666666668, 0.10666666666666666, 41410, 68606, 0.545, 75981.65137614678, 0.0, 0.0
0, 12000, 0.006666666666666668, 0.04, 49721, 82327, 0.639, 77810.64162754304, 0.0, 0.0
0, 14000, 0.006666666666666668, 0.11333333333333334, 57970, 96002, 0.743, 78021.53432032301, 0.0, 0.0
0, 16000, 0.006666666666666668, 0.08, 66255, 109768, 0.836, 79252.39234449761, 0.0, 0.0
0, 18000, 0.013333333333333336, 0.12, 74377, 123285, 0.935, 79547.5935828877, 0.0, 0.0
0, 20000, 0.04, 0.11333333333333334, 82775, 137189, 1.028, 80520.4280155642, 0.0, 0.0
0, 22000, 0.013333333333333336, 0.04666666666666667, 91038, 150879, 1.115, 81648.43049327354, 0.0, 0.0
0, 24000, 0.0, 0.12, 99262, 164552, 1.21, 82034.71074380165, 0.0, 0.0
0, 26000, 0.04666666666666667, 0.006666666666666668, 107507, 178210, 1.3, 82697.6923076923, 0.0, 0.0
0, 28000, 0.04, 0.18666666666666668, 115709, 191877, 1.39, 83243.88489208634, 0.0, 0.0
0, 30000, 0.006666666666666668, 0.11333333333333334, 123893, 205475, 1.488, 83261.4247311828, 0.0, 0.0
1, 2000, 0.013333333333333336, 0.05333333333333334, 8216, 13721, 0.093, 88344.08602150538, 0.0, 0.0
1, 4000, 0.013333333333333336, 0.08666666666666667, 16475, 27380, 0.193, 85362.69430051814, 0.0, 0.0
