TDNTuple3Agt: USESYM:true, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.15->0.15, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 2, evalT: -1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 10000, 0.29399999999999993, 0.0, 73885, 71802, 0.568, 130079.22535211268, 0.0, 0.0
0, 20000, 0.08199999999999999, 0.0, 153517, 150095, 1.247, 123109.06174819566, 0.0, 0.0
0, 30000, 0.16466666666666666, 0.0, 233332, 228704, 1.826, 127783.13253012048, 0.0, 0.0
0, 40000, 0.21999999999999992, 0.0, 315045, 309464, 2.456, 128275.65146579804, 0.0, 0.0
0, 50000, 0.31999999999999995, 0.0, 403710, 398456, 3.181, 126912.92046526249, 0.0, 0.0
0, 60000, 0.36599999999999994, 0.0, 484984, 478706, 3.861, 125610.9816109816, 0.0, 0.0
0, 70000, 0.35333333333333333, 0.0, 565719, 558178, 4.527, 124965.54009277668, 0.0, 0.0
0, 80000, 0.35333333333333333, 0.0, 645821, 637121, 5.13, 125891.03313840156, 0.0, 0.0
0, 90000, 0.3819999999999999, 0.0, 726006, 716104, 5.785, 125498.0121002593, 0.0, 0.0
0, 100000, 0.18666666666666662, 0.0, 806728, 795664, 6.671, 120930.59511317643, 0.0, 0.0
0, 110000, 0.15466666666666665, 0.0, 887499, 875258, 7.334, 121011.5898554677, 0.0, 0.0
0, 120000, 0.22266666666666665, 0.0, 968565, 955298, 7.939, 122000.88172313894, 0.0, 0.0
0, 130000, 0.19999999999999996, 0.0, 1048799, 1034366, 8.541, 122795.80845334269, 0.0, 0.0
0, 140000, 0.2213333333333333, 0.0, 1128703, 1113128, 9.168, 123113.3289703316, 0.0, 0.0
0, 150000, 0.37399999999999994, 0.0, 1208777, 1192218, 9.759, 123862.79331898759, 0.0, 0.0
0, 160000, 0.09799999999999998, 0.0, 1288953, 1271369, 10.379, 124188.55381057906, 0.0, 0.0
0, 170000, 0.22266666666666662, 0.0, 1369351, 1350645, 10.955, 124997.80921953447, 0.0, 0.0
0, 180000, 0.15799999999999997, 0.0, 1449634, 1429829, 15.819, 91638.78879828054, 0.0, 0.0
0, 190000, 0.2786666666666667, 0.0, 1529734, 1508912, 16.428, 93117.48234721208, 0.0, 0.0
0, 200000, 0.11000000000000001, 0.0, 1609706, 1587826, 17.016, 94599.55336154209, 0.0, 0.0
0, 210000, 0.21999999999999992, 0.0, 1690165, 1667164, 17.63, 95868.68973340897, 0.0, 0.0
0, 220000, 0.12066666666666666, 0.0, 1770821, 1746705, 18.26, 96978.14895947425, 0.0, 0.0
0, 230000, 0.20600000000000002, 0.0, 1851267, 1825952, 19.046, 97199.77948125592, 0.0, 0.0
0, 240000, 0.08533333333333333, 0.0, 1931565, 1905026, 19.617, 98463.83239027373, 0.0, 0.0
0, 250000, 0.14999999999999997, 0.0, 2011940, 1984379, 20.22, 99502.47279920871, 0.0, 0.0
0, 260000, 0.08399999999999999, 0.0, 2092544, 2063826, 20.823, 100491.95601018105, 0.0, 0.0
0, 270000, 0.12466666666666663, 0.0, 2173291, 2143642, 21.393, 101588.88421446267, 0.0, 0.0
0, 280000, 0.2133333333333333, 0.0, 2253532, 2222684, 21.958, 102629.2012022953, 0.0, 0.0
0, 290000, 0.14999999999999997, 0.0, 2333416, 2301468, 22.563, 103417.80791561406, 0.0, 0.0
0, 300000, 0.3999999999999999, 0.0, 2414714, 2381508, 26.571, 90877.79910428662, 0.0, 0.0
1, 10000, 0.10866666666666665, 0.0, 75489, 73545, 0.549, 137502.73224043715, 0.0, 0.0
1, 20000, 0.3379999999999999, 0.0, 158273, 155490, 1.214, 130373.14662273477, 0.0, 0.0
1, 30000, 0.2519999999999999, 0.0, 239611, 235785, 1.813, 132162.7137341423, 0.0, 0.0
1, 40000, 0.20933333333333332, 0.0, 319328, 314271, 2.375, 134453.8947368421, 0.0, 0.0
1, 50000, 0.3553333333333333, 0.0, 399460, 393246, 2.952, 135318.42818428183, 0.0, 0.0
1, 60000, 0.24666666666666665, 0.0, 479752, 472487, 3.522, 136215.78648495174, 0.0, 0.0
1, 70000, 0.1693333333333333, 0.0, 559815, 551448, 4.144, 135090.49227799228, 0.0, 0.0
1, 80000, 0.11533333333333333, 0.0, 640481, 630947, 4.711, 135954.36213118234, 0.0, 0.0
1, 90000, 0.16533333333333328, 0.0, 721208, 710482, 5.329, 135336.4608744605, 0.0, 0.0
1, 100000, 0.122, 0.0, 801134, 789360, 5.948, 134689.64357767315, 0.0, 0.0
1, 110000, 0.13866666666666666, 0.0, 882033, 869163, 6.57, 134251.598173516, 0.0, 0.0
1, 120000, 0.1913333333333333, 0.0, 962575, 948702, 7.208, 133542.59156492786, 0.0, 0.0
1, 130000, 0.3313333333333333, 0.0, 1043010, 1028030, 7.867, 132580.39913562985, 0.0, 0.0
1, 140000, 0.2666666666666666, 0.0, 1122653, 1106546, 8.534, 131550.62104523083, 0.0, 0.0
1, 150000, 0.2739999999999999, 0.0, 1202986, 1185874, 9.159, 131344.68828474724, 0.0, 0.0
1, 160000, 0.19999999999999996, 0.0, 1282660, 1264362, 9.808, 130776.91680261011, 0.0, 0.0
1, 170000, 0.18266666666666664, 0.0, 1363209, 1343974, 10.424, 130775.99769762089, 0.0, 0.0
1, 180000, 0.2233333333333333, 0.0, 1443060, 1422598, 11.147, 129457.25307257558, 0.0, 0.0
1, 190000, 0.2246666666666667, 0.0, 1522791, 1501014, 11.828, 128744.58911058506, 0.0, 0.0
1, 200000, 0.082, 0.0, 1603453, 1580378, 14.17, 113158.29216654904, 0.0, 0.0
1, 210000, 0.382, 0.0, 1684077, 1659945, 14.79, 113865.9229208925, 0.0, 0.0
1, 220000, 0.17666666666666667, 0.0, 1764638, 1739369, 15.463, 114120.02845502167, 0.0, 0.0
1, 230000, 0.16066666666666662, 0.0, 1845334, 1819032, 16.039, 115052.93347465551, 0.0, 0.0
1, 240000, 0.24799999999999994, 0.0, 1925761, 1898509, 17.577, 109561.41548614665, 0.0, 0.0
1, 250000, 0.1853333333333333, 0.0, 2006061, 1977781, 18.168, 110417.27212681639, 0.0, 0.0
