TDNTuple3Agt: USESYM:true, P:6, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.15->0.15, gamma: 1.0, fixed n-tuple, mode=2, evalQ: 2, evalT: -1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 10000, 0.07933333333333333, 0.0, 74810, 72681, 0.411, 182019.46472019466, 0.0, 0.0
0, 20000, 0.12733333333333333, 0.0, 154932, 151848, 0.73, 212235.61643835617, 0.0, 0.0
0, 30000, 0.356, 0.0, 237328, 233536, 1.005, 236147.26368159207, 0.0, 0.0
0, 40000, 0.32533333333333325, 0.0, 318267, 313195, 1.274, 249817.1114599686, 0.0, 0.0
0, 50000, 0.31999999999999995, 0.0, 399065, 392893, 1.526, 261510.4849279161, 0.0, 0.0
0, 60000, 0.3999999999999999, 0.0, 479589, 472270, 1.827, 262500.8210180624, 0.0, 0.0
0, 70000, 0.33999999999999997, 0.0, 559650, 551158, 2.094, 267263.61031518626, 0.0, 0.0
0, 80000, 0.36399999999999993, 0.0, 640167, 630455, 2.347, 272759.6932253941, 0.0, 0.0
0, 90000, 0.3553333333333333, 0.0, 720499, 709699, 2.599, 277221.6237014236, 0.0, 0.0
0, 100000, 0.36999999999999994, 0.0, 801294, 789288, 2.871, 279099.26854754443, 0.0, 0.0
0, 110000, 0.32199999999999995, 0.0, 881727, 868513, 3.16, 279027.5316455696, 0.0, 0.0
0, 120000, 0.37333333333333324, 0.0, 963037, 949082, 3.407, 282664.22072204284, 0.0, 0.0
0, 130000, 0.3319999999999999, 0.0, 1044232, 1029534, 3.653, 285856.00875992334, 0.0, 0.0
0, 140000, 0.3773333333333332, 0.0, 1125342, 1109524, 3.884, 289737.8990731205, 0.0, 0.0
0, 150000, 0.39733333333333326, 0.0, 1205164, 1188211, 4.128, 291948.6434108527, 0.0, 0.0
0, 160000, 0.39199999999999996, 0.0, 1285931, 1267849, 4.36, 294938.30275229353, 0.0, 0.0
0, 170000, 0.3306666666666666, 0.0, 1365552, 1346215, 4.601, 296794.6098674201, 0.0, 0.0
0, 180000, 0.3626666666666666, 0.0, 1445684, 1424912, 4.858, 297588.30794565665, 0.0, 0.0
0, 190000, 0.1333333333333333, 0.0, 1525716, 1503686, 5.17, 295109.4777562863, 0.0, 0.0
0, 200000, 0.12666666666666665, 0.0, 1605747, 1582566, 5.457, 294254.53545904346, 0.0, 0.0
0, 210000, 0.2633333333333333, 0.0, 1685992, 1661626, 5.747, 293369.06211936666, 0.0, 0.0
0, 220000, 0.3626666666666666, 0.0, 1765515, 1739949, 5.979, 295286.0010035123, 0.0, 0.0
0, 230000, 0.36133333333333323, 0.0, 1844693, 1818058, 6.202, 297435.18219929055, 0.0, 0.0
0, 240000, 0.3826666666666666, 0.0, 1924626, 1896847, 6.493, 296415.52441090404, 0.0, 0.0
0, 250000, 0.3999999999999999, 0.0, 2005166, 1976194, 6.967, 287809.10004306014, 0.0, 0.0
0, 260000, 0.3633333333333333, 0.0, 2084995, 2054758, 7.496, 278147.6787620064, 0.0, 0.0
0, 270000, 0.3999999999999999, 0.0, 2164794, 2133434, 8.069, 268285.2893791052, 0.0, 0.0
0, 280000, 0.3933333333333332, 0.0, 2245245, 2212762, 8.639, 259896.4000463017, 0.0, 0.0
0, 290000, 0.3999999999999999, 0.0, 2325349, 2291621, 9.1, 255532.85714285716, 0.0, 0.0
0, 300000, 0.3999999999999999, 0.0, 2405306, 2370388, 9.641, 249487.19012550564, 0.0, 0.0
1, 10000, 0.03133333333333334, 0.0, 74717, 72703, 0.43, 173760.46511627908, 0.0, 0.0
1, 20000, 0.22199999999999998, 0.0, 152995, 149611, 0.929, 164687.83638320773, 0.0, 0.0
1, 30000, 0.29599999999999993, 0.0, 232532, 227786, 1.401, 165975.73162027122, 0.0, 0.0
1, 40000, 0.17333333333333328, 0.0, 313305, 307456, 1.921, 163094.74232170745, 0.0, 0.0
1, 50000, 0.14199999999999996, 0.0, 394050, 387341, 2.411, 163438.40729987557, 0.0, 0.0
1, 60000, 0.25199999999999995, 0.0, 475811, 468086, 2.92, 162948.97260273973, 0.0, 0.0
1, 70000, 0.24066666666666658, 0.0, 556493, 547704, 3.511, 158499.85759043007, 0.0, 0.0
1, 80000, 0.2846666666666666, 0.0, 637657, 628021, 4.139, 154060.64266731092, 0.0, 0.0
1, 90000, 0.18466666666666662, 0.0, 718408, 707771, 4.814, 149233.070211882, 0.0, 0.0
1, 100000, 0.1573333333333333, 0.0, 799163, 787503, 5.429, 147202.61558298027, 0.0, 0.0
1, 110000, 0.11533333333333333, 0.0, 879341, 866475, 6.041, 145562.15858301605, 0.0, 0.0
1, 120000, 0.2153333333333333, 0.0, 959564, 945629, 6.644, 144425.64720048165, 0.0, 0.0
1, 130000, 0.2526666666666666, 0.0, 1040299, 1025394, 7.19, 144686.92628650903, 0.0, 0.0
1, 140000, 0.12666666666666665, 0.0, 1121900, 1106067, 7.696, 145777.02702702704, 0.0, 0.0
1, 150000, 0.20800000000000002, 0.0, 1206647, 1190522, 8.278, 145765.52307320607, 0.0, 0.0
1, 160000, 0.17666666666666664, 0.0, 1295565, 1279979, 8.804, 147156.40617900953, 0.0, 0.0
1, 170000, 0.3666666666666666, 0.0, 1376489, 1359985, 9.044, 152199.13754975674, 0.0, 0.0
1, 180000, 0.3393333333333332, 0.0, 1456315, 1438735, 9.273, 157048.959344333, 0.0, 0.0
1, 190000, 0.38599999999999995, 0.0, 1536842, 1518297, 9.493, 161892.1310439271, 0.0, 0.0
1, 200000, 0.32999999999999996, 0.0, 1616889, 1597158, 9.729, 166192.7227875424, 0.0, 0.0
1, 210000, 0.3999999999999999, 0.0, 1696812, 1675767, 9.941, 170688.2607383563, 0.0, 0.0
1, 220000, 0.3999999999999999, 0.0, 1776834, 1754491, 10.183, 174490.2288127271, 0.0, 0.0
1, 230000, 0.36399999999999993, 0.0, 1856973, 1833385, 10.409, 178400.7109232395, 0.0, 0.0
1, 240000, 0.35999999999999993, 0.0, 1937144, 1912413, 10.714, 180804.92813141682, 0.0, 0.0
1, 250000, 0.38733333333333325, 0.0, 2017513, 1991687, 10.979, 183761.08935240004, 0.0, 0.0
1, 260000, 0.3866666666666666, 0.0, 2098571, 2071727, 11.231, 186855.22215296945, 0.0, 0.0
1, 270000, 0.3999999999999999, 0.0, 2179156, 2151393, 11.473, 189937.76693105552, 0.0, 0.0
1, 280000, 0.3999999999999999, 0.0, 2258997, 2230060, 11.71, 192911.7847993168, 0.0, 0.0
1, 290000, 0.3999999999999999, 0.0, 2339771, 2309678, 11.951, 195780.35310852647, 0.0, 0.0
1, 300000, 0.3926666666666666, 0.0, 2420088, 2388898, 12.206, 198270.3588399148, 0.0, 0.0
2, 10000, 0.24066666666666664, 0.0, 74344, 72093, 0.262, 283755.7251908397, 0.0, 0.0
2, 20000, 0.06666666666666665, 0.0, 152720, 149018, 0.509, 300039.2927308448, 0.0, 0.0
2, 30000, 0.05333333333333332, 0.0, 232241, 227088, 0.72, 322556.94444444444, 0.0, 0.0
2, 40000, 0.07666666666666665, 0.0, 312380, 306070, 0.936, 333739.3162393162, 0.0, 0.0
