TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true;;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10;;;;;;;;;;
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
WrappeMCTS-1000_05.agt.zip;5;1;1;0;1.00E-08;0;1;0;0.456;0
WrappeMCTS-1000_05.agt.zip;5;1;1;0;1.00E-08;1;1;0;0.273;0
WrappeMCTS-1000_05.agt.zip;5;1;2;0;1.00E-08;0;1;0;0.474;0
WrappeMCTS-1000_05.agt.zip;5;1;2;0;1.00E-08;1;1;0;0.278;0
WrappeMCTS-1000_05.agt.zip;5;1;3;0;1.00E-08;0;1;0;0.477;0
WrappeMCTS-1000_05.agt.zip;5;1;3;0;1.00E-08;1;1;0;0.265;0
WrappeMCTS-1000_05.agt.zip;5;1;4;0;1.00E-08;0;1;0;0.469;0
WrappeMCTS-1000_05.agt.zip;5;1;4;0;1.00E-08;1;1;0;0.299;0
WrappeMCTS-1000_05.agt.zip;5;1;5;0;1.00E-08;0;1;0;0.459;0
WrappeMCTS-1000_05.agt.zip;5;1;5;0;1.00E-08;1;1;0;0.297;0
WrappeMCTS-1000_05.agt.zip;5;1;6;0;1.00E-08;0;1;0;0.543;0
WrappeMCTS-1000_05.agt.zip;5;1;6;0;1.00E-08;1;1;0;0.348;0
WrappeMCTS-1000_05.agt.zip;5;1;7;0;1.00E-08;0;1;0;0.576;0
WrappeMCTS-1000_05.agt.zip;5;1;7;0;1.00E-08;1;1;0;0.347;0
WrappeMCTS-1000_05.agt.zip;5;1;8;0;1.00E-08;0;1;0;0.661;0
WrappeMCTS-1000_05.agt.zip;5;1;8;0;1.00E-08;1;1;0;0.363;0
WrappeMCTS-1000_05.agt.zip;5;1;9;0;1.00E-08;0;1;0;0.953;0
WrappeMCTS-1000_05.agt.zip;5;1;9;0;1.00E-08;1;1;0;0.576;0
WrappeMCTS-1000_05.agt.zip;5;1;1;10000;1.00E-08;0;1;1;40.877;0
WrappeMCTS-1000_05.agt.zip;5;1;1;10000;1.00E-08;1;1;1;38.701;0
WrappeMCTS-1000_05.agt.zip;5;1;2;10000;1.00E-08;0;1;1;40.43;0
WrappeMCTS-1000_05.agt.zip;5;1;2;10000;1.00E-08;1;1;0;45.363;0
WrappeMCTS-1000_05.agt.zip;5;1;3;10000;1.00E-08;0;1;0;43.391;0
WrappeMCTS-1000_05.agt.zip;5;1;3;10000;1.00E-08;1;1;1;39.602;0
WrappeMCTS-1000_05.agt.zip;5;1;4;10000;1.00E-08;0;1;1;41.629;0
WrappeMCTS-1000_05.agt.zip;5;1;4;10000;1.00E-08;1;1;0;41.476;0
WrappeMCTS-1000_05.agt.zip;5;1;5;10000;1.00E-08;0;1;1;42.329;0
WrappeMCTS-1000_05.agt.zip;5;1;5;10000;1.00E-08;1;1;0;43.747;0
WrappeMCTS-1000_05.agt.zip;5;1;6;10000;1.00E-08;0;1;0;42.463;0
WrappeMCTS-1000_05.agt.zip;5;1;6;10000;1.00E-08;1;1;0;41.165;0
WrappeMCTS-1000_05.agt.zip;5;1;7;10000;1.00E-08;0;1;1;39.294;0
WrappeMCTS-1000_05.agt.zip;5;1;7;10000;1.00E-08;1;1;0;41.355;0
WrappeMCTS-1000_05.agt.zip;5;1;8;10000;1.00E-08;0;1;0;44.577;0
WrappeMCTS-1000_05.agt.zip;5;1;8;10000;1.00E-08;1;1;0;45.616;0
WrappeMCTS-1000_05.agt.zip;5;1;9;10000;1.00E-08;0;1;0;42.172;0
WrappeMCTS-1000_05.agt.zip;5;1;9;10000;1.00E-08;1;1;0;42.203;0
WrappeMCTS-1000_06.agt.zip;6;1;1;0;1.00E-08;0;1;0;0.413;0
WrappeMCTS-1000_06.agt.zip;6;1;1;0;1.00E-08;1;1;0;0.224;0
WrappeMCTS-1000_06.agt.zip;6;1;2;0;1.00E-08;0;1;0;0.417;0
WrappeMCTS-1000_06.agt.zip;6;1;2;0;1.00E-08;1;1;0;0.267;0
WrappeMCTS-1000_06.agt.zip;6;1;3;0;1.00E-08;0;1;0;0.409;0
WrappeMCTS-1000_06.agt.zip;6;1;3;0;1.00E-08;1;1;0;0.261;0
WrappeMCTS-1000_06.agt.zip;6;1;4;0;1.00E-08;0;1;0;0.445;0
WrappeMCTS-1000_06.agt.zip;6;1;4;0;1.00E-08;1;1;0;0.258;0
WrappeMCTS-1000_06.agt.zip;6;1;5;0;1.00E-08;0;1;0;0.434;0
WrappeMCTS-1000_06.agt.zip;6;1;5;0;1.00E-08;1;1;0;0.279;0
WrappeMCTS-1000_06.agt.zip;6;1;6;0;1.00E-08;0;1;0;0.469;0
WrappeMCTS-1000_06.agt.zip;6;1;6;0;1.00E-08;1;1;0;0.334;0
WrappeMCTS-1000_06.agt.zip;6;1;7;0;1.00E-08;0;1;0;0.555;0
WrappeMCTS-1000_06.agt.zip;6;1;7;0;1.00E-08;1;1;0;0.347;0
WrappeMCTS-1000_06.agt.zip;6;1;8;0;1.00E-08;0;1;0;0.742;0
WrappeMCTS-1000_06.agt.zip;6;1;8;0;1.00E-08;1;1;0;0.449;0
WrappeMCTS-1000_06.agt.zip;6;1;9;0;1.00E-08;0;1;0;1.117;0
WrappeMCTS-1000_06.agt.zip;6;1;9;0;1.00E-08;1;1;0;0.623;0
WrappeMCTS-1000_06.agt.zip;6;1;1;10000;1.00E-08;0;1;1;40.254;0
WrappeMCTS-1000_06.agt.zip;6;1;1;10000;1.00E-08;1;1;1;40.484;0
WrappeMCTS-1000_06.agt.zip;6;1;2;10000;1.00E-08;0;1;1;37.983;0
WrappeMCTS-1000_06.agt.zip;6;1;2;10000;1.00E-08;1;1;1;40.602;0
WrappeMCTS-1000_06.agt.zip;6;1;3;10000;1.00E-08;0;1;1;41.76;0
WrappeMCTS-1000_06.agt.zip;6;1;3;10000;1.00E-08;1;1;1;39.065;0
WrappeMCTS-1000_06.agt.zip;6;1;4;10000;1.00E-08;0;1;0;37.369;0
WrappeMCTS-1000_06.agt.zip;6;1;4;10000;1.00E-08;1;1;1;39.465;0
WrappeMCTS-1000_06.agt.zip;6;1;5;10000;1.00E-08;0;1;0;41.803;0
WrappeMCTS-1000_06.agt.zip;6;1;5;10000;1.00E-08;1;1;1;39.573;0
WrappeMCTS-1000_06.agt.zip;6;1;6;10000;1.00E-08;0;1;0;40.247;0
WrappeMCTS-1000_06.agt.zip;6;1;6;10000;1.00E-08;1;1;1;36.303;0
WrappeMCTS-1000_06.agt.zip;6;1;7;10000;1.00E-08;0;1;0;41.111;0
WrappeMCTS-1000_06.agt.zip;6;1;7;10000;1.00E-08;1;1;0;40.177;0
WrappeMCTS-1000_06.agt.zip;6;1;8;10000;1.00E-08;0;1;0;42.917;0
WrappeMCTS-1000_06.agt.zip;6;1;8;10000;1.00E-08;1;1;0;41.113;0
WrappeMCTS-1000_06.agt.zip;6;1;9;10000;1.00E-08;0;1;0;47.09;0
WrappeMCTS-1000_06.agt.zip;6;1;9;10000;1.00E-08;1;1;0;42.728;0
WrappeMCTS-1000_07.agt.zip;7;1;1;0;1.00E-08;0;1;0;0.447;0
WrappeMCTS-1000_07.agt.zip;7;1;1;0;1.00E-08;1;1;0;0.28;0
WrappeMCTS-1000_07.agt.zip;7;1;2;0;1.00E-08;0;1;0;0.43;0
WrappeMCTS-1000_07.agt.zip;7;1;2;0;1.00E-08;1;1;0;0.277;0
WrappeMCTS-1000_07.agt.zip;7;1;3;0;1.00E-08;0;1;0;0.427;0
WrappeMCTS-1000_07.agt.zip;7;1;3;0;1.00E-08;1;1;0;0.221;0
WrappeMCTS-1000_07.agt.zip;7;1;4;0;1.00E-08;0;1;0;0.405;0
WrappeMCTS-1000_07.agt.zip;7;1;4;0;1.00E-08;1;1;0;0.323;0
WrappeMCTS-1000_07.agt.zip;7;1;5;0;1.00E-08;0;1;0;0.476;0
WrappeMCTS-1000_07.agt.zip;7;1;5;0;1.00E-08;1;1;0;0.251;0
WrappeMCTS-1000_07.agt.zip;7;1;6;0;1.00E-08;0;1;0;0.518;0
WrappeMCTS-1000_07.agt.zip;7;1;6;0;1.00E-08;1;1;0;0.336;0
WrappeMCTS-1000_07.agt.zip;7;1;7;0;1.00E-08;0;1;0;0.525;0
WrappeMCTS-1000_07.agt.zip;7;1;7;0;1.00E-08;1;1;0;0.292;0
WrappeMCTS-1000_07.agt.zip;7;1;8;0;1.00E-08;0;1;0;0.656;0
WrappeMCTS-1000_07.agt.zip;7;1;8;0;1.00E-08;1;1;0;0.492;0
WrappeMCTS-1000_07.agt.zip;7;1;9;0;1.00E-08;0;1;0;0.882;0
WrappeMCTS-1000_07.agt.zip;7;1;9;0;1.00E-08;1;1;0;0.726;0
WrappeMCTS-1000_07.agt.zip;7;1;1;10000;1.00E-08;0;1;1;40.422;0
WrappeMCTS-1000_07.agt.zip;7;1;1;10000;1.00E-08;1;1;1;36.291;0
WrappeMCTS-1000_07.agt.zip;7;1;2;10000;1.00E-08;0;1;1;40.116;0
WrappeMCTS-1000_07.agt.zip;7;1;2;10000;1.00E-08;1;1;1;39.419;0
WrappeMCTS-1000_07.agt.zip;7;1;3;10000;1.00E-08;0;1;0;41.614;0
WrappeMCTS-1000_07.agt.zip;7;1;3;10000;1.00E-08;1;1;0;39.706;0
WrappeMCTS-1000_07.agt.zip;7;1;4;10000;1.00E-08;0;1;0;40.106;0
WrappeMCTS-1000_07.agt.zip;7;1;4;10000;1.00E-08;1;1;0;43.15;0
WrappeMCTS-1000_07.agt.zip;7;1;5;10000;1.00E-08;0;1;0;40.743;0
WrappeMCTS-1000_07.agt.zip;7;1;5;10000;1.00E-08;1;1;0;41.496;0
WrappeMCTS-1000_07.agt.zip;7;1;6;10000;1.00E-08;0;1;0;42.892;0
WrappeMCTS-1000_07.agt.zip;7;1;6;10000;1.00E-08;1;1;0;42.783;0
WrappeMCTS-1000_07.agt.zip;7;1;7;10000;1.00E-08;0;1;0;44.403;0
WrappeMCTS-1000_07.agt.zip;7;1;7;10000;1.00E-08;1;1;0;47.502;0
WrappeMCTS-1000_07.agt.zip;7;1;8;10000;1.00E-08;0;1;0;42.777;0
