TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true;;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10;;;;;;;;;;
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
WrappeMCTS-1000_00.agt.zip;0;1;1;0;1.00E-08;0;1;0;0.48;0
WrappeMCTS-1000_00.agt.zip;0;1;1;0;1.00E-08;1;1;0;0.293;0
WrappeMCTS-1000_00.agt.zip;0;1;2;0;1.00E-08;0;1;0;0.484;0
WrappeMCTS-1000_00.agt.zip;0;1;2;0;1.00E-08;1;1;0;0.286;0
WrappeMCTS-1000_00.agt.zip;0;1;3;0;1.00E-08;0;1;0;0.454;0
WrappeMCTS-1000_00.agt.zip;0;1;3;0;1.00E-08;1;1;0;0.282;0
WrappeMCTS-1000_00.agt.zip;0;1;4;0;1.00E-08;0;1;0;0.463;0
WrappeMCTS-1000_00.agt.zip;0;1;4;0;1.00E-08;1;1;0;0.298;0
WrappeMCTS-1000_00.agt.zip;0;1;5;0;1.00E-08;0;1;0;0.502;0
WrappeMCTS-1000_00.agt.zip;0;1;5;0;1.00E-08;1;1;0;0.314;0
WrappeMCTS-1000_00.agt.zip;0;1;6;0;1.00E-08;0;1;0;0.547;0
WrappeMCTS-1000_00.agt.zip;0;1;6;0;1.00E-08;1;1;0;0.398;0
WrappeMCTS-1000_00.agt.zip;0;1;7;0;1.00E-08;0;1;0;0.63;0
WrappeMCTS-1000_00.agt.zip;0;1;7;0;1.00E-08;1;1;0;0.334;0
WrappeMCTS-1000_00.agt.zip;0;1;8;0;1.00E-08;0;1;0;0.705;0
WrappeMCTS-1000_00.agt.zip;0;1;8;0;1.00E-08;1;1;0;0.578;0
WrappeMCTS-1000_00.agt.zip;0;1;9;0;1.00E-08;0;1;0;0.917;0
WrappeMCTS-1000_00.agt.zip;0;1;9;0;1.00E-08;1;1;0;0.654;0
WrappeMCTS-1000_00.agt.zip;0;1;1;10000;1.00E-08;0;1;1;41.93;0
WrappeMCTS-1000_00.agt.zip;0;1;1;10000;1.00E-08;1;1;1;42.437;0
WrappeMCTS-1000_00.agt.zip;0;1;2;10000;1.00E-08;0;1;1;41.7;0
WrappeMCTS-1000_00.agt.zip;0;1;2;10000;1.00E-08;1;1;1;43.884;0
WrappeMCTS-1000_00.agt.zip;0;1;3;10000;1.00E-08;0;1;1;43.673;0
WrappeMCTS-1000_00.agt.zip;0;1;3;10000;1.00E-08;1;1;0;44.117;0
WrappeMCTS-1000_00.agt.zip;0;1;4;10000;1.00E-08;0;1;1;42.169;0
WrappeMCTS-1000_00.agt.zip;0;1;4;10000;1.00E-08;1;1;0;42.794;0
WrappeMCTS-1000_00.agt.zip;0;1;5;10000;1.00E-08;0;1;0;43.166;0
WrappeMCTS-1000_00.agt.zip;0;1;5;10000;1.00E-08;1;1;0;45.565;0
WrappeMCTS-1000_00.agt.zip;0;1;6;10000;1.00E-08;0;1;0;44.647;0
WrappeMCTS-1000_00.agt.zip;0;1;6;10000;1.00E-08;1;1;0;44.274;0
WrappeMCTS-1000_00.agt.zip;0;1;7;10000;1.00E-08;0;1;0;45.471;0
WrappeMCTS-1000_00.agt.zip;0;1;7;10000;1.00E-08;1;1;0;45.395;0
WrappeMCTS-1000_00.agt.zip;0;1;8;10000;1.00E-08;0;1;0;43.8;0
WrappeMCTS-1000_00.agt.zip;0;1;8;10000;1.00E-08;1;1;0;44.744;0
WrappeMCTS-1000_00.agt.zip;0;1;9;10000;1.00E-08;0;1;0;46.697;0
WrappeMCTS-1000_00.agt.zip;0;1;9;10000;1.00E-08;1;1;0;43.035;0
WrappeMCTS-1000_01.agt.zip;1;1;1;0;1.00E-08;0;1;0;0.453;0
WrappeMCTS-1000_01.agt.zip;1;1;1;0;1.00E-08;1;1;0;0.277;0
WrappeMCTS-1000_01.agt.zip;1;1;2;0;1.00E-08;0;1;0;0.48;0
WrappeMCTS-1000_01.agt.zip;1;1;2;0;1.00E-08;1;1;0;0.295;0
WrappeMCTS-1000_01.agt.zip;1;1;3;0;1.00E-08;0;1;0;0.442;0
WrappeMCTS-1000_01.agt.zip;1;1;3;0;1.00E-08;1;1;0;0.302;0
WrappeMCTS-1000_01.agt.zip;1;1;4;0;1.00E-08;0;1;0;0.488;0
WrappeMCTS-1000_01.agt.zip;1;1;4;0;1.00E-08;1;1;0;0.301;0
WrappeMCTS-1000_01.agt.zip;1;1;5;0;1.00E-08;0;1;0;0.514;0
WrappeMCTS-1000_01.agt.zip;1;1;5;0;1.00E-08;1;1;0;0.32;0
WrappeMCTS-1000_01.agt.zip;1;1;6;0;1.00E-08;0;1;0;0.556;0
WrappeMCTS-1000_01.agt.zip;1;1;6;0;1.00E-08;1;1;0;0.368;0
WrappeMCTS-1000_01.agt.zip;1;1;7;0;1.00E-08;0;1;0;0.613;0
