TDNTuple4Agt: USESYM:true, nSym:0, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, eps_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10, stepRew: -0.04, rewPos: 1.0
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 0; 1.0; 1.0; 0.538; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 1; 1.0; 0.0; 0.297; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 0; 1.0; 1.0; 0.468; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.334; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.492; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.321; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.424; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.252; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.458; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.286; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.477; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.353; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.533; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.43; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 0.843; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.539; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 1.103; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 0.849; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 40.727; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 36.057; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 43.022; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 40.786; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 39.293; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 1; 1.0; 1.0; 39.282; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 46.284; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 1; 1.0; 1.0; 47.423; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 0; 1.0; 1.0; 46.383; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 1; 1.0; 0.0; 43.161; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 0; 1.0; 1.0; 50.698; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 1; 1.0; 1.0; 46.143; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 0; 1.0; 1.0; 48.282; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 1; 1.0; 0.0; 43.339; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.0; 51.834; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 1; 1.0; 0.0; 45.054; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 0; 1.0; 1.0; 51.714; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 1; 1.0; 0.0; 50.549; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 0; 1.0; 1.0; 0.557; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 1; 1.0; 1.0; 0.381; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.517; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.31; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_01.agt.zip; 1; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.473; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm_01.agt.zip; 1; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.323; 0.0
