TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true;;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10;;;;;;;;;;
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
WrappeMCTS-100_00.agt.zip;0;1;1;0;1.00E-08;0;1;0;0.653;0
WrappeMCTS-100_00.agt.zip;0;1;1;0;1.00E-08;1;1;0;0.345;0
WrappeMCTS-100_00.agt.zip;0;1;2;0;1.00E-08;0;1;1;0.592;0
WrappeMCTS-100_00.agt.zip;0;1;2;0;1.00E-08;1;1;0;0.342;0
WrappeMCTS-100_00.agt.zip;0;1;3;0;1.00E-08;0;1;0;0.602;0
WrappeMCTS-100_00.agt.zip;0;1;3;0;1.00E-08;1;1;0;0.334;0
WrappeMCTS-100_00.agt.zip;0;1;4;0;1.00E-08;0;1;0;0.619;0
WrappeMCTS-100_00.agt.zip;0;1;4;0;1.00E-08;1;1;0;0.361;0
WrappeMCTS-100_00.agt.zip;0;1;5;0;1.00E-08;0;1;0;0.635;0
WrappeMCTS-100_00.agt.zip;0;1;5;0;1.00E-08;1;1;0;0.43;0
WrappeMCTS-100_00.agt.zip;0;1;6;0;1.00E-08;0;1;0;0.757;0
WrappeMCTS-100_00.agt.zip;0;1;6;0;1.00E-08;1;1;0;0.515;0
WrappeMCTS-100_00.agt.zip;0;1;7;0;1.00E-08;0;1;0;0.835;0
WrappeMCTS-100_00.agt.zip;0;1;7;0;1.00E-08;1;1;0;0.625;0
WrappeMCTS-100_00.agt.zip;0;1;8;0;1.00E-08;0;1;0;1.149;0
WrappeMCTS-100_00.agt.zip;0;1;8;0;1.00E-08;1;1;0;1.041;0
WrappeMCTS-100_00.agt.zip;0;1;9;0;1.00E-08;0;1;0;1.053;0
WrappeMCTS-100_00.agt.zip;0;1;9;0;1.00E-08;1;1;0;1.378;0
WrappeMCTS-100_00.agt.zip;0;1;1;10000;1.00E-08;0;1;1;85.417;0
WrappeMCTS-100_00.agt.zip;0;1;1;10000;1.00E-08;1;1;1;72.635;0
WrappeMCTS-100_00.agt.zip;0;1;2;10000;1.00E-08;0;1;1;63.53;0
WrappeMCTS-100_00.agt.zip;0;1;2;10000;1.00E-08;1;1;1;95.239;0
WrappeMCTS-100_00.agt.zip;0;1;3;10000;1.00E-08;0;1;1;92.235;0
WrappeMCTS-100_00.agt.zip;0;1;3;10000;1.00E-08;1;1;1;83.136;0
WrappeMCTS-100_00.agt.zip;0;1;4;10000;1.00E-08;0;1;1;101.936;0
WrappeMCTS-100_00.agt.zip;0;1;4;10000;1.00E-08;1;1;1;85.124;0
WrappeMCTS-100_00.agt.zip;0;1;5;10000;1.00E-08;0;1;1;107.583;0
WrappeMCTS-100_00.agt.zip;0;1;5;10000;1.00E-08;1;1;1;106.597;0
WrappeMCTS-100_00.agt.zip;0;1;6;10000;1.00E-08;0;1;0;106.569;0
WrappeMCTS-100_00.agt.zip;0;1;6;10000;1.00E-08;1;1;1;97.551;0
WrappeMCTS-100_00.agt.zip;0;1;7;10000;1.00E-08;0;1;0;97.395;0
WrappeMCTS-100_00.agt.zip;0;1;7;10000;1.00E-08;1;1;0;100.451;0
WrappeMCTS-100_00.agt.zip;0;1;8;10000;1.00E-08;0;1;1;103.571;0
WrappeMCTS-100_00.agt.zip;0;1;8;10000;1.00E-08;1;1;0;98.833;0
WrappeMCTS-100_00.agt.zip;0;1;9;10000;1.00E-08;0;1;0;100.498;0
WrappeMCTS-100_00.agt.zip;0;1;9;10000;1.00E-08;1;1;1;91.297;0
WrappeMCTS-100_01.agt.zip;1;1;1;0;1.00E-08;0;1;0;0.507;0
WrappeMCTS-100_01.agt.zip;1;1;1;0;1.00E-08;1;1;0;0.327;0
WrappeMCTS-100_01.agt.zip;1;1;2;0;1.00E-08;0;1;0;0.545;0
WrappeMCTS-100_01.agt.zip;1;1;2;0;1.00E-08;1;1;0;0.495;0
WrappeMCTS-100_01.agt.zip;1;1;3;0;1.00E-08;0;1;0;0.54;0
WrappeMCTS-100_01.agt.zip;1;1;3;0;1.00E-08;1;1;0;0.304;0
WrappeMCTS-100_01.agt.zip;1;1;4;0;1.00E-08;0;1;0;0.524;0
WrappeMCTS-100_01.agt.zip;1;1;4;0;1.00E-08;1;1;0;0.323;0
WrappeMCTS-100_01.agt.zip;1;1;5;0;1.00E-08;0;1;0;0.502;0
WrappeMCTS-100_01.agt.zip;1;1;5;0;1.00E-08;1;1;0;0.341;0
WrappeMCTS-100_01.agt.zip;1;1;6;0;1.00E-08;0;1;0;0.57;0
WrappeMCTS-100_01.agt.zip;1;1;6;0;1.00E-08;1;1;0;0.401;0
WrappeMCTS-100_01.agt.zip;1;1;7;0;1.00E-08;0;1;0;0.632;0
WrappeMCTS-100_01.agt.zip;1;1;7;0;1.00E-08;1;1;0;0.5;0
WrappeMCTS-100_01.agt.zip;1;1;8;0;1.00E-08;0;1;0;0.862;0
WrappeMCTS-100_01.agt.zip;1;1;8;0;1.00E-08;1;1;0;0.794;0
WrappeMCTS-100_01.agt.zip;1;1;9;0;1.00E-08;0;1;0;1.102;0
WrappeMCTS-100_01.agt.zip;1;1;9;0;1.00E-08;1;1;0;0.914;0
WrappeMCTS-100_01.agt.zip;1;1;1;10000;1.00E-08;0;1;1;90.436;0
WrappeMCTS-100_01.agt.zip;1;1;1;10000;1.00E-08;1;1;1;84.073;0
WrappeMCTS-100_01.agt.zip;1;1;2;10000;1.00E-08;0;1;1;92.349;0
WrappeMCTS-100_01.agt.zip;1;1;2;10000;1.00E-08;1;1;1;115.557;0
WrappeMCTS-100_01.agt.zip;1;1;3;10000;1.00E-08;0;1;1;108.586;0
WrappeMCTS-100_01.agt.zip;1;1;3;10000;1.00E-08;1;1;1;100.126;0
WrappeMCTS-100_01.agt.zip;1;1;4;10000;1.00E-08;0;1;1;102.006;0
WrappeMCTS-100_01.agt.zip;1;1;4;10000;1.00E-08;1;1;1;99.994;0
WrappeMCTS-100_01.agt.zip;1;1;5;10000;1.00E-08;0;1;1;105.08;0
WrappeMCTS-100_01.agt.zip;1;1;5;10000;1.00E-08;1;1;1;47.263;0
WrappeMCTS-100_01.agt.zip;1;1;6;10000;1.00E-08;0;1;1;47.598;0
WrappeMCTS-100_01.agt.zip;1;1;6;10000;1.00E-08;1;1;1;45.716;0
WrappeMCTS-100_01.agt.zip;1;1;7;10000;1.00E-08;0;1;1;46.073;0
WrappeMCTS-100_01.agt.zip;1;1;7;10000;1.00E-08;1;1;1;51.072;0
WrappeMCTS-100_01.agt.zip;1;1;8;10000;1.00E-08;0;1;0;50.381;0
WrappeMCTS-100_01.agt.zip;1;1;8;10000;1.00E-08;1;1;0;47.821;0
WrappeMCTS-100_01.agt.zip;1;1;9;10000;1.00E-08;0;1;0.5;44.987;0
WrappeMCTS-100_01.agt.zip;1;1;9;10000;1.00E-08;1;1;0;47.081;0
WrappeMCTS-100_02.agt.zip;2;1;1;0;1.00E-08;0;1;0;0.416;0
WrappeMCTS-100_02.agt.zip;2;1;1;0;1.00E-08;1;1;0;0.244;0
WrappeMCTS-100_02.agt.zip;2;1;2;0;1.00E-08;0;1;0;0.419;0
WrappeMCTS-100_02.agt.zip;2;1;2;0;1.00E-08;1;1;0;0.24;0
WrappeMCTS-100_02.agt.zip;2;1;3;0;1.00E-08;0;1;0;0.479;0
WrappeMCTS-100_02.agt.zip;2;1;3;0;1.00E-08;1;1;0;0.244;0
WrappeMCTS-100_02.agt.zip;2;1;4;0;1.00E-08;0;1;0;0.511;0
WrappeMCTS-100_02.agt.zip;2;1;4;0;1.00E-08;1;1;0;0.314;0
WrappeMCTS-100_02.agt.zip;2;1;5;0;1.00E-08;0;1;0;0.444;0
WrappeMCTS-100_02.agt.zip;2;1;5;0;1.00E-08;1;1;0;0.309;0
WrappeMCTS-100_02.agt.zip;2;1;6;0;1.00E-08;0;1;0;0.557;0
WrappeMCTS-100_02.agt.zip;2;1;6;0;1.00E-08;1;1;0;0.387;0
WrappeMCTS-100_02.agt.zip;2;1;7;0;1.00E-08;0;1;0;0.621;0
WrappeMCTS-100_02.agt.zip;2;1;7;0;1.00E-08;1;1;0;0.494;0
WrappeMCTS-100_02.agt.zip;2;1;8;0;1.00E-08;0;1;0;0.739;0
WrappeMCTS-100_02.agt.zip;2;1;8;0;1.00E-08;1;1;0;0.709;0
WrappeMCTS-100_02.agt.zip;2;1;9;0;1.00E-08;0;1;0;1.026;0
WrappeMCTS-100_02.agt.zip;2;1;9;0;1.00E-08;1;1;0;1.165;0
WrappeMCTS-100_02.agt.zip;2;1;1;10000;1.00E-08;0;1;1;106.129;0
WrappeMCTS-100_02.agt.zip;2;1;1;10000;1.00E-08;1;1;1;56.24;0
WrappeMCTS-100_02.agt.zip;2;1;2;10000;1.00E-08;0;1;1;50.845;0
WrappeMCTS-100_02.agt.zip;2;1;2;10000;1.00E-08;1;1;1;48.532;0
WrappeMCTS-100_02.agt.zip;2;1;3;10000;1.00E-08;0;1;1;45.632;0
WrappeMCTS-100_02.agt.zip;2;1;3;10000;1.00E-08;1;1;1;45.232;0
WrappeMCTS-100_02.agt.zip;2;1;4;10000;1.00E-08;0;1;1;46.314;0
WrappeMCTS-100_02.agt.zip;2;1;4;10000;1.00E-08;1;1;1;49.948;0
WrappeMCTS-100_02.agt.zip;2;1;5;10000;1.00E-08;0;1;1;44.152;0
WrappeMCTS-100_02.agt.zip;2;1;5;10000;1.00E-08;1;1;0;45.338;0
WrappeMCTS-100_02.agt.zip;2;1;6;10000;1.00E-08;0;1;1;44.879;0
WrappeMCTS-100_02.agt.zip;2;1;6;10000;1.00E-08;1;1;1;44.569;0
WrappeMCTS-100_02.agt.zip;2;1;7;10000;1.00E-08;0;1;1;43.006;0
WrappeMCTS-100_02.agt.zip;2;1;7;10000;1.00E-08;1;1;1;46.833;0
WrappeMCTS-100_02.agt.zip;2;1;8;10000;1.00E-08;0;1;0;49.473;0
WrappeMCTS-100_02.agt.zip;2;1;8;10000;1.00E-08;1;1;1;45.626;0
WrappeMCTS-100_02.agt.zip;2;1;9;10000;1.00E-08;0;1;1;46.022;0
WrappeMCTS-100_02.agt.zip;2;1;9;10000;1.00E-08;1;1;1;47.237;0
WrappeMCTS-100_03.agt.zip;3;1;1;0;1.00E-08;0;1;0.5;0.437;0
WrappeMCTS-100_03.agt.zip;3;1;1;0;1.00E-08;1;1;0;0.243;0
WrappeMCTS-100_03.agt.zip;3;1;2;0;1.00E-08;0;1;0;0.44;0
WrappeMCTS-100_03.agt.zip;3;1;2;0;1.00E-08;1;1;0;0.251;0
WrappeMCTS-100_03.agt.zip;3;1;3;0;1.00E-08;0;1;0;0.462;0
WrappeMCTS-100_03.agt.zip;3;1;3;0;1.00E-08;1;1;0;0.28;0
WrappeMCTS-100_03.agt.zip;3;1;4;0;1.00E-08;0;1;0;0.542;0
WrappeMCTS-100_03.agt.zip;3;1;4;0;1.00E-08;1;1;0;0.306;0
WrappeMCTS-100_03.agt.zip;3;1;5;0;1.00E-08;0;1;0;0.47;0
WrappeMCTS-100_03.agt.zip;3;1;5;0;1.00E-08;1;1;0;0.323;0
WrappeMCTS-100_03.agt.zip;3;1;6;0;1.00E-08;0;1;0;0.573;0
WrappeMCTS-100_03.agt.zip;3;1;6;0;1.00E-08;1;1;0;0.416;0
WrappeMCTS-100_03.agt.zip;3;1;7;0;1.00E-08;0;1;0;0.611;0
WrappeMCTS-100_03.agt.zip;3;1;7;0;1.00E-08;1;1;0;0.456;0
WrappeMCTS-100_03.agt.zip;3;1;8;0;1.00E-08;0;1;0;0.784;0
WrappeMCTS-100_03.agt.zip;3;1;8;0;1.00E-08;1;1;0;0.779;0
WrappeMCTS-100_03.agt.zip;3;1;9;0;1.00E-08;0;1;0;1.196;0
WrappeMCTS-100_03.agt.zip;3;1;9;0;1.00E-08;1;1;0;1.021;0
WrappeMCTS-100_03.agt.zip;3;1;1;10000;1.00E-08;0;1;1;44.685;0
WrappeMCTS-100_03.agt.zip;3;1;1;10000;1.00E-08;1;1;1;45.339;0
WrappeMCTS-100_03.agt.zip;3;1;2;10000;1.00E-08;0;1;1;41.997;0
WrappeMCTS-100_03.agt.zip;3;1;2;10000;1.00E-08;1;1;1;44.718;0
WrappeMCTS-100_03.agt.zip;3;1;3;10000;1.00E-08;0;1;1;42.028;0
