TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
WrappeMCTS-100_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 0; 1.0; 0.0; 0.689; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 1; 1.0; 0.0; 0.384; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.59; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.401; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.591; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.413; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.611; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.365; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.695; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.415; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.668; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.491; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.679; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.493; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 0.774; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.776; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 1.117; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 0.699; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 65.488; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 61.303; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 58.612; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 67.554; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 63.926; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 1; 1.0; 0.0; 69.583; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 67.091; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 1; 1.0; 0.0; 69.127; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 0; 1.0; 0.0; 69.303; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 1; 1.0; 0.0; 73.192; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 0; 1.0; 0.0; 70.063; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 1; 1.0; 0.0; 67.473; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 0; 1.0; 0.0; 68.774; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 1; 1.0; 0.0; 71.574; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.0; 67.132; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 1; 1.0; 0.0; 62.337; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 0; 1.0; 0.0; 69.161; 0.0
WrappeMCTS-100_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 1; 1.0; 0.0; 64.989; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 0; 1.0; 0.0; 0.482; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 1; 1.0; 0.0; 0.289; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.492; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.32; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.507; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.328; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.468; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.403; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.59; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.422; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.56; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.442; 0.0
WrappeMCTS-100_01.agt.zip; 1; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.688; 0.0
