TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
WrappeMCTS-1000_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 0; 1.0; 0.0; 0.564; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 1; 1.0; 0.0; 0.315; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.529; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.378; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.609; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.37; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.564; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.342; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.632; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.391; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.699; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.449; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.722; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.699; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 1.243; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.958; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 1.643; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 1.652; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 91.095; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 101.937; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 54.447; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 1; 1.0; 0.0; 57.443; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 52.289; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 1; 1.0; 0.0; 97.598; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 0; 1.0; 0.0; 118.367; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 1; 1.0; 0.0; 87.907; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 0; 1.0; 0.0; 118.244; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 1; 1.0; 0.0; 126.969; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 0; 1.0; 0.0; 123.543; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 1; 1.0; 0.0; 124.181; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 0; 1.0; 1.0; 121.427; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 1; 1.0; 0.0; 123.042; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.0; 121.644; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 1; 1.0; 0.0; 122.343; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 0; 1.0; 0.0; 126.075; 0.0
WrappeMCTS-1000_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 1; 1.0; 0.0; 134.197; 0.0
WrappeMCTS-1000_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 0; 1.0; 0.0; 0.596; 0.0
WrappeMCTS-1000_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 1; 1.0; 0.0; 0.364; 0.0
WrappeMCTS-1000_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.606; 0.0
WrappeMCTS-1000_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.352; 0.0
WrappeMCTS-1000_01.agt.zip; 1; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.541; 0.0
