TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, time, user2
WrappeMCTS-0_00.agt.zip, 0, 1, 1, 0, 1.0E-8, 0, 1.0, 0.0, 0.585, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 1, 0, 1.0E-8, 1, 1.0, 0.0, 0.29, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 2, 0, 1.0E-8, 0, 1.0, 0.0, 0.525, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 2, 0, 1.0E-8, 1, 1.0, 0.0, 0.347, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 3, 0, 1.0E-8, 0, 1.0, 0.0, 0.477, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 3, 0, 1.0E-8, 1, 1.0, 0.0, 0.307, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 4, 0, 1.0E-8, 0, 1.0, 0.0, 0.553, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 4, 0, 1.0E-8, 1, 1.0, 0.0, 0.398, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 5, 0, 1.0E-8, 0, 1.0, 0.0, 0.565, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 5, 0, 1.0E-8, 1, 1.0, 0.0, 0.376, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 6, 0, 1.0E-8, 0, 1.0, 0.0, 0.719, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 6, 0, 1.0E-8, 1, 1.0, 0.0, 0.376, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 7, 0, 1.0E-8, 0, 1.0, 0.0, 0.646, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 7, 0, 1.0E-8, 1, 1.0, 0.0, 0.524, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 8, 0, 1.0E-8, 0, 1.0, 0.0, 1.113, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 8, 0, 1.0E-8, 1, 1.0, 0.0, 0.751, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 9, 0, 1.0E-8, 0, 1.0, 0.0, 1.44, 0.0
WrappeMCTS-0_00.agt.zip, 0, 1, 9, 0, 1.0E-8, 1, 1.0, 0.0, 1.179, 0.0
