TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true;;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10;;;;;;;;;;
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
WrappeMCTS-1000_00.agt.zip;0;1;1;0;1.00E-08;0;1;0;0.506;0
WrappeMCTS-1000_00.agt.zip;0;1;1;0;1.00E-08;1;1;0;0.327;0
WrappeMCTS-1000_00.agt.zip;0;1;2;0;1.00E-08;0;1;0;0.48;0
WrappeMCTS-1000_00.agt.zip;0;1;2;0;1.00E-08;1;1;0;0.336;0
WrappeMCTS-1000_00.agt.zip;0;1;3;0;1.00E-08;0;1;0;0.532;0
WrappeMCTS-1000_00.agt.zip;0;1;3;0;1.00E-08;1;1;0;0.301;0
WrappeMCTS-1000_00.agt.zip;0;1;4;0;1.00E-08;0;1;0;0.463;0
WrappeMCTS-1000_00.agt.zip;0;1;4;0;1.00E-08;1;1;0;0.313;0
WrappeMCTS-1000_00.agt.zip;0;1;5;0;1.00E-08;0;1;0;0.497;0
WrappeMCTS-1000_00.agt.zip;0;1;5;0;1.00E-08;1;1;0;0.328;0
WrappeMCTS-1000_00.agt.zip;0;1;6;0;1.00E-08;0;1;0;0.551;0
WrappeMCTS-1000_00.agt.zip;0;1;6;0;1.00E-08;1;1;0;0.329;0
WrappeMCTS-1000_00.agt.zip;0;1;7;0;1.00E-08;0;1;0;0.433;0
WrappeMCTS-1000_00.agt.zip;0;1;7;0;1.00E-08;1;1;0;0.453;0
WrappeMCTS-1000_00.agt.zip;0;1;8;0;1.00E-08;0;1;0;0.68;0
WrappeMCTS-1000_00.agt.zip;0;1;8;0;1.00E-08;1;1;0;0.521;0
WrappeMCTS-1000_00.agt.zip;0;1;9;0;1.00E-08;0;1;0;0.972;0
WrappeMCTS-1000_00.agt.zip;0;1;9;0;1.00E-08;1;1;0;0.812;0
WrappeMCTS-1000_00.agt.zip;0;1;1;10000;1.00E-08;0;1;1;43.981;0
WrappeMCTS-1000_00.agt.zip;0;1;1;10000;1.00E-08;1;1;0;51.39;0
WrappeMCTS-1000_00.agt.zip;0;1;2;10000;1.00E-08;0;1;0;52.063;0
WrappeMCTS-1000_00.agt.zip;0;1;2;10000;1.00E-08;1;1;0;51.506;0
WrappeMCTS-1000_00.agt.zip;0;1;3;10000;1.00E-08;0;1;0;49.793;0
WrappeMCTS-1000_00.agt.zip;0;1;3;10000;1.00E-08;1;1;0;48.644;0
WrappeMCTS-1000_00.agt.zip;0;1;4;10000;1.00E-08;0;1;0;44.454;0
WrappeMCTS-1000_00.agt.zip;0;1;4;10000;1.00E-08;1;1;0;46.631;0
WrappeMCTS-1000_00.agt.zip;0;1;5;10000;1.00E-08;0;1;0;48.797;0
WrappeMCTS-1000_00.agt.zip;0;1;5;10000;1.00E-08;1;1;0;48.371;0
WrappeMCTS-1000_00.agt.zip;0;1;6;10000;1.00E-08;0;1;0;47.673;0
WrappeMCTS-1000_00.agt.zip;0;1;6;10000;1.00E-08;1;1;0;46.645;0
WrappeMCTS-1000_00.agt.zip;0;1;7;10000;1.00E-08;0;1;0;49.391;0
WrappeMCTS-1000_00.agt.zip;0;1;7;10000;1.00E-08;1;1;0;45.494;0
WrappeMCTS-1000_00.agt.zip;0;1;8;10000;1.00E-08;0;1;0;49.885;0
WrappeMCTS-1000_00.agt.zip;0;1;8;10000;1.00E-08;1;1;0;47.446;0
WrappeMCTS-1000_00.agt.zip;0;1;9;10000;1.00E-08;0;1;0;45.679;0
WrappeMCTS-1000_00.agt.zip;0;1;9;10000;1.00E-08;1;1;0;50.987;0
WrappeMCTS-1000_01.agt.zip;1;1;1;0;1.00E-08;0;1;0;0.534;0
WrappeMCTS-1000_01.agt.zip;1;1;1;0;1.00E-08;1;1;0;0.333;0
WrappeMCTS-1000_01.agt.zip;1;1;2;0;1.00E-08;0;1;0;0.515;0
WrappeMCTS-1000_01.agt.zip;1;1;2;0;1.00E-08;1;1;0;0.303;0
WrappeMCTS-1000_01.agt.zip;1;1;3;0;1.00E-08;0;1;0;0.457;0
WrappeMCTS-1000_01.agt.zip;1;1;3;0;1.00E-08;1;1;0;0.354;0
WrappeMCTS-1000_01.agt.zip;1;1;4;0;1.00E-08;0;1;0;0.567;0
WrappeMCTS-1000_01.agt.zip;1;1;4;0;1.00E-08;1;1;0;0.325;0
WrappeMCTS-1000_01.agt.zip;1;1;5;0;1.00E-08;0;1;0;0.53;0
WrappeMCTS-1000_01.agt.zip;1;1;5;0;1.00E-08;1;1;0;0.377;0
WrappeMCTS-1000_01.agt.zip;1;1;6;0;1.00E-08;0;1;0;0.521;0
WrappeMCTS-1000_01.agt.zip;1;1;6;0;1.00E-08;1;1;0;0.386;0
WrappeMCTS-1000_01.agt.zip;1;1;7;0;1.00E-08;0;1;0;0.591;0
WrappeMCTS-1000_01.agt.zip;1;1;7;0;1.00E-08;1;1;0;0.433;0
WrappeMCTS-1000_01.agt.zip;1;1;8;0;1.00E-08;0;1;0;0.668;0
WrappeMCTS-1000_01.agt.zip;1;1;8;0;1.00E-08;1;1;0;0.642;0
WrappeMCTS-1000_01.agt.zip;1;1;9;0;1.00E-08;0;1;0;0.8;0
WrappeMCTS-1000_01.agt.zip;1;1;9;0;1.00E-08;1;1;0;0.903;0
WrappeMCTS-1000_01.agt.zip;1;1;1;10000;1.00E-08;0;1;0;45.551;0
WrappeMCTS-1000_01.agt.zip;1;1;1;10000;1.00E-08;1;1;0;50.623;0
WrappeMCTS-1000_01.agt.zip;1;1;2;10000;1.00E-08;0;1;0;52.213;0
WrappeMCTS-1000_01.agt.zip;1;1;2;10000;1.00E-08;1;1;0;51.398;0
WrappeMCTS-1000_01.agt.zip;1;1;3;10000;1.00E-08;0;1;0;47.737;0
WrappeMCTS-1000_01.agt.zip;1;1;3;10000;1.00E-08;1;1;0;46.341;0
WrappeMCTS-1000_01.agt.zip;1;1;4;10000;1.00E-08;0;1;0;47.195;0
WrappeMCTS-1000_01.agt.zip;1;1;4;10000;1.00E-08;1;1;0;46.789;0
WrappeMCTS-1000_01.agt.zip;1;1;5;10000;1.00E-08;0;1;0;44.203;0
WrappeMCTS-1000_01.agt.zip;1;1;5;10000;1.00E-08;1;1;0;44.641;0
WrappeMCTS-1000_01.agt.zip;1;1;6;10000;1.00E-08;0;1;0;44.83;0
WrappeMCTS-1000_01.agt.zip;1;1;6;10000;1.00E-08;1;1;0;50.584;0
WrappeMCTS-1000_01.agt.zip;1;1;7;10000;1.00E-08;0;1;0;48.728;0
WrappeMCTS-1000_01.agt.zip;1;1;7;10000;1.00E-08;1;1;0;42.285;0
WrappeMCTS-1000_01.agt.zip;1;1;8;10000;1.00E-08;0;1;0;46.374;0
WrappeMCTS-1000_01.agt.zip;1;1;8;10000;1.00E-08;1;1;0;46.2;0
WrappeMCTS-1000_01.agt.zip;1;1;9;10000;1.00E-08;0;1;0;40.76;0
WrappeMCTS-1000_01.agt.zip;1;1;9;10000;1.00E-08;1;1;0;45.062;0
WrappeMCTS-1000_02.agt.zip;2;1;1;0;1.00E-08;0;1;0;0.464;0
WrappeMCTS-1000_02.agt.zip;2;1;1;0;1.00E-08;1;1;0;0.292;0
WrappeMCTS-1000_02.agt.zip;2;1;2;0;1.00E-08;0;1;0;0.486;0
WrappeMCTS-1000_02.agt.zip;2;1;2;0;1.00E-08;1;1;0;0.307;0
