agent;agentGroup; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate
TCL4-i0;TCL4-i0;5;1;0;1.00E-08;0;1;0
TCL4-i0;TCL4-i0;5;1;0;1.00E-08;1;1;0
TCL4-i0;TCL4-i0;5;2;0;1.00E-08;0;1;1
TCL4-i0;TCL4-i0;5;2;0;1.00E-08;1;1;0
TCL4-i0;TCL4-i0;5;3;0;1.00E-08;0;1;1
TCL4-i0;TCL4-i0;5;3;0;1.00E-08;1;1;0
TCL4-i0;TCL4-i0;5;4;0;1.00E-08;0;1;0
TCL4-i0;TCL4-i0;5;4;0;1.00E-08;1;1;0
TCL4-i0;TCL4-i0;5;5;0;1.00E-08;0;1;0
TCL4-i0;TCL4-i0;5;5;0;1.00E-08;1;1;0
TCL4-i0;TCL4-i0;5;6;0;1.00E-08;0;1;0
TCL4-i0;TCL4-i0;5;6;0;1.00E-08;1;1;0
TCL4-i0;TCL4-i0;5;7;0;1.00E-08;0;1;0
TCL4-i0;TCL4-i0;5;7;0;1.00E-08;1;1;0
TCL4-i0;TCL4-i0;5;8;0;1.00E-08;0;1;0
TCL4-i0;TCL4-i0;5;8;0;1.00E-08;1;1;0
TCL4-i0;TCL4-i0;5;9;0;1.00E-08;0;1;0
TCL4-i0;TCL4-i0;5;9;0;1.00E-08;1;1;0
MCTS-i10k;MCTS-i10k;5;1;0;1.00E-08;0;1;0.8
MCTS-i10k;MCTS-i10k;5;1;0;1.00E-08;1;1;0.8
MCTS-i10k;MCTS-i10k;5;2;0;1.00E-08;0;1;0.2
MCTS-i10k;MCTS-i10k;5;2;0;1.00E-08;1;1;0.6
MCTS-i10k;MCTS-i10k;5;3;0;1.00E-08;0;1;0
MCTS-i10k;MCTS-i10k;5;3;0;1.00E-08;1;1;0.2
MCTS-i10k;MCTS-i10k;5;4;0;1.00E-08;0;1;0
MCTS-i10k;MCTS-i10k;5;4;0;1.00E-08;1;1;0
MCTS-i10k;MCTS-i10k;5;5;0;1.00E-08;0;1;0.2
MCTS-i10k;MCTS-i10k;5;5;0;1.00E-08;1;1;0.2
MCTS-i10k;MCTS-i10k;5;6;0;1.00E-08;0;1;0
MCTS-i10k;MCTS-i10k;5;6;0;1.00E-08;1;1;0
MCTS-i10k;MCTS-i10k;5;7;0;1.00E-08;0;1;0
