TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10
run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, time, user2
0, 1, 1, 0, 1.0E-8, 0, 1.0, 0.0, 0.44, 0.0
0, 1, 1, 0, 1.0E-8, 1, 1.0, 0.0, 0.244, 0.0
0, 1, 2, 0, 1.0E-8, 0, 1.0, 0.0, 0.414, 0.0
0, 1, 2, 0, 1.0E-8, 1, 1.0, 0.0, 0.252, 0.0
0, 1, 3, 0, 1.0E-8, 0, 1.0, 0.0, 0.375, 0.0
0, 1, 3, 0, 1.0E-8, 1, 1.0, 0.0, 0.254, 0.0
0, 1, 4, 0, 1.0E-8, 0, 1.0, 0.0, 0.446, 0.0
0, 1, 4, 0, 1.0E-8, 1, 1.0, 0.0, 0.255, 0.0
0, 1, 5, 0, 1.0E-8, 0, 1.0, 0.0, 0.456, 0.0
0, 1, 5, 0, 1.0E-8, 1, 1.0, 0.0, 0.277, 0.0
0, 1, 6, 0, 1.0E-8, 0, 1.0, 0.0, 0.519, 0.0
0, 1, 6, 0, 1.0E-8, 1, 1.0, 0.0, 0.313, 0.0
0, 1, 7, 0, 1.0E-8, 0, 1.0, 0.0, 0.516, 0.0
0, 1, 7, 0, 1.0E-8, 1, 1.0, 0.0, 0.326, 0.0
0, 1, 8, 0, 1.0E-8, 0, 1.0, 0.0, 0.628, 0.0
0, 1, 8, 0, 1.0E-8, 1, 1.0, 0.0, 0.374, 0.0
0, 1, 9, 0, 1.0E-8, 0, 1.0, 0.0, 0.859, 0.0
0, 1, 9, 0, 1.0E-8, 1, 1.0, 0.0, 0.585, 0.0
1, 1, 1, 0, 1.0E-8, 0, 1.0, 0.0, 0.395, 0.0
1, 1, 1, 0, 1.0E-8, 1, 1.0, 0.0, 0.26, 0.0
1, 1, 2, 0, 1.0E-8, 0, 1.0, 0.0, 0.402, 0.0
1, 1, 2, 0, 1.0E-8, 1, 1.0, 0.0, 0.253, 0.0
1, 1, 3, 0, 1.0E-8, 0, 1.0, 0.0, 0.42, 0.0
1, 1, 3, 0, 1.0E-8, 1, 1.0, 0.0, 0.25, 0.0
1, 1, 4, 0, 1.0E-8, 0, 1.0, 0.0, 0.396, 0.0
1, 1, 4, 0, 1.0E-8, 1, 1.0, 0.0, 0.269, 0.0
1, 1, 5, 0, 1.0E-8, 0, 1.0, 0.0, 0.416, 0.0
1, 1, 5, 0, 1.0E-8, 1, 1.0, 0.0, 0.27, 0.0
1, 1, 6, 0, 1.0E-8, 0, 1.0, 0.0, 0.51, 0.0
1, 1, 6, 0, 1.0E-8, 1, 1.0, 0.0, 0.354, 0.0
1, 1, 7, 0, 1.0E-8, 0, 1.0, 0.0, 0.53, 0.0
1, 1, 7, 0, 1.0E-8, 1, 1.0, 0.0, 0.389, 0.0
1, 1, 8, 0, 1.0E-8, 0, 1.0, 0.0, 0.761, 0.0
1, 1, 8, 0, 1.0E-8, 1, 1.0, 0.0, 0.262, 0.0
1, 1, 9, 0, 1.0E-8, 0, 1.0, 0.0, 0.998, 0.0
1, 1, 9, 0, 1.0E-8, 1, 1.0, 0.0, 0.464, 0.0
