TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, time, user2
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 1, 0, 1.0E-8, 0, 1.0, 1.0, 0.597, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 1, 0, 1.0E-8, 1, 1.0, 0.0, 0.296, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 2, 0, 1.0E-8, 0, 1.0, 1.0, 0.461, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 2, 0, 1.0E-8, 1, 1.0, 0.0, 0.337, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 3, 0, 1.0E-8, 0, 1.0, 0.0, 0.513, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 3, 0, 1.0E-8, 1, 1.0, 0.0, 0.305, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 4, 0, 1.0E-8, 0, 1.0, 0.0, 0.562, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 4, 0, 1.0E-8, 1, 1.0, 0.0, 0.33, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 5, 0, 1.0E-8, 0, 1.0, 0.0, 0.526, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 5, 0, 1.0E-8, 1, 1.0, 0.0, 0.32, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 6, 0, 1.0E-8, 0, 1.0, 0.0, 0.601, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 6, 0, 1.0E-8, 1, 1.0, 0.0, 0.348, 0.0
