TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true;;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10;;;;;;;;;;
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;1;0;1.00E-08;0;1;1;0.798;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;1;0;1.00E-08;1;1;0;0.428;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;2;0;1.00E-08;0;1;1;0.735;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;2;0;1.00E-08;1;1;1;0.421;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;3;0;1.00E-08;0;1;0;0.608;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;3;0;1.00E-08;1;1;0;0.314;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;4;0;1.00E-08;0;1;0;0.793;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;4;0;1.00E-08;1;1;0;0.358;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;5;0;1.00E-08;0;1;0;0.75;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;5;0;1.00E-08;1;1;0;0.406;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;6;0;1.00E-08;0;1;0;0.915;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;6;0;1.00E-08;1;1;0;0.451;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;7;0;1.00E-08;0;1;0;0.828;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;7;0;1.00E-08;1;1;0;0.571;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;8;0;1.00E-08;0;1;0;1.181;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;8;0;1.00E-08;1;1;0;0.832;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;9;0;1.00E-08;0;1;0;1.468;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;9;0;1.00E-08;1;1;0;1.121;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;1;10000;1.00E-08;0;1;1;122.826;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;1;10000;1.00E-08;1;1;1;119.109;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;2;10000;1.00E-08;0;1;1;123.758;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;2;10000;1.00E-08;1;1;1;73.521;0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_07.agt.zip;7;1;3;10000;1.00E-08;0;1;1;64.121;0
