TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, time, user2
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 1, 0, 1.0E-8, 0, 1.0, 1.0, 0.417, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 1, 0, 1.0E-8, 1, 1.0, 0.0, 0.251, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 2, 0, 1.0E-8, 0, 1.0, 1.0, 0.421, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 2, 0, 1.0E-8, 1, 1.0, 1.0, 0.239, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 3, 0, 1.0E-8, 0, 1.0, 0.0, 0.426, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 3, 0, 1.0E-8, 1, 1.0, 0.0, 0.251, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 4, 0, 1.0E-8, 0, 1.0, 0.0, 0.425, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 4, 0, 1.0E-8, 1, 1.0, 0.0, 0.263, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 5, 0, 1.0E-8, 0, 1.0, 0.0, 0.43, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 5, 0, 1.0E-8, 1, 1.0, 0.0, 0.314, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 6, 0, 1.0E-8, 0, 1.0, 0.0, 0.498, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 6, 0, 1.0E-8, 1, 1.0, 0.0, 0.353, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 7, 0, 1.0E-8, 0, 1.0, 0.0, 0.516, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 7, 0, 1.0E-8, 1, 1.0, 0.0, 0.417, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 8, 0, 1.0E-8, 0, 1.0, 0.0, 0.732, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 8, 0, 1.0E-8, 1, 1.0, 0.0, 0.693, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 9, 0, 1.0E-8, 0, 1.0, 0.0, 0.993, 0.0
TCL4-100_7_250k-lam05_P4_nPly2-FAm_A_00.agt.zip, 0, 1, 9, 0, 1.0E-8, 1, 1.0, 0.0, 0.98, 0.0
