controllers.MCTS.MCTSAgentT: iterations:10000, rollout depth:200, K_UCT:1.414, tree depth:10;;;;;;;;;;
controllers.MCTS.MCTSAgentT:;;;;;;;;;;
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
MCTS-10000.agt.zip;0;1;1;0;1.00E-08;0;1;0;14.964;0
MCTS-10000.agt.zip;0;1;1;0;1.00E-08;1;1;0;14.943;0
MCTS-10000.agt.zip;0;1;2;0;1.00E-08;0;1;1;7.229;0
MCTS-10000.agt.zip;0;1;2;0;1.00E-08;1;1;0;14.014;0
MCTS-10000.agt.zip;0;1;3;0;1.00E-08;0;1;0;15.186;0
MCTS-10000.agt.zip;0;1;3;0;1.00E-08;1;1;0;14.748;0
MCTS-10000.agt.zip;0;1;4;0;1.00E-08;0;1;0;15.131;0
MCTS-10000.agt.zip;0;1;4;0;1.00E-08;1;1;0;14.009;0
MCTS-10000.agt.zip;0;1;5;0;1.00E-08;0;1;0;15.138;0
MCTS-10000.agt.zip;0;1;5;0;1.00E-08;1;1;0;14.477;0
MCTS-10000.agt.zip;0;1;6;0;1.00E-08;0;1;0;14.293;0
MCTS-10000.agt.zip;0;1;6;0;1.00E-08;1;1;0;14.71;0
MCTS-10000.agt.zip;0;1;7;0;1.00E-08;0;1;0;15.59;0
MCTS-10000.agt.zip;0;1;7;0;1.00E-08;1;1;0;14.763;0
MCTS-10000.agt.zip;0;1;8;0;1.00E-08;0;1;0;15.805;0
MCTS-10000.agt.zip;0;1;8;0;1.00E-08;1;1;0;15.196;0
MCTS-10000.agt.zip;0;1;9;0;1.00E-08;0;1;0;16.443;0
MCTS-10000.agt.zip;0;1;9;0;1.00E-08;1;1;0;16.822;0
MCTS-10000.agt.zip;1;1;1;0;1.00E-08;0;1;0;16.014;0
MCTS-10000.agt.zip;1;1;1;0;1.00E-08;1;1;1;6.152;0
MCTS-10000.agt.zip;1;1;2;0;1.00E-08;0;1;0;15.02;0
MCTS-10000.agt.zip;1;1;2;0;1.00E-08;1;1;0;15.302;0
MCTS-10000.agt.zip;1;1;3;0;1.00E-08;0;1;0;15.628;0
MCTS-10000.agt.zip;1;1;3;0;1.00E-08;1;1;0;15.189;0
MCTS-10000.agt.zip;1;1;4;0;1.00E-08;0;1;0;16.612;0
MCTS-10000.agt.zip;1;1;4;0;1.00E-08;1;1;0;15.177;0
MCTS-10000.agt.zip;1;1;5;0;1.00E-08;0;1;0;16.879;0
MCTS-10000.agt.zip;1;1;5;0;1.00E-08;1;1;0;16.053;0
MCTS-10000.agt.zip;1;1;6;0;1.00E-08;0;1;0;16.064;0
MCTS-10000.agt.zip;1;1;6;0;1.00E-08;1;1;0;15.983;0
MCTS-10000.agt.zip;1;1;7;0;1.00E-08;0;1;0;16.407;0
MCTS-10000.agt.zip;1;1;7;0;1.00E-08;1;1;0;16.944;0
MCTS-10000.agt.zip;1;1;8;0;1.00E-08;0;1;0;16.618;0
MCTS-10000.agt.zip;1;1;8;0;1.00E-08;1;1;0;15.334;0
MCTS-10000.agt.zip;1;1;9;0;1.00E-08;0;1;0;16.294;0
MCTS-10000.agt.zip;1;1;9;0;1.00E-08;1;1;0;15.768;0
MCTS-10000.agt.zip;2;1;1;0;1.00E-08;0;1;1;7.394;0
MCTS-10000.agt.zip;2;1;1;0;1.00E-08;1;1;0;15.369;0
MCTS-10000.agt.zip;2;1;2;0;1.00E-08;0;1;0;16.583;0
MCTS-10000.agt.zip;2;1;2;0;1.00E-08;1;1;0;14.859;0
MCTS-10000.agt.zip;2;1;3;0;1.00E-08;0;1;0;15.763;0
MCTS-10000.agt.zip;2;1;3;0;1.00E-08;1;1;0;15.322;0
MCTS-10000.agt.zip;2;1;4;0;1.00E-08;0;1;0;16.491;0
MCTS-10000.agt.zip;2;1;4;0;1.00E-08;1;1;0;15.236;0
MCTS-10000.agt.zip;2;1;5;0;1.00E-08;0;1;0;16.435;0
MCTS-10000.agt.zip;2;1;5;0;1.00E-08;1;1;0;15.64;0
MCTS-10000.agt.zip;2;1;6;0;1.00E-08;0;1;0;16.572;0
