TDNTuple4Agt: USESYM:true, nSym:0, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true;;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.2->0.2, eps_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10, stepRew: -0.04, rewPos: 1.0;;;;;;;;;;
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;1;0;1.00E-08;0;1;0;0.631;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;1;0;1.00E-08;1;1;0;0.35;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;2;0;1.00E-08;0;1;0;0.539;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;2;0;1.00E-08;1;1;0;0.314;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;3;0;1.00E-08;0;1;0;0.421;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;3;0;1.00E-08;1;1;0;0.262;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;4;0;1.00E-08;0;1;0;0.435;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;4;0;1.00E-08;1;1;0;0.256;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;5;0;1.00E-08;0;1;0;0.467;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;5;0;1.00E-08;1;1;0;0.289;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;6;0;1.00E-08;0;1;0;0.584;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;6;0;1.00E-08;1;1;0;0.382;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;7;0;1.00E-08;0;1;0;0.539;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;7;0;1.00E-08;1;1;0;0.419;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;8;0;1.00E-08;0;1;0;0.664;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;8;0;1.00E-08;1;1;0;0.406;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;9;0;1.00E-08;0;1;0;0.967;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;9;0;1.00E-08;1;1;0;0.827;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;1;10000;1.00E-08;0;1;1;53.118;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;1;10000;1.00E-08;1;1;1;41.464;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;2;10000;1.00E-08;0;1;1;43.351;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;2;10000;1.00E-08;1;1;1;40.694;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;3;10000;1.00E-08;0;1;1;41.044;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;3;10000;1.00E-08;1;1;1;41.506;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;4;10000;1.00E-08;0;1;1;42.671;0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX1_EX0_00.agt.zip;0;1;4;10000;1.00E-08;1;1;1;42.166;0
