TDNTuple4Agt: USESYM:true, nSym:0, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, eps_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10, stepRew: -0.04, rewPos: 1.0
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 0; 1.0; 1.0; 0.735; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 1; 0; 1.0E-8; 1; 1.0; 1.0; 0.434; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.564; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.427; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.668; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.412; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.585; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.458; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.645; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.506; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 1.044; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.748; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.983; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.669; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 1.243; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.968; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 1.582; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 1.36; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 62.501; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 65.914; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 76.051; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 121.251; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 101.067; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 3; 10000; 1.0E-8; 1; 1.0; 1.0; 116.322; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 123.084; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 4; 10000; 1.0E-8; 1; 1.0; 1.0; 120.307; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 0; 1.0; 1.0; 124.477; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 5; 10000; 1.0E-8; 1; 1.0; 1.0; 126.584; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 0; 1.0; 0.5; 116.517; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 6; 10000; 1.0E-8; 1; 1.0; 0.5; 104.188; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 0; 1.0; 1.0; 97.124; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 7; 10000; 1.0E-8; 1; 1.0; 1.0; 103.084; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.0; 61.558; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 8; 10000; 1.0E-8; 1; 1.0; 1.0; 80.011; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 0; 1.0; 0.0; 127.533; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_00.agt.zip; 0; 1; 9; 10000; 1.0E-8; 1; 1.0; 1.0; 105.025; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 0; 1.0; 0.0; 0.646; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 1; 0; 1.0E-8; 1; 1.0; 1.0; 0.422; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.748; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.431; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.682; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.427; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.677; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.418; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.781; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.419; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.8; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.462; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.759; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.662; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 1.045; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.852; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 1.613; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 1.153; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 75.049; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 121.192; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 111.324; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 103.813; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 57.956; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 3; 10000; 1.0E-8; 1; 1.0; 1.0; 47.77; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 40.282; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 4; 10000; 1.0E-8; 1; 1.0; 1.0; 44.159; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 5; 10000; 1.0E-8; 0; 1.0; 0.5; 38.924; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 5; 10000; 1.0E-8; 1; 1.0; 1.0; 41.514; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 6; 10000; 1.0E-8; 0; 1.0; 1.0; 44.025; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 6; 10000; 1.0E-8; 1; 1.0; 0.5; 41.978; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 7; 10000; 1.0E-8; 0; 1.0; 0.5; 40.229; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 7; 10000; 1.0E-8; 1; 1.0; 0.0; 43.621; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 8; 10000; 1.0E-8; 0; 1.0; 1.0; 44.48; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 8; 10000; 1.0E-8; 1; 1.0; 1.0; 42.886; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 9; 10000; 1.0E-8; 0; 1.0; 0.0; 43.906; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_01.agt.zip; 1; 1; 9; 10000; 1.0E-8; 1; 1.0; 0.0; 40.737; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 1; 0; 1.0E-8; 0; 1.0; 0.0; 0.419; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 1; 0; 1.0E-8; 1; 1.0; 0.0; 0.227; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 2; 0; 1.0E-8; 0; 1.0; 1.0; 0.428; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.245; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 3; 0; 1.0E-8; 0; 1.0; 0.0; 0.429; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.271; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.406; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.275; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.455; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.293; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.475; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.37; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.557; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.437; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 0.683; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.546; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 0.976; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 0.863; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 40.703; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 1; 10000; 1.0E-8; 1; 1.0; 1.0; 45.816; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 2; 10000; 1.0E-8; 0; 1.0; 1.0; 41.38; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 2; 10000; 1.0E-8; 1; 1.0; 1.0; 42.821; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 3; 10000; 1.0E-8; 0; 1.0; 1.0; 38.776; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 3; 10000; 1.0E-8; 1; 1.0; 1.0; 42.516; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 4; 10000; 1.0E-8; 0; 1.0; 1.0; 40.159; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 4; 10000; 1.0E-8; 1; 1.0; 1.0; 43.15; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 5; 10000; 1.0E-8; 0; 1.0; 0.0; 41.279; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 5; 10000; 1.0E-8; 1; 1.0; 1.0; 40.057; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 6; 10000; 1.0E-8; 0; 1.0; 1.0; 42.339; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 6; 10000; 1.0E-8; 1; 1.0; 1.0; 43.293; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 7; 10000; 1.0E-8; 0; 1.0; 1.0; 40.972; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 7; 10000; 1.0E-8; 1; 1.0; 1.0; 42.026; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 8; 10000; 1.0E-8; 0; 1.0; 0.0; 47.057; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 8; 10000; 1.0E-8; 1; 1.0; 1.0; 42.459; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 9; 10000; 1.0E-8; 0; 1.0; 0.0; 46.405; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_02.agt.zip; 2; 1; 9; 10000; 1.0E-8; 1; 1.0; 1.0; 41.803; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_03.agt.zip; 3; 1; 1; 0; 1.0E-8; 0; 1.0; 0.0; 0.461; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_03.agt.zip; 3; 1; 1; 0; 1.0E-8; 1; 1.0; 1.0; 0.258; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_03.agt.zip; 3; 1; 2; 0; 1.0E-8; 0; 1.0; 0.0; 0.432; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_03.agt.zip; 3; 1; 2; 0; 1.0E-8; 1; 1.0; 0.0; 0.269; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_03.agt.zip; 3; 1; 3; 0; 1.0E-8; 0; 1.0; 1.0; 0.437; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_03.agt.zip; 3; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.283; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_03.agt.zip; 3; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.432; 0.0
TCL4-100_7_250k-lam05_P4_H010-FAm-W100-EX0-stub_EX0_03.agt.zip; 3; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.267; 0.0
