TDNTuple4Agt: USESYM:true, nSym:0, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, eps_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10, stepRew: -0.04, rewPos: 1.0
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; time; user2
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 1; 0; 1.0E-8; 0; 1.0; 1.0; 0.43; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 1; 0; 1.0E-8; 1; 1.0; 1.0; 0.267; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 2; 0; 1.0E-8; 0; 1.0; 1.0; 0.435; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 2; 0; 1.0E-8; 1; 1.0; 1.0; 0.253; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 3; 0; 1.0E-8; 0; 1.0; 1.0; 0.418; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 3; 0; 1.0E-8; 1; 1.0; 0.0; 0.286; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 4; 0; 1.0E-8; 0; 1.0; 0.0; 0.454; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 4; 0; 1.0E-8; 1; 1.0; 0.0; 0.269; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 5; 0; 1.0E-8; 0; 1.0; 0.0; 0.467; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 5; 0; 1.0E-8; 1; 1.0; 0.0; 0.331; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 6; 0; 1.0E-8; 0; 1.0; 0.0; 0.519; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 6; 0; 1.0E-8; 1; 1.0; 0.0; 0.353; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 7; 0; 1.0E-8; 0; 1.0; 0.0; 0.533; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 7; 0; 1.0E-8; 1; 1.0; 0.0; 0.415; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 8; 0; 1.0E-8; 0; 1.0; 0.0; 0.703; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 8; 0; 1.0E-8; 1; 1.0; 0.0; 0.561; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 9; 0; 1.0E-8; 0; 1.0; 0.0; 0.894; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 9; 0; 1.0E-8; 1; 1.0; 0.0; 0.786; 0.0
TCL4-100_7_250k-lam05_P4_H001-FAm-stub_EX0_05.agt.zip; 0; 1; 1; 10000; 1.0E-8; 0; 1.0; 1.0; 40.65; 0.0
