TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.9, horizon:44, AFTERSTATE:false, learnFromRM: false;;;;;;;;
TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.2, gamma: 1.0, random 50 6-tuple;;;;;;;;
run; gameNum; evalQ; evalT; actionNum; trnMoves; elapsedTime; movesSecond;lambda
0;2000;0;-0.3;97878;119145;20.056;4880.235341;0.0
0;4000;-0.75;-0.5;196380;238532;41.575;4723.511726;0.0
0;6000;-0.2;-0.1;294681;358027;61.535;4788.835622;0.0
0;8000;-0.15;0.15;393204;477518;81.589;4819.326135;0.0
0;10000;-0.7;-0.7;491720;597128;102.173;4812.62173;0.0
0;12000;-0.55;-0.8;590210;716910;122.782;4806.974964;0.0
0;14000;0.9;0.9;688736;836418;143.381;4803.537428;0.0
0;16000;0.2;0.2;787036;956001;164.14;4794.906787;0.0
0;18000;0.2;0.2;885711;1075706;185.408;4777.091603;0.0
0;20000;1;1;984362;1195428;206.305;4771.391871;0.0
0;22000;0;0;1082784;1314975;227.288;4763.929464;0.0
0;24000;0.95;0.55;1181418;1434522;247.851;4766.64609;0.0
0;26000;-0.2;-0.3;1280003;1554115;269.048;4757.526538;0.0
0;28000;0.9;0.8;1378693;1673818;290.585;4744.542905;0.0
0;30000;0.7;0.4;1477184;1793514;311.511;4741.99627;0.0
0;32000;0;0;1575634;1913037;332.204;4742.971186;0.0
0;34000;0.8;0.85;1674264;2032754;352.928;4743.925107;0.0
0;36000;0.75;0.6;1772797;2152456;373.994;4740.174976;0.0
0;38000;0.8;0.85;1871530;2272286;394.689;4741.784038;0.0
0;40000;0.3;0.2;1970376;2392092;415.259;4744.932681;0.0
0;42000;0.9;1;2068924;2511847;436.146;4743.650062;0.0
0;44000;0.7;0.8;2167439;2631676;456.633;4746.566718;0.0
0;46000;0.2;0;2266056;2751401;477.014;4750.502082;0.0
0;48000;0.9;0.7;2364450;2871125;497.807;4749.732326;0.0
0;50000;0.5;0.5;2463111;2990866;519.743;4739.094129;0.0
0;52000;0.6;0.8;2561757;3110668;540.311;4741.263828;0.0
0;54000;0.6;0.7;2660238;3230357;561.097;4741.13745;0.0
0;56000;0.9;0.9;2758709;3349975;581.615;4743.187504;0.0
0;58000;0.4;0.7;2857477;3469740;602.246;4744.70067;0.0
0;60000;-0.1;-0.4;2956061;3589490;623.007;4744.827907;0.0
0;62000;0.7;0.8;3054687;3709302;643.69;4745.587162;0.0
0;64000;0.6;0.55;3153419;3829013;664.395;4746.301522;0.0
0;66000;1;1;3252097;3948837;685.708;4742.684933;0.0
0;68000;0.5;0.5;3350626;4068558;708.446;4729.543254;0.0
0;70000;1;1;3449399;4188202;731.291;4716.862371;0.0
0;72000;1;0.9;3547693;4307847;753.799;4706.417759;0.0
0;74000;1;1;3646341;4427425;776.055;4698.560025;0.0
0;76000;0.9;0.9;3744798;4546958;796.746;4700.115219;0.0
0;78000;1;0.7;3843237;4666636;817.723;4699.92528;0.0
0;80000;1;0.9;3941771;4786414;838.499;4700.984736;0.0
0;82000;0.9;0.3;4040404;4906027;859.084;4703.153591;0.0
0;84000;1;1;4139036;5025734;879.844;4704.283941;0.0
0;86000;0.6;0.4;4237582;5145294;900.226;4707.242404;0.0
0;88000;1;1;4335935;5264953;920.828;4708.734965;0.0
0;90000;0.9;0.6;4434424;5384479;941.517;4709.87141;0.0
0;92000;1;1;4532916;5504049;962.459;4709.723739;0.0
0;94000;1;1;4631430;5623770;984.033;4706.579962;0.0
0;96000;0.4;0.5;4729873;5743265;1005.065;4706.036923;0.0
0;98000;0.7;0.7;4828394;5862912;1025.886;4706.559988;0.0
0;100000;0.5;0.4;4926893;5982491;1046.566;4707.675388;0.0
0;102000;0.2;0.6;5025293;6102115;1067.267;4708.56215;0.0
0;104000;0.95;0.8;5123942;6221923;1088.301;4708.20297;0.0
0;106000;0.7;1;5222336;6341595;1108.994;4709.075072;0.0
0;108000;0.6;0.7;5320651;6461408;1129.955;4708.728224;0.0
0;110000;1;1;5419508;6580940;1151.231;4707.576499;0.0
0;112000;1;1;5518176;6700617;1171.712;4709.49858;0.0
0;114000;0.7;0.1;5616513;6820177;1192.248;4710.859653;0.0
0;116000;1;1;5715275;6939865;1213.45;4709.938605;0.0
0;118000;1;1;5813895;7059616;1235.062;4707.370966;0.0
0;120000;1;1;5912608;7179321;1255.512;4709.320182;0.0
0;122000;1;1;6011447;7299068;1276.118;4710.729729;0.0
0;124000;1;1;6109764;7418693;1296.531;4712.393302;0.0
