TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.9, horizon:44, AFTERSTATE:false, learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.2, gamma: 1.0, random 50 6-tuple
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond, lambda, null
0, 2000, -1.0, -0.9, 97614, 119145, 22.008, 4435.387131952018, 0.0, 0.0
0, 4000, -0.09999999999999998, -0.6000000000000001, 194898, 237713, 43.066, 4525.565411229276, 0.0, 0.0
0, 6000, -0.6000000000000001, -0.8, 292175, 356632, 63.732, 4584.431682671186, 0.0, 0.0
0, 8000, -0.25000000000000006, -0.45, 389860, 475736, 84.608, 4607.838502269289, 0.0, 0.0
0, 10000, -0.09999999999999998, 0.29999999999999993, 487900, 595346, 105.751, 4613.667955858573, 0.0, 0.0
0, 12000, -0.6, -0.6500000000000001, 585681, 714654, 127.044, 4610.064229715689, 0.0, 0.0
0, 14000, 0.10000000000000006, -0.19999999999999998, 683510, 834018, 148.247, 4610.616066429674, 0.0, 0.0
0, 16000, 0.6, 0.8, 781067, 953308, 170.299, 4586.445017293114, 0.0, 0.0
0, 18000, -0.04999999999999996, 0.1, 879204, 1072863, 192.7, 4562.553191489362, 0.0, 0.0
0, 20000, -0.24999999999999997, -0.4, 977355, 1192682, 214.332, 4560.005038911595, 0.0, 0.0
0, 22000, 0.1, 0.35, 1075702, 1312387, 236.0, 4558.059322033899, 0.0, 0.0
0, 24000, 0.29999999999999993, 0.25, 1173931, 1432190, 257.824, 4553.2262318480825, 0.0, 0.0
0, 26000, 0.6, 0.9, 1272196, 1551726, 279.294, 4555.042356799645, 0.0, 0.0
0, 28000, 0.09999999999999998, 0.30000000000000004, 1370537, 1671293, 300.634, 4558.822355422208, 0.0, 0.0
0, 30000, 0.5, 0.4, 1468442, 1790593, 11611.43, 126.4652157400079, 0.0, 0.0
0, 32000, 1.0, 0.7, 1566421, 1910023, 11634.319, 134.6379620500349, 0.0, 0.0
0, 34000, 1.0, 1.0, 1664345, 2029611, 11655.686, 142.7925391950332, 0.0, 0.0
0, 36000, -0.19999999999999998, 0.4, 1762153, 2148854, 11677.018, 150.9077916981887, 0.0, 0.0
0, 38000, 1.0, 1.0, 1860251, 2268474, 11698.621, 159.0145539375966, 0.0, 0.0
0, 40000, -0.19999999999999996, -0.09999999999999998, 1958367, 2387932, 11721.138, 167.07993711873368, 0.0, 0.0
0, 42000, 1.0, 1.0, 2056685, 2507787, 11743.41, 175.13524606566577, 0.0, 0.0
0, 44000, 0.8, 0.5, 2154483, 2626925, 11765.008, 183.12635231527256, 0.0, 0.0
0, 46000, 0.9, 1.0, 2252644, 2746519, 11786.344, 191.12321853154805, 0.0, 0.0
0, 48000, 0.95, 0.9, 2350803, 2866383, 11808.186, 199.08248396493755, 0.0, 0.0
0, 50000, 0.6, 0.9, 2448872, 2986169, 11829.66, 207.0111905160419, 0.0, 0.0
0, 52000, 0.7, 0.8, 2546726, 3105570, 11852.158, 214.87445577421428, 0.0, 0.0
0, 54000, 0.9, 0.75, 2644917, 3225342, 11874.68, 222.73585477671818, 0.0, 0.0
0, 56000, 0.8, 0.8, 2742980, 3344999, 11898.637, 230.52892528782917, 0.0, 0.0
0, 58000, 0.8, 0.6, 2841278, 3464738, 11922.259, 238.31708403583582, 0.0, 0.0
0, 60000, 0.9, 1.0, 2939718, 3584614, 11944.405, 246.11673833899636, 0.0, 0.0
0, 62000, 1.0, 1.0, 3037972, 3704353, 11965.952, 253.88468882375597, 0.0, 0.0
0, 64000, 1.0, 0.9, 3136114, 3823970, 11987.601, 261.61314511552393, 0.0, 0.0
0, 66000, 0.8, 0.6, 3234486, 3943798, 12009.414, 269.3292112337871, 0.0, 0.0
0, 68000, 0.8, 0.65, 3332698, 4063585, 12031.692, 276.9932940437638, 0.0, 0.0
0, 70000, 0.9, 0.9, 3430842, 4183017, 12053.843, 284.62640503945505, 0.0, 0.0
0, 72000, 1.0, 0.95, 3529001, 4302729, 12076.26, 292.2263184131511, 0.0, 0.0
0, 74000, 0.7, 0.65, 3627097, 4422415, 12098.278, 299.8027487878853, 0.0, 0.0
0, 76000, 0.35, 0.45, 3725363, 4542199, 12120.469, 307.3612910523512, 0.0, 0.0
0, 78000, 1.0, 1.0, 3823752, 4661741, 12142.801, 314.8986794727181, 0.0, 0.0
0, 80000, 0.65, 0.6, 3921696, 4780962, 12165.911, 322.35119918269993, 0.0, 0.0
0, 82000, 0.19999999999999996, 0.5, 4019538, 4900143, 12187.778, 329.80072331478306, 0.0, 0.0
0, 84000, 0.5, 0.19999999999999998, 4117215, 5019359, 12209.807, 337.205575812951, 0.0, 0.0
0, 86000, 0.7, 0.9, 4215201, 5138885, 12231.749, 344.61146970886995, 0.0, 0.0
0, 88000, 1.0, 1.0, 4313184, 5258525, 12253.788, 351.9878098103215, 0.0, 0.0
0, 90000, 1.0, 1.0, 4410963, 5378180, 12275.772, 359.32265604151, 0.0, 0.0
0, 92000, 1.0, 1.0, 4509126, 5497882, 12297.448, 366.6716866784068, 0.0, 0.0
0, 94000, 1.0, 1.0, 4607104, 5617584, 12319.119, 373.97998996519146, 0.0, 0.0
0, 96000, 1.0, 0.9, 4705500, 5737239, 12340.851, 381.29461250281685, 0.0, 0.0
0, 98000, 0.6, 0.6, 4803706, 5857119, 12362.905, 388.5580290392913, 0.0, 0.0
0, 100000, 0.8, 0.4, 4902036, 5976965, 12385.641, 395.78379512210955, 0.0, 0.0
0, 102000, 0.8, 0.7, 4999994, 6096591, 12408.572, 402.94676937845867, 0.0, 0.0
0, 104000, 0.8, 0.4, 5097990, 6216310, 12431.64, 410.0818556521907, 0.0, 0.0
0, 106000, 1.0, 1.0, 5196260, 6336157, 12454.631, 417.21509051532723, 0.0, 0.0
0, 108000, 0.9, 0.9, 5294570, 6455976, 12477.356, 424.33429005311706, 0.0, 0.0
0, 110000, 0.9, 1.0, 5392690, 6575759, 12499.331, 431.4382905773117, 0.0, 0.0
0, 112000, 0.85, 0.9, 5490821, 6695457, 12521.855, 438.4990083338291, 0.0, 0.0
0, 114000, 0.9, 1.0, 5589026, 6815258, 12544.37, 445.5405891248424, 0.0, 0.0
0, 116000, 0.9, 1.0, 5687302, 6935044, 12566.627, 452.57187947091927, 0.0, 0.0
0, 118000, 0.8, 0.7, 5785593, 7054820, 12588.952, 459.5770164188409, 0.0, 0.0
0, 120000, 1.0, 1.0, 5883594, 7174638, 12610.961, 466.5460467287148, 0.0, 0.0
0, 122000, 1.0, 1.0, 5981958, 7294473, 12632.876, 473.5230520746028, 0.0, 0.0
0, 124000, 0.4, 0.6, 6080357, 7414276, 12654.989, 480.4711406702922, 0.0, 0.0
0, 126000, 1.0, 1.0, 6178757, 7533962, 12677.783, 487.3688877621584, 0.0, 0.0
0, 128000, 0.7, 0.7, 6276887, 7653654, 12701.173, 494.1974257023347, 0.0, 0.0
0, 130000, 0.8, 0.8, 6375082, 7773385, 12722.755, 501.0771644977837, 0.0, 0.0
0, 132000, 0.25, 0.8, 6473186, 7893133, 12744.941, 507.9023904465309, 0.0, 0.0
0, 134000, 0.8, 0.7, 6571355, 8012831, 12766.931, 514.7168884988882, 0.0, 0.0
0, 136000, 1.0, 0.8, 6669604, 8132752, 12788.639, 521.5257073094331, 0.0, 0.0
0, 138000, 0.9, 0.8, 6767354, 8252380, 12811.035, 528.2441270357938, 0.0, 0.0
0, 140000, 1.0, 1.0, 6865540, 8372135, 12833.052, 534.9888709248587, 0.0, 0.0
0, 142000, 0.5, 0.5, 6963729, 8491900, 12854.697, 541.7264210895053, 0.0, 0.0
0, 144000, 1.0, 1.0, 7061798, 8611628, 12876.218, 548.437281816757, 0.0, 0.0
0, 146000, 0.20000000000000004, 0.25, 7159825, 8731240, 12897.715, 555.1235238179786, 0.0, 0.0
0, 148000, 0.19999999999999998, 0.0, 7257907, 8850923, 12919.329, 561.7866841226817, 0.0, 0.0
0, 150000, 0.19999999999999996, 0.29999999999999993, 7356450, 8970800, 12940.654, 568.4759054681471, 0.0, 0.0
0, 152000, 0.09999999999999998, 0.4, 7454737, 9090717, 12963.141, 575.0718132279824, 0.0, 0.0
0, 154000, 0.09999999999999998, -0.1, 7552831, 9210289, 12985.983, 581.6141142337858, 0.0, 0.0
0, 156000, 0.20000000000000004, -0.10000000000000006, 7651272, 9330004, 13008.117, 588.1921265007072, 0.0, 0.0
0, 158000, 1.0, 1.0, 7749379, 9449732, 13029.993, 594.7339342392586, 0.0, 0.0
0, 160000, 0.9, 0.9, 7847204, 9569399, 13051.887, 601.2313775011996, 0.0, 0.0
0, 162000, 1.0, 1.0, 7945380, 9689010, 13073.422, 607.7505950622568, 0.0, 0.0
0, 164000, 0.6, 0.30000000000000004, 8043459, 9808511, 13095.604, 614.2106160204601, 0.0, 0.0
0, 166000, 0.39999999999999997, 0.39999999999999997, 8141729, 9928228, 13117.763, 620.6644379838239, 0.0, 0.0
0, 168000, 0.8500000000000001, 0.65, 8239901, 10047882, 13140.297, 627.0711384986199, 0.0, 0.0
0, 170000, 1.0, 0.7, 8338053, 10167524, 13162.519, 633.4693989805447, 0.0, 0.0
0, 172000, 0.09999999999999998, -0.09999999999999998, 8436603, 10287416, 13185.014, 639.8630293452856, 0.0, 0.0
0, 174000, 0.7000000000000001, 0.7000000000000001, 8534760, 10407257, 13208.218, 646.1704372232499, 0.0, 0.0
0, 176000, 0.30000000000000004, 0.4, 8632832, 10526922, 13231.538, 652.4435783655687, 0.0, 0.0
0, 178000, 0.20000000000000004, 0.44999999999999996, 8730920, 10646659, 13254.176, 658.7297467605682, 0.0, 0.0
0, 180000, 0.4, 0.6, 8829060, 10766439, 13276.74, 665.002101419475, 0.0, 0.0
0, 182000, 0.9, 0.9, 8927111, 10885998, 13298.94, 671.2648526875074, 0.0, 0.0
0, 184000, 0.30000000000000004, 0.6000000000000001, 9025274, 11005707, 13321.498, 677.4969301500477, 0.0, 0.0
0, 186000, 0.7000000000000001, 0.30000000000000004, 9123417, 11125491, 13344.017, 683.7084365225254, 0.0, 0.0
0, 188000, 0.7000000000000001, 0.20000000000000007, 9221547, 11245166, 13366.526, 689.8985570371838, 0.0, 0.0
0, 190000, 0.8, 0.8, 9319555, 11364949, 13389.568, 696.0310444668567, 0.0, 0.0
0, 192000, 0.9, 0.8, 9417829, 11484621, 13412.06, 702.1910877225423, 0.0, 0.0
0, 194000, 0.8, 0.8, 9516029, 11604502, 13434.474, 708.3291091262672, 0.0, 0.0
0, 196000, 0.65, 0.7, 9614422, 11724243, 13457.294, 714.4394705205965, 0.0, 0.0
0, 198000, 1.0, 0.7, 9712381, 11843772, 13480.212, 720.4917103677598, 0.0, 0.0
0, 200000, 0.6, 0.8, 9810665, 11963407, 13503.921, 726.5049166090353, 0.0, 0.0
0, 202000, 0.5, 0.8, 9908584, 12083007, 13526.905, 732.5093212379328, 0.0, 0.0
0, 204000, 0.9, 1.0, 10006730, 12202876, 13549.519, 738.5302755027687, 0.0, 0.0
0, 206000, 0.9, 0.9, 10104965, 12322739, 13572.035, 744.5430991004665, 0.0, 0.0
0, 208000, 0.8, 0.6, 10203149, 12442419, 13595.554, 750.4768838401142, 0.0, 0.0
0, 210000, 0.7000000000000001, 0.8, 10301217, 12562137, 13620.495, 756.3026894397009, 0.0, 0.0
0, 212000, 0.6, 0.7, 10399597, 12681936, 13644.657, 762.1735746087278, 0.0, 0.0
