P0: TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: false
P0: TDNTuple3Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.2, gamma: 1.0, random 50 6-tuple, evalQ: 10, evalT: 10
P1: Edax2: depth:3, moveTime:10.0
P1: games.Othello.Edax.Edax2:
Start state = ---------------------------XO------OX---------------------------
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 0, 0, -1, +0.00, 0, 0, 0
1, 1, 1, 19, +0.00, 0, 0, 0
1, 1, 0, 20, +0.00, 0, 0, 0
1, 1, 1, 29, +0.00, 0, 0, 0
1, 1, 0, 18, +0.00, 0, 0, 0
1, 1, 1, 10, +0.00, 0, 0, 0
1, 1, 0, 11, +0.00, 0, 0, 0
1, 1, 1, 3, +0.00, 0, 0, 0
1, 1, 0, 2, +0.00, 0, 0, 0
1, 1, 1, 1, +0.00, 0, 0, 0
1, 1, 0, 43, +0.00, 0, 0, 0
1, 1, 1, 44, +0.00, 0, 0, 0
1, 1, 0, 37, +0.00, 0, 0, 0
1, 1, 1, 45, +0.00, 0, 0, 0
1, 1, 0, 52, +0.00, 0, 0, 0
1, 1, 1, 59, +0.00, 0, 0, 0
1, 1, 0, 61, +0.00, 0, 0, 0
1, 1, 1, 50, +0.00, 0, 0, 0
1, 1, 0, 42, +0.00, 0, 0, 0
1, 1, 1, 34, +0.00, 0, 0, 0
1, 1, 0, 26, +0.00, 0, 0, 0
1, 1, 1, 21, +0.00, 0, 0, 0
1, 1, 0, 25, +0.00, 0, 0, 0
1, 1, 1, 53, +0.00, 0, 0, 0
1, 1, 0, 57, +0.00, 0, 0, 0
1, 1, 1, 33, +0.00, 0, 0, 0
1, 1, 0, 40, +0.00, 0, 0, 0
1, 1, 1, 16, +0.00, 0, 0, 0
1, 1, 0, 32, +0.00, 0, 0, 0
1, 1, 1, 17, +0.00, 0, 0, 0
1, 1, 0, 51, +0.00, 0, 0, 0
1, 1, 1, 4, +0.00, 0, 0, 0
1, 1, 0, 41, +0.00, 0, 0, 0
1, 1, 1, 24, +0.00, 0, 0, 0
1, 1, 0, 8, +0.00, 0, 0, 0
1, 1, 1, 58, +0.00, 0, 0, 0
1, 1, 0, 60, +0.00, 0, 0, 0
1, 1, 1, 49, +0.00, 0, 0, 0
1, 1, 0, 62, +0.00, 0, 0, 0
1, 1, 1, 9, +0.00, 0, 0, 0
1, 1, 0, 0, +0.00, 0, 0, 0
1, 1, 1, 54, +0.00, 0, 0, 0
1, 1, 1, 48, +0.00, 0, 0, 0
1, 1, 1, 56, +0.00, 0, 0, 0
1, 1, 0, 55, +0.00, 0, 0, 0
1, 1, 1, 63, +0.00, 0, 0, 0
1, 1, 0, 47, +0.00, 0, 0, 0
1, 1, 1, 39, +0.00, 0, 0, 0
1, 1, 1, 46, +0.00, 0, 0, 0
1, 1, 1, 38, +0.00, 0, 0, 0
1, 1, 0, 30, +0.00, 0, 0, 0
1, 1, 1, 31, +0.00, 0, 0, 0
1, 1, 1, 5, +0.00, 0, 0, 0
1, 1, 0, 12, +0.00, 0, 0, 0
1, 1, 1, 13, +0.00, 0, 0, 0
1, 1, 1, 6, +0.00, 0, 0, 0
1, 1, 0, 23, +0.00, 0, 0, 0
1, 1, 1, 15, +0.00, 0, 0, 0
1, 1, 1, 22, +1.00, 0, 0, 0
