TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, time, RB_batch
0, 2000, -0.9999999999999999, -0.3, 115555, 113555, 104.279, 1108.132989384248, 0.0, 0.0
0, 4000, -0.9999999999999999, -0.2, 231219, 227219, 161.441, 1432.219820243928, 0.0, 0.0
0, 6000, -0.7999999999999999, -0.09999999999999998, 346991, 340991, 261.502, 1326.9152817186866, 0.0, 0.0
0, 8000, 0.49999999999999994, -0.44999999999999996, 462592, 454592, 389.056, 1189.0113505510776, 0.0, 0.0
0, 10000, 0.0, -0.05, 578293, 568293, 523.731, 1104.1794356263044, 0.0, 0.0
0, 12000, -0.9999999999999999, -0.35000000000000003, 694009, 682009, 655.091, 1059.4085401875464, 0.0, 0.0
0, 14000, -0.5499999999999999, -0.19999999999999996, 809110, 795110, 719.717, 1124.2057642100992, 0.0, 0.0
0, 16000, -0.19999999999999996, -0.3999999999999999, 924258, 908258, 777.908, 1188.1327869105344, 0.0, 0.0
0, 18000, 0.3999999999999999, 0.10000000000000002, 1040124, 1022124, 836.026, 1244.128771114774, 0.0, 0.0
0, 20000, -0.9999999999999999, -0.19999999999999996, 1155613, 1135613, 893.083, 1293.9592400706317, 0.0, 0.0
1, 2000, -0.6499999999999999, -0.4, 115335, 113335, 55.619, 2073.6618781351694, 0.0, 0.0
1, 4000, -0.09999999999999998, -0.55, 230807, 226807, 112.262, 2055.9672908018742, 0.0, 0.0
1, 6000, -0.8999999999999999, 0.0, 346480, 340480, 170.853, 2027.942149098933, 0.0, 0.0
1, 8000, -0.9999999999999999, -0.5, 462199, 454199, 227.731, 2029.5831485392855, 0.0, 0.0
1, 10000, -0.09999999999999998, -0.6, 577894, 567894, 287.651, 2009.0109194822892, 0.0, 0.0
1, 12000, -0.29999999999999993, -0.29999999999999993, 693488, 681488, 348.023, 1992.6499110690959, 0.0, 0.0
1, 14000, -0.9999999999999999, 0.30000000000000004, 808532, 794532, 404.885, 1996.942341652568, 0.0, 0.0
1, 16000, 0.0, 0.30000000000000004, 923956, 907956, 460.956, 2004.4342627062017, 0.0, 0.0
1, 18000, 0.04999999999999999, -0.29999999999999993, 1039522, 1021522, 517.36, 2009.2817380547394, 0.0, 0.0
1, 20000, -0.3499999999999999, -0.10000000000000002, 1155229, 1135229, 574.47, 2010.9474820269118, 0.0, 0.0
0, 2000, -0.95, -0.29999999999999993, 199900, 113231, 93.319, 2142.114681897577, 0.0, 100.0
0, 4000, -0.7999999999999999, 0.29999999999999993, 399900, 226723, 187.446, 2133.414423353926, 0.0, 100.0
0, 6000, -0.9999999999999999, -0.8999999999999999, 599900, 340365, 286.481, 2094.0306687005423, 0.0, 100.0
0, 8000, -0.8999999999999999, -0.7999999999999999, 799900, 453053, 434.727, 1840.0053366825618, 0.0, 100.0
0, 10000, 0.04999999999999999, 0.0, 999900, 566780, 634.888, 1574.9234510653846, 0.0, 100.0
0, 12000, -0.7999999999999999, -0.45, 1199900, 680208, 730.045, 1643.5973124944353, 0.0, 100.0
0, 14000, -0.7999999999999999, -0.8999999999999999, 1399900, 793630, 925.359, 1512.8182683693572, 0.0, 100.0
0, 16000, -0.2, 0.29999999999999993, 1599900, 906991, 1138.14, 1405.7145869576677, 0.0, 100.0
0, 18000, 0.49999999999999994, 0.6, 1799900, 1019931, 1349.853, 1333.4044521884975, 0.0, 100.0
0, 20000, 0.7, 0.5, 1999900, 1133547, 1478.195, 1352.9338145508543, 0.0, 100.0
1, 2000, -0.3999999999999999, -0.6499999999999999, 199900, 113610, 100.021, 1998.580298137391, 0.0, 100.0
1, 4000, -0.8999999999999999, -0.25, 399900, 227325, 279.701, 1429.7410449015197, 0.0, 100.0
1, 6000, -0.6, -0.5, 599900, 340998, 371.442, 1615.0569940932905, 0.0, 100.0
1, 8000, -0.9999999999999999, -0.5, 799900, 454794, 474.239, 1686.7022745915035, 0.0, 100.0
1, 10000, -0.7, 0.0, 999900, 568495, 607.434, 1646.1047619988344, 0.0, 100.0
1, 12000, -0.9999999999999999, -0.6, 1199900, 682360, 711.098, 1687.3904862620905, 0.0, 100.0
1, 14000, -0.5, 0.7, 1399900, 796366, 816.967, 1713.5331047643297, 0.0, 100.0
1, 16000, 0.49999999999999994, -0.1, 1599900, 910297, 1025.633, 1559.914706332577, 0.0, 100.0
1, 18000, 0.09999999999999998, 0.09999999999999999, 1799900, 1023738, 1186.764, 1516.6452639277904, 0.0, 100.0
1, 20000, -0.7999999999999999, -0.3999999999999999, 1999900, 1137699, 1278.41, 1564.3651097848108, 0.0, 100.0
