TDNTuple4Agt: USESYM:false, P:7, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 60 7-tuple, evalQ: 1, evalT: -1
from: TCL4-p13-3000k-60-7t-stub.agt.zip
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; ; 
0; 100000; 0.5657692307692307; 0.0; 1018208; 1018208; 42.04; 24219.980970504283; 0.0; 0.0
0; 200000; 0.643846153846154; 0.0; 1959202; 1959202; 80.165; 24439.61828728248; 0.0; 0.0
0; 300000; 0.7223076923076925; 0.0; 2874344; 2874344; 119.912; 23970.44499299486; 0.0; 0.0
0; 400000; 0.7611538461538461; 0.0; 3774351; 3774351; 179.842; 20987.038622791115; 0.0; 0.0
0; 500000; 0.8007692307692308; 0.0; 4653882; 4653882; 232.736; 19996.399353774235; 0.0; 0.0
0; 600000; 0.8119230769230769; 0.0; 5532742; 5532742; 284.478; 19448.751748817132; 0.0; 0.0
0; 700000; 0.8446153846153847; 0.0; 6404456; 6404456; 333.812; 19185.817166548833; 0.0; 0.0
0; 800000; 0.8403846153846154; 0.0; 7264924; 7264924; 383.775; 18930.16481011009; 0.0; 0.0
0; 900000; 0.8642307692307694; 0.0; 8116421; 8116421; 424.007; 19142.186331829427; 0.0; 0.0
0; 1000000; 0.8607692307692308; 0.0; 8960444; 8960444; 458.673; 19535.581994143977; 0.0; 0.0
0; 1100000; 0.8846153846153848; 0.0; 9799840; 9799840; 500.018; 19598.97443692027; 0.0; 0.0
0; 1200000; 0.886923076923077; 0.0; 10630094; 10630094; 544.123; 19536.19677903709; 0.0; 0.0
0; 1300000; 0.8892307692307694; 0.0; 11458475; 11458475; 581.032; 19720.90177477316; 0.0; 0.0
0; 1400000; 0.8961538461538463; 0.0; 12279931; 12279931; 628.728; 19531.388772251277; 0.0; 0.0
0; 1500000; 0.9096153846153848; 0.0; 13098764; 13098764; 676.994; 19348.41963148861; 0.0; 0.0
0; 1600000; 0.9076923076923078; 0.0; 13912023; 13912023; 724.549; 19200.94155122704; 0.0; 0.0
0; 1700000; 0.9003846153846153; 0.0; 14716755; 14716755; 777.057; 18939.09327114999; 0.0; 0.0
0; 1800000; 0.9169230769230771; 0.0; 15515003; 15515003; 823.527; 18839.701673412044; 0.0; 0.0
0; 1900000; 0.9230769230769231; 0.0; 16312838; 16312838; 864.156; 18877.191155300665; 0.0; 0.0
0; 2000000; 0.9199999999999999; 0.0; 17103812; 17103812; 905.699; 18884.653731537743; 0.0; 0.0
0; 2100000; 0.9315384615384615; 0.0; 17894092; 17894092; 954.408; 18748.891459417773; 0.0; 0.0
0; 2200000; 0.9330769230769231; 0.0; 18675646; 18675646; 998.55; 18702.765009263432; 0.0; 0.0
