TDNTuple4Agt: USESYM:false, nSym:0, P:7, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, eps_init->final:0.0->0.0, gamma: 1.0, random 60 7-tuple, evalQ: 1, evalT: -1, stepRew: -0.04, rewPos: 1.0
agtFile; run; maxDepth; cubeSz; iterMWrap; EPS; p_MWrap; c_puct; winrate; pTwist; EE
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 1.0; 6.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 0.975; 7.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 0.945; 8.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 0.89; 9.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 0.925; 10.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 0.895; 11.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 0.87; 12.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 0; 1.0E-8; 0; 1.0; 0.865; 13.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 100; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 100; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 100; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-60-7t_00.agt.zip; 0; 50; 2x2x2; 100; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
