TDNTuple4Agt: USESYM:false, P:7, NORMALIZE:false, sigmoid:none, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 60 7-tuple, evalQ: 1, evalT: -1
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, pTwist, EE
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 1.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 2.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 3.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 4.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 5.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 6.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 7.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 8.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.985, 9.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.95, 10.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.945, 11.0, 20.0
TCL4-p16-3000k-60-7t-lam05.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.905, 12.0, 20.0
