TDNTuple4Agt: USESYM:false, P:7, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 60 7-tuple, evalQ: 1, evalT: -1
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, pTwist, EE
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 1.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 2.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 3.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 4.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 5.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 6.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 7.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 8.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.975, 9.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.98, 10.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.89, 11.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.85, 12.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.77, 13.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.755, 14.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.7, 15.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.6599999999999999, 16.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 1.0, 1.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 1.0, 2.0, 20.0
TCL4-p16-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 1.0, 3.0, 20.0
