TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, pTwist, user2
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.895, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.69, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.29000000000000004, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.18999999999999995, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.06000000000000005, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.955, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.52, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.18000000000000005, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.09999999999999998, 9.0, 0.0
