TDNTuple4Agt: USESYM:false, nSym:0, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, eps_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1, stepRew: -0.04, rewPos: 1.0
agtFile; run; maxDepth; cubeSz; iterMWrap; EPS; p_MWrap; c_puct; winrate; pTwist; EE
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.99; 5.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.795; 6.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.52; 7.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.25; 8.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.12; 9.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.98; 5.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.8049999999999999; 6.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.5549999999999999; 7.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.26; 8.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.10999999999999999; 9.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 0.995; 6.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 0.945; 7.0; 50.0
