TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; pTwist; EE
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 5.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.775; 6.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.515; 7.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.27; 8.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.125; 9.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 0.975; 5.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 0.845; 6.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 0.605; 7.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 0.26; 8.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 0.21499999999999997; 9.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 800; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 800; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 800; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 800; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 800; 1.0E-8; 0; 1.0; 1.0; 5.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 800; 1.0E-8; 0; 1.0; 1.0; 6.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 800; 1.0E-8; 0; 1.0; 0.94; 7.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 800; 1.0E-8; 0; 1.0; 0.7050000000000001; 8.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 1; 0; 800; 1.0E-8; 0; 1.0; 0.525; 9.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
