TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, pTwist, EE
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 1.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 2.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 3.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 4.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.97, 5.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.785, 6.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.5, 7.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.20999999999999996, 8.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.09999999999999998, 9.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.37, 1.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.31999999999999995, 2.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.345, 3.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.32999999999999996, 4.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.33499999999999996, 5.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.32999999999999996, 6.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.33499999999999996, 7.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.21999999999999997, 8.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.07999999999999996, 9.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 1.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 2.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 3.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 4.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 5.0, 20.0
TCL4-p9-2000k-120-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 0.95, 6.0, 20.0
