TDNTuple4Agt: USESYM:false, nSym:0, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, eps_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1, stepRew: -1.0, rewPos: 1.0
from: Unknown
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; rewardPos; stepReward
0; 50000; 0.4965384615384615; 0.0; 718117; 718117; 76.448; 9393.535475094182; 1.0E-4; -0.04
0; 100000; 0.5549999999999999; 0.0; 1293053; 1293053; 134.06; 9645.330449052663; 1.0E-4; -0.04
0; 150000; 0.6050000000000001; 0.0; 1837244; 1837244; 187.117; 9818.690979440671; 1.0E-4; -0.04
0; 200000; 0.6157692307692308; 0.0; 2361166; 2361166; 237.399; 9945.981238337146; 1.0E-4; -0.04
0; 250000; 0.6276923076923079; 0.0; 2871332; 2871332; 286.354; 10027.21107440441; 1.0E-4; -0.04
0; 300000; 0.6373076923076924; 0.0; 3373646; 3373646; 334.657; 10080.906719417195; 1.0E-4; -0.04
0; 350000; 0.6503846153846153; 0.0; 3867381; 3867381; 381.593; 10134.832137906093; 1.0E-4; -0.04
0; 400000; 0.663076923076923; 0.0; 4360829; 4360829; 428.765; 10170.673912282953; 1.0E-4; -0.04
0; 450000; 0.663076923076923; 0.0; 4848018; 4848018; 475.135; 10203.453755248509; 1.0E-4; -0.04
0; 500000; 0.6730769230769231; 0.0; 5332691; 5332691; 520.717; 10241.054161857593; 1.0E-4; -0.04
0; 550000; 0.6757692307692309; 0.0; 5815051; 5815051; 566.121; 10271.745792860538; 1.0E-4; -0.04
0; 600000; 0.6884615384615386; 0.0; 6295478; 6295478; 611.322; 10298.137479102666; 1.0E-4; -0.04
0; 650000; 0.6792307692307691; 0.0; 6771558; 6771558; 657.502; 10298.91620101536; 1.0E-4; -0.04
0; 700000; 0.673846153846154; 0.0; 7245713; 7245713; 702.353; 10316.340928279655; 1.0E-4; -0.04
0; 750000; 0.6830769230769231; 0.0; 7719227; 7719227; 746.667; 10338.245831140253; 1.0E-4; -0.04
0; 800000; 0.6919230769230769; 0.0; 8191805; 8191805; 791.361; 10351.539941948113; 1.0E-4; -0.04
0; 850000; 0.6838461538461539; 0.0; 8663444; 8663444; 835.453; 10369.756287906082; 1.0E-4; -0.04
0; 900000; 0.6919230769230769; 0.0; 9133281; 9133281; 879.872; 10380.23826192901; 1.0E-4; -0.04
0; 950000; 0.683076923076923; 0.0; 9600326; 9600326; 923.564; 10394.868141244136; 1.0E-4; -0.04
0; 1000000; 0.6907692307692309; 0.0; 10067491; 10067491; 968.505; 10394.877672288734; 1.0E-4; -0.04
0; 1050000; 0.6942307692307691; 0.0; 10531583; 10531583; 1012.832; 10398.153889292598; 1.0E-4; -0.04
0; 1100000; 0.6934615384615384; 0.0; 10997784; 10997784; 1057.597; 10398.841902917653; 1.0E-4; -0.04
0; 1150000; 0.6903846153846153; 0.0; 11465103; 11465103; 1102.741; 10396.913690522071; 1.0E-4; -0.04
0; 1200000; 0.6976923076923076; 0.0; 11930640; 11930640; 1148.196; 10390.76952018645; 1.0E-4; -0.04
0; 1250000; 0.6992307692307692; 0.0; 12392286; 12392286; 1192.543; 10391.479384810444; 1.0E-4; -0.04
0; 1300000; 0.6926923076923077; 0.0; 12853430; 12853430; 1236.053; 10398.769308435802; 1.0E-4; -0.04
0; 1350000; 0.6938461538461537; 0.0; 13312620; 13312620; 1279.964; 10400.776896850224; 1.0E-4; -0.04
0; 1400000; 0.6957692307692306; 0.0; 13774572; 13774572; 1323.474; 10407.89014366735; 1.0E-4; -0.04
0; 1450000; 0.7073076923076921; 0.0; 14237922; 14237922; 1367.786; 10409.46610069119; 1.0E-4; -0.04
0; 1500000; 0.701153846153846; 0.0; 14695718; 14695718; 1411.013; 10415.012476851738; 1.0E-4; -0.04
0; 1550000; 0.698076923076923; 0.0; 15150220; 15150220; 1454.27; 10417.749111237941; 1.0E-4; -0.04
0; 1600000; 0.6999999999999998; 0.0; 15609384; 15609384; 1499.51; 10409.656487786011; 1.0E-4; -0.04
0; 1650000; 0.715; 0.0; 16066739; 16066739; 1543.67; 10408.143579910213; 1.0E-4; -0.04
0; 1700000; 0.7173076923076924; 0.0; 16522389; 16522389; 1587.099; 10410.43375365998; 1.0E-4; -0.04
0; 1750000; 0.7107692307692308; 0.0; 16979217; 16979217; 1630.586; 10412.953993226974; 1.0E-4; -0.04
