TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: 1;;;;;;;;;
from: TCL4-p13-ET16-3000k-120-7t-stub.agt.zip;;;;;;;;;
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; ucol1; ucol2 
0;100000;0.623076923;0.616153846;888012;888012;77.112;11515.87302;0;0
0;200000;0.651923077;0.643076923;1718898;1718898;149.586;11491.03526;0;0
0;300000;0.655;0.665;2533687;2533687;221.388;11444.55436;0;0
0;400000;0.660384615;0.665769231;3337028;3337028;290.847;11473.48262;0;0
0;500000;0.679230769;0.684230769;4129091;4129091;358.936;11503.69704;0;0
0;600000;0.693461538;0.681538462;4920579;4920579;427.214;11517.83181;0;0
0;700000;0.7;0.696153846;5704785;5704785;495.306;11517.69815;0;0
0;800000;0.699615385;0.69;6486205;6486205;563.069;11519.37862;0;0
0;900000;0.692307692;0.696538462;7261897;7261897;630.108;11524.84495;0;0
0;1000000;0.712307692;0.702307692;8037600;8037600;697.491;11523.58955;0;0
0;1100000;0.698076923;0.687307692;8806620;8806620;764.101;11525.46587;0;0
0;1200000;0.702692308;0.704615385;9579577;9579577;831.418;11521.97451;0;0
0;1300000;0.705384615;0.702307692;10352562;10352562;899.441;11509.99565;0;0
0;1400000;0.706538462;0.707692308;11120848;11120848;966.319;11508.4646;0;0
0;1500000;0.722307692;0.716538462;11886985;11886985;1032.761;11509.90888;0;0
0;1600000;0.715769231;0.718461538;12651372;12651372;1099.157;11510.06817;0;0
0;1700000;0.706923077;0.718076923;13416828;13416828;1165.828;11508.41119;0;0
0;1800000;0.718076923;0.717307692;14179376;14179376;1232.146;11507.87001;0;0
0;1900000;0.718076923;0.726538462;14941837;14941837;1299.399;11499.03686;0;0
0;2000000;0.721153846;0.723461538;15701999;15701999;1366.77;11488.39893;0;0
0;2100000;0.714615385;0.721538462;16462745;16462745;1433.804;11481.86572;0;0
0;2200000;0.713846154;0.716538462;17222564;17222564;1500.489;11477.96752;0;0
0;2300000;0.712307692;0.715;17981471;17981471;1566.461;11479.04161;0;0
0;2400000;0.719230769;0.708461538;18737755;18737755;1632.134;11480.52488;0;0
0;2500000;0.725;0.731153846;19493777;19493777;1697.65;11482.80093;0;0
0;2600000;0.717307692;0.723461538;20248436;20248436;1764.258;11477.0266;0;0
0;2700000;0.724230769;0.738846154;21004016;21004016;1830.755;11472.87103;0;0
0;2800000;0.722307692;0.724615385;21755802;21755802;1898.901;11457.0491;0;0
0;2900000;0.721153846;0.724230769;22509060;22509060;1967.988;11437.60023;0;0
0;3000000;0.717692308;0.731153846;23261906;23261906;2036.78;11420.92224;0;0
1;100000;0.62;0.618846154;891055;891055;85.365;10438.17724;0;0
1;200000;0.645769231;0.631923077;1725559;1725559;164.988;10458.69397;0;0
1;300000;0.660384615;0.654230769;2543657;2543657;242.704;10480.49064;0;0
1;400000;0.679230769;0.666153846;3346288;3346288;319.279;10480.76447;0;0
1;500000;0.68;0.680769231;4143264;4143264;395.775;10468.73602;0;0
1;600000;0.683846154;0.676153846;4935207;4935207;471.873;10458.76115;0;0
1;700000;0.676153846;0.688076923;5721647;5721647;547.053;10459.03596;0;0
1;800000;0.686153846;0.688461538;6503544;6503544;621.539;10463.61371;0;0
1;900000;0.689230769;0.696923077;7284503;7284503;696.118;10464.46579;0;0
1;1000000;0.686538462;0.696153846;8066024;8066024;770.868;10463.56056;0;0
1;1100000;0.693461538;0.696923077;8843808;8843808;845.322;10462.05825;0;0
1;1200000;0.692307692;0.708846154;9615835;9615835;919.242;10460.6132;0;0
1;1300000;0.696923077;0.705769231;10388534;10388534;993.14;10460.2916;0;0
1;1400000;0.706538462;0.701923077;11159317;11159317;1066.993;10458.65999;0;0
1;1500000;0.695769231;0.713461538;11929356;11929356;1140.743;10457.53163;0;0
1;1600000;0.710769231;0.710769231;12695490;12695490;1214.037;10457.2513;0;0
1;1700000;0.713846154;0.706153846;13462981;13462981;1287.232;10458.86134;0;0
1;1800000;0.713076923;0.709615385;14228205;14228205;1359.274;10467.50324;0;0
1;1900000;0.701153846;0.706923077;14992280;14992280;1431.305;10474.55294;0;0
1;2000000;0.716153846;0.703076923;15754657;15754657;1503.383;10479.46997;0;0
1;2100000;0.716153846;0.712692308;16518704;16518704;1575.512;10484.65769;0;0
1;2200000;0.715769231;0.718076923;17279922;17279922;1647.645;10487.64874;0;0
1;2300000;0.718846154;0.713076923;18041017;18041017;1720.006;10488.92678;0;0
1;2400000;0.715;0.726538462;18801204;18801204;1793.386;10483.63487;0;0
1;2500000;0.721538462;0.711153846;19559206;19559206;1867.261;10474.81097;0;0
1;2600000;0.715384615;0.703461538;20315706;20315706;1939.627;10474.02722;0;0
1;2700000;0.713846154;0.723846154;21072212;21072212;2012.402;10471.17425;0;0
1;2800000;0.727692308;0.707692308;21833033;21833033;2084.894;10472.01105;0;0
1;2900000;0.719615385;0.72;22590547;22590547;2156.749;10474.35144;0;0
1;3000000;0.725;0.724230769;23345678;23345678;2228.436;10476.26138;0;0
2;100000;0.615769231;0.621153846;888437;888436;81.508;10899.99755;0;0
