TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1;;;;;;;;;
from: TCL4-p13-ET16-3000k-120-7t-nsym08-stub.agt.zip;;;;;;;;;
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; ucol1; ucol2 
0;100000;0.713076923;0;866237;866237;702.646;1232.821364;0;0
0;200000;0.722692308;0;1676299;1676299;1370.481;1223.146472;0;0
0;300000;0.750769231;0;2469925;2469925;2015.295;1225.589802;0;0
0;400000;0.752692308;0;3245736;3245736;2655.888;1222.090691;0;0
0;500000;0.751538462;0;4017873;4017873;3309.072;1214.199328;0;0
0;600000;0.753076923;0;4786369;4786369;3975.064;1204.098601;0;0
0;700000;0.751153846;0;5547303;5547303;4618.354;1201.142875;0;0
0;800000;0.763846154;0;6302120;6302120;5254.441;1199.38924;0;0
0;900000;0.760384615;0;7062076;7062076;5893.309;1198.321011;0;0
0;1000000;0.76;0;7815257;7815257;6528.923;1197.020856;0;0
0;1100000;0.769230769;0;8564348;8564348;7161.785;1195.839864;0;0
0;1200000;0.770384615;0;9312417;9312417;7792.41;1195.062503;0;0
0;1300000;0.761153846;0;10058312;10058312;8426.625;1193.6347;0;0
0;1400000;0.765384615;0;10804428;10804428;9077.13;1190.291204;0;0
0;1500000;0.765;0;11549035;11549035;9707.598;1189.690282;0;0
0;1600000;0.772307692;0;12294008;12294008;10337.841;1189.22394;0;0
0;1700000;0.769230769;0;13034345;13034345;10973.398;1187.813018;0;0
0;1800000;0.769230769;0;13774052;13774052;11600.771;1187.339359;0;0
0;1900000;0.757307692;0;14514595;14514595;12221.984;1187.58092;0;0
0;2000000;0.786153846;0;15252708;15252708;12847.252;1187.23506;0;0
0;2100000;0.771923077;0;15990545;15990545;13480.157;1186.228395;0;0
0;2200000;0.766538462;0;16727547;16727547;14100.636;1186.297341;0;0
0;2300000;0.774230769;0;17462253;17462253;14722.822;1186.066978;0;0
0;2400000;0.776923077;0;18196699;18196699;15343.498;1185.955054;0;0
0;2500000;0.780769231;0;18928727;18928727;15961.273;1185.915873;0;0
0;2600000;0.785;0;19659976;19659976;16588.117;1185.18431;0;0
0;2700000;0.776923077;0;20393948;20393948;17217.565;1184.48503;0;0
0;2800000;0.773076923;0;21125656;21125656;17837.088;1184.366865;0;0
0;2900000;0.775;0;21855944;21855944;18451.979;1184.47696;0;0
0;3000000;0.774615385;0;22585463;22585463;19065.033;1184.653759;0;0
1;100000;0.708461538;0;865275;865275;768.587;1125.799682;0;0
1;200000;0.73;0;1678115;1678115;1487.887;1127.851107;0;0
1;300000;0.729230769;0;2467815;2467815;2201.31;1121.066547;0;0
1;400000;0.754615385;0;3248784;3248784;2892.493;1123.177826;0;0
1;500000;0.750769231;0;4020843;4020843;3577.471;1123.934478;0;0
1;600000;0.759230769;0;4791295;4791295;4262.786;1123.982062;0;0
1;700000;0.753846154;0;5551059;5551059;4959.03;1119.384033;0;0
1;800000;0.755;0;6309353;6309353;5647.78;1117.138593;0;0
1;900000;0.769615385;0;7066473;7066473;6325.73;1117.100003;0;0
1;1000000;0.77;0;7819066;7819066;6994.282;1117.922612;0;0
1;1100000;0.768076923;0;8572166;8572166;7660.565;1118.999186;0;0
1;1200000;0.758076923;0;9319083;9319083;8321.888;1119.827977;0;0
1;1300000;0.765;0;10064078;10064078;8983.639;1120.267411;0;0
1;1400000;0.766153846;0;10810248;10810248;9645.047;1120.808224;0;0
1;1500000;0.768846154;0;11552493;11552493;10306.405;1120.904234;0;0
1;1600000;0.77;0;12294347;12294347;10964.955;1121.240078;0;0
1;1700000;0.785769231;0;13034172;13034172;11620.185;1121.683691;0;0
1;1800000;0.773846154;0;13773063;13773063;12274.834;1122.056966;0;0
1;1900000;0.764230769;0;14513582;14513582;12930.823;1122.402031;0;0
1;2000000;0.767692308;0;15251725;15251725;13596.451;1121.743093;0;0
1;2100000;0.780769231;0;15988139;15988139;14256.12;1121.493015;0;0
1;2200000;0.773076923;0;16723939;16723939;14908.285;1121.788254;0;0
1;2300000;0.767307692;0;17460325;17460325;15558.755;1122.218648;0;0
1;2400000;0.781538462;0;18195872;18195872;16210.74;1122.457827;0;0
1;2500000;0.774615385;0;18929132;18929132;16862.952;1122.527776;0;0
1;2600000;0.781923077;0;19659097;19659097;17509.944;1122.738999;0;0
1;2700000;0.780384615;0;20390983;20390983;18157.777;1122.988954;0;0
1;2800000;0.781538462;0;21120921;21120921;18804.101;1123.20823;0;0
1;2900000;0.778076923;0;21849330;21849330;19451.677;1123.26202;0;0
1;3000000;0.790384615;0;22581316;22581316;20099.884;1123.455041;0;0
2;100000;0.704615385;0;848724;848724;725.222;1170.295441;0;0
2;200000;0.728076923;0;1648126;1648126;1420.636;1160.132504;0;0
2;300000;0.730769231;0;2432084;2432084;2106.148;1154.754557;0;0
2;400000;0.740384615;0;3205135;3205135;2767.554;1158.111097;0;0
2;500000;0.745;0;3969058;3969058;3418.827;1160.941457;0;0
2;600000;0.760384615;0;4728398;4728398;4069.546;1161.898158;0;0
2;700000;0.743846154;0;5484750;5484750;4720.594;1161.877086;0;0
2;800000;0.758076923;0;6237752;6237752;5368.695;1161.874906;0;0
2;900000;0.760384615;0;6989858;6989858;6011.623;1162.723943;0;0
2;1000000;0.770384615;0;7733716;7733716;6649.111;1163.120303;0;0
2;1100000;0.773846154;0;8479445;8479445;7293.469;1162.607944;0;0
2;1200000;0.767307692;0;9220633;9220633;7928.516;1162.970851;0;0
2;1300000;0.761538462;0;9958802;9958802;8564.304;1162.826775;0;0
2;1400000;0.776923077;0;10697049;10697049;9196.666;1163.144231;0;0
2;1500000;0.771923077;0;11434832;11434832;9845.679;1161.406136;0;0
2;1600000;0.778846154;0;12169987;12169987;10480.17;1161.239465;0;0
2;1700000;0.776923077;0;12903604;12903604;11106.102;1161.848144;0;0
2;1800000;0.776153846;0;13638420;13638420;11734.75;1162.225015;0;0
2;1900000;0.775;0;14370180;14370180;12359.747;1162.659721;0;0
2;2000000;0.768461538;0;15104374;15104374;12988.598;1162.894871;0;0
2;2100000;0.779615385;0;15836068;15836068;13618.325;1162.84991;0;0
