TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1;;;;;;;;;
from: TCL4-p13-ET16-3000k-120-7t-nsym16-stub.agt.zip;;;;;;;;;
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond;  ucol1; ucol2 
0;100000;0.743846154;0;774478;774478;1246.728;621.2084753;0;0
0;200000;0.769230769;0;1507952;1507952;2402.156;627.7494051;0;0
0;300000;0.775384615;0;2231553;2231553;3585.022;622.4656362;0;0
0;400000;0.776153846;0;2946373;2946373;4752.279;619.9915872;0;0
0;500000;0.783846154;0;3658940;3658940;5913.365;618.7576786;0;0
0;600000;0.785;0;4370660;4370660;7074.523;617.8027833;0;0
0;700000;0.783846154;0;5078183;5078183;8224.441;617.4502316;0;0
0;800000;0.792307692;0;5782097;5782097;9390.175;615.7603027;0;0
0;900000;0.795769231;0;6488797;6488797;10534.279;615.9697308;0;0
0;1000000;0.793846154;0;7191127;7191127;11677.057;615.8338527;0;0
0;1100000;0.795769231;0;7892164;7892164;12815.949;615.8080061;0;0
0;1200000;0.79;0;8595287;8595287;13967.695;615.3690355;0;0
0;1300000;0.800384615;0;9292458;9292458;15101.95;615.3151083;0;0
0;1400000;0.793461538;0;9992893;9992893;16239.617;615.3404357;0;0
0;1500000;0.799615385;0;10688000;10688000;17397.286;614.3486978;0;0
0;1600000;0.793846154;0;11387334;11387334;18532.461;614.4534177;0;0
0;1700000;0.805769231;0;12084294;12084294;19664.86;614.5120789;0;0
0;1800000;0.805384615;0;12782631;12782631;20794.682;614.7067313;0;0
0;1900000;0.799615385;0;13480020;13480020;21926.764;614.7747109;0;0
0;2000000;0.802692308;0;14177178;14177178;23063.563;614.7002525;0;0
0;2100000;0.810384615;0;14871796;14871796;24212.26;614.2258509;0;0
0;2200000;0.800769231;0;15566724;15566724;25357.909;613.8804268;0;0
0;2300000;0.805;0;16259985;16259985;26484.832;613.9357425;0;0
0;2400000;0.806538462;0;16955196;16955196;27614.134;614.0042632;0;0
0;2500000;0.801923077;0;17647662;17647662;28730.69;614.2442802;0;0
0;2600000;0.805384615;0;18341088;18341088;29851.857;614.4035863;0;0
0;2700000;0.82;0;19032294;19032294;30968.541;614.568636;0;0
0;2800000;0.804230769;0;19722262;19722262;32082.116;614.7431797;0;0
0;2900000;0.813076923;0;20414709;20414709;33221.858;614.4963054;0;0
0;3000000;0.806153846;0;21105732;21105732;34344.217;614.5352506;0;0
1;100000;0.747692308;0;770357;770357;1376.441;559.673099;0;0
1;200000;0.766538462;0;1506526;1506526;2704.429;557.0588098;0;0
