TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1;;;;;;;;;
from: TCL4-p20-ET23-5000k-120-7t-nsym24-stub.agt.zip;;;;;;;;;
run; gameNum; evalQ; evalT; actionNum; trnMoves; totalTrainSec; movesSecond; ; 
0;100000;0.50975;0;1398708;1398708;3383.169;413.4313125;0;0
0;200000;0.52075;0;2754341;2754341;6639.893;414.8170761;0;0
0;300000;0.54175;0;4096105;4096105;9893.066;414.0379737;0;0
0;400000;0.54275;0;5418360;5418360;13081.296;414.2066658;0;0
0;500000;0.53825;0;6741071;6741071;16276.501;414.1597141;0;0
0;600000;0.544;0;8060233;8060233;19455.137;414.2984447;0;0
0;700000;0.54475;0;9376429;9376429;22627.586;414.3804381;0;0
0;800000;0.55475;0;10686649;10686649;25803.826;414.1497854;0;0
0;900000;0.5535;0;11994212;11994212;28969.165;414.0337493;0;0
0;1000000;0.55525;0;13300157;13300157;32129.223;413.9582523;0;0
0;1100000;0.557;0;14601733;14601733;35250.987;414.2219621;0;0
0;1200000;0.56125;0;15900024;15900024;38374.688;414.3362416;0;0
0;1300000;0.5555;0;17202190;17202190;41532.065;414.1905778;0;0
0;1400000;0.56;0;18498511;18498511;44643.252;414.3629814;0;0
0;1500000;0.56125;0;19800710;19800710;47785.415;414.367229;0;0
0;1600000;0.5565;0;21091847;21091847;50899.697;414.3806003;0;0
0;1700000;0.56675;0;22388121;22388121;54029.384;414.369355;0;0
0;1800000;0.5655;0;23679115;23679115;57138.592;414.4154445;0;0
0;1900000;0.5575;0;24974170;24974170;60244.928;414.543943;0;0
0;2000000;0.5645;0;26266969;26266969;63386.926;414.3909582;0;0
0;2100000;0.5635;0;27556706;27556706;66491.549;414.4392244;0;0
0;2200000;0.56625;0;28848605;28848605;69621.113;414.3657543;0;0
0;2300000;0.55325;0;30139827;30139827;72737.679;414.3633316;0;0
0;2400000;0.56525;0;31421966;31421966;75798.614;414.54539;0;0
0;2500000;0.5575;0;32710063;32710063;78910.996;414.5184405;0;0
0;2600000;0.56925;0;33994175;33994175;82002.794;414.5489848;0;0
0;2700000;0.56925;0;35284009;35284009;85116.06;414.5399705;0;0
0;2800000;0.572;0;36573193;36573193;88209.802;414.6159743;0;0
0;2900000;0.56775;0;37858748;37858748;91284.564;414.7332949;0;0
0;3000000;0.56775;0;39143835;39143835;94384.602;414.726917;0;0
0;3100000;0.56075;0;40426348;40426348;97474.506;414.7376546;0;0
0;3200000;0.55875;0;41711022;41711022;100575.56;414.7232389;0;0
0;3300000;0.565;0;42997621;42997621;103680.03;414.7145887;0;0
0;3400000;0.5665;0;44274603;44274603;106741.448;414.7836087;0;0
0;3500000;0.5765;0;45551965;45551965;109833.078;414.7381265;0;0
0;3600000;0.57175;0;46835168;46835168;112922.653;414.7544072;0;0
0;3700000;0.569;0;48118113;48118113;115996.398;414.8242;0;0
0;3800000;0.5655;0;49400512;49400512;119104.764;414.7652062;0;0
0;3900000;0.57425;0;50673956;50673956;122154.739;414.8341392;0;0
0;4000000;0.5745;0;51957786;51957786;125245.015;414.8491339;0;0
0;4100000;0.58275;0;53236363;53236363;128320.294;414.8709556;0;0
0;4200000;0.576;0;54514419;54514419;131396.289;414.88553;0;0
0;4300000;0.56675;0;55788554;55788554;134489.999;414.8156325;0;0
0;4400000;0.57225;0;57068464;57068464;137570.337;414.8311711;0;0
0;4500000;0.5755;0;58348727;58348727;140648.822;414.8540043;0;0
0;4600000;0.57125;0;59625828;59625828;143733.866;414.8349283;0;0
0;4700000;0.56875;0;60903491;60903491;146813.073;414.8369744;0;0
0;4800000;0.571;0;62179219;62179219;149878.95;414.862921;0;0
0;4900000;0.5745;0;63457761;63457761;152961.464;414.8610986;0;0
0;5000000;0.57075;0;64732643;64732643;156015.152;414.91254;0;0
1;100000;0.4975;0;1400435;1400435;3236.601;432.6869453;0;0
1;200000;0.53425;0;2759549;2759549;6378.882;432.6069992;0;0
1;300000;0.53325;0;4104022;4104022;9488.996;432.5032912;0;0
1;400000;0.543;0;5438445;5438445;12592.299;431.886584;0;0
1;500000;0.5445;0;6764632;6764632;15660.172;431.9640934;0;0
1;600000;0.53425;0;8083858;8083858;18695.903;432.3866036;0;0
1;700000;0.54075;0;9400240;9400240;21758.354;432.0290037;0;0
1;800000;0.54625;0;10715789;10715789;24802.408;432.0463158;0;0
1;900000;0.54825;0;12028575;12028575;27820.702;432.3605853;0;0
1;1000000;0.54625;0;13333714;13333714;30860.675;432.0616448;0;0
1;1100000;0.54975;0;14642081;14642081;33867.683;432.3319372;0;0
1;1200000;0.547;0;15947046;15947046;36878.226;432.4244339;0;0
1;1300000;0.54575;0;17254745;17254745;39923.128;432.1992255;0;0
1;1400000;0.55225;0;18558033;18558033;42918.456;432.4021582;0;0
1;1500000;0.557;0;19857502;19857502;45902.374;432.6029412;0;0
1;1600000;0.55;0;21160747;21160747;48923.838;432.5242635;0;0
1;1700000;0.56575;0;22461910;22461910;51916.681;432.6530427;0;0
1;1800000;0.558;0;23758604;23758604;54898.862;432.7704279;0;0
1;1900000;0.5495;0;25060195;25060195;57934.192;432.5631227;0;0
1;2000000;0.55075;0;26359571;26359571;60929.99;432.6206356;0;0
1;2100000;0.56525;0;27657566;27657566;63922.363;432.6743365;0;0
1;2200000;0.56175;0;28956465;28956465;66940.136;432.5725451;0;0
1;2300000;0.5545;0;30252164;30252164;69919.143;432.6735526;0;0
1;2400000;0.56075;0;31549907;31549907;72901.776;432.7728175;0;0
1;2500000;0.56075;0;32841852;32841852;75907.321;432.65724;0;0
1;2600000;0.5695;0;34133678;34133678;78877.957;432.7403916;0;0
1;2700000;0.56025;0;35423523;35423523;81861.808;432.723438;0;0
1;2800000;0.56375;0;36715867;36715867;84856.773;432.6804532;0;0
1;2900000;0.57325;0;38005202;38005202;87823.73;432.7441114;0;0
1;3000000;0.562;0;39298549;39298549;90803.64;432.7860535;0;0
1;3100000;0.567;0;40590161;40590161;93792.216;432.7668407;0;0
1;3200000;0.56375;0;41878488;41878488;96754.734;432.8314106;0;0
1;3300000;0.55975;0;43165126;43165126;99717.961;432.8721282;0;0
1;3400000;0.5645;0;44448473;44448473;102672.692;432.9142651;0;0
1;3500000;0.56475;0;45737130;45737130;105631.537;432.9874515;0;0
1;3600000;0.565;0;47023350;47023350;108592.149;433.0271611;0;0
1;3700000;0.5595;0;48309747;48309747;111543.712;433.1014822;0;0
1;3800000;0.56725;0;49596842;49596842;114527.071;433.0578052;0;0
1;3900000;0.56975;0;50881752;50881752;117486.549;433.0857654;0;0
1;4000000;0.55825;0;52172182;52172182;120480.307;433.0349357;0;0
1;4100000;0.5685;0;53461809;53461809;123471.554;432.9888729;0;0
1;4200000;0.57;0;54746704;54746704;126441.099;432.981874;0;0
1;4300000;0.57;0;56031872;56031872;129407.391;432.98819;0;0
1;4400000;0.56875;0;57318329;57318329;132394.811;432.9348603;0;0
1;4500000;0.56825;0;58600256;58600256;135340.522;432.9838184;0;0
1;4600000;0.56275;0;59884688;59884688;138305.235;432.989308;0;0
1;4700000;0.565;0;61162233;61162233;141279.06;432.9178931;0;0
1;4800000;0.573;0;62443441;62443441;144234.848;432.9289479;0;0
1;4900000;0.562;0;63724622;63724622;147292.567;432.6397679;0;0
1;5000000;0.56475;0;65005023;65005023;150335.304;432.4002498;0;0
2;100000;0.50625;0;1413600;1413600;3434.187;411.6258084;0;0
2;200000;0.5235;0;2775467;2775467;6727.268;412.5697088;0;0
2;300000;0.5255;0;4118183;4118183;9963.821;413.3136274;0;0
2;400000;0.52975;0;5448113;5448113;13152.834;414.2159021;0;0
2;500000;0.53025;0;6777899;6777899;16359.749;414.3033613;0;0
2;600000;0.54;0;8107575;8107575;19575.263;414.174512;0;0
2;700000;0.53375;0;9427640;9427640;22771.605;414.0085866;0;0
2;800000;0.553;0;10745890;10745890;25954.886;414.0218531;0;0
2;900000;0.54625;0;12056833;12056833;29113.816;414.12754;0;0
2;1000000;0.5465;0;13368784;13368784;32279.118;414.1619979;0;0
2;1100000;0.55025;0;14675148;14675148;35436.904;414.1204886;0;0
2;1200000;0.54675;0;15984758;15984758;38606.656;414.0415062;0;0
2;1300000;0.5485;0;17292608;17292608;41764.441;414.0509866;0;0
2;1400000;0.55275;0;18599148;18599148;44905.604;414.1832276;0;0
2;1500000;0.55125;0;19904458;19904458;48040.352;414.3278967;0;0
2;1600000;0.55875;0;21200596;21200596;51167.168;414.339836;0;0
2;1700000;0.559;0;22502513;22502513;54319.356;414.2632508;0;0
2;1800000;0.55925;0;23806895;23806895;57454.58;414.3602651;0;0
2;1900000;0.552;0;25102119;25102119;60580.393;414.3604516;0;0
2;2000000;0.56;0;26394654;26394654;63693.172;414.4031954;0;0
2;2100000;0.5575;0;27690947;27690947;66826.127;414.373064;0;0
2;2200000;0.55375;0;28988486;28988486;69964.476;414.3314959;0;0
2;2300000;0.556;0;30283379;30283379;73071.604;414.4342993;0;0
2;2400000;0.561;0;31578804;31578804;76183.85;414.5078517;0;0
2;2500000;0.5625;0;32870777;32870777;79313.159;414.4429173;0;0
2;2600000;0.557;0;34159877;34159877;82432.787;414.3967254;0;0
2;2700000;0.5645;0;35450542;35450542;85554.471;414.3622371;0;0
2;2800000;0.561;0;36739267;36739267;88654.177;414.4110096;0;0
2;2900000;0.56125;0;38026250;38026250;91767.957;414.373941;0;0
2;3000000;0.563;0;39315998;39315998;94888.208;414.3401886;0;0
2;3100000;0.55975;0;40607431;40607431;97996.854;414.3748431;0;0
2;3200000;0.55875;0;41900875;41900875;101122.554;414.3573648;0;0
2;3300000;0.56575;0;43192317;43192317;104237.586;414.3641335;0;0
2;3400000;0.55925;0;44479024;44479024;107340.541;414.3730187;0;0
2;3500000;0.561;0;45764282;45764282;110437.097;414.3922943;0;0
