TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: 1
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; pTwist; EE
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 1.0; 2.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 1.0; 5.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 0.99; 6.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 0.92; 7.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 0.73; 8.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 0.62; 9.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 0.45999999999999996; 10.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 0.31000000000000005; 11.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 0.21999999999999997; 12.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 10.0; 0.16500000000000004; 13.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 1.0; 2.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 1.0; 5.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 0.99; 6.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 0.965; 7.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 0.92; 8.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 0.72; 9.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 0.615; 10.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 0.475; 11.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 0.33499999999999996; 12.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 10.0; 0.20999999999999996; 13.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 1.0; 2.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 1.0; 5.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 0.995; 6.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 0.985; 7.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 0.865; 8.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 0.75; 9.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 0.6599999999999999; 10.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 0.52; 11.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 0.36; 12.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 200; 1.0E-8; 0; 10.0; 0.26; 13.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 500; 1.0E-8; 0; 10.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 500; 1.0E-8; 0; 10.0; 1.0; 2.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 500; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 1; 0; 500; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
