TDNTuple4Agt: USESYM:false, nSym:0, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
from: multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_00.agt.zip
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 1; 1; 1.0; 0.0; 0.048; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 1; 1; 1.0; 0.0; 0.163; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 1; 1; 1.0; 0.0; 1.792; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 2; 2; 1.0; 0.0; 0.029; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 2; 2; 1.0; 0.0; 0.669; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 2; 2; 1.0; 0.0; 4.131; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 3; 3; 1.0; 0.0; 0.044; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 3; 3; 1.0; 0.0; 0.856; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 3; 3; 1.0; 0.0; 6.044; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 4; 4; 1.0; 0.0; 0.057; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 4; 4; 1.0; 0.0; 1.298; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 4; 4; 0.995; 0.0; 8.868; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 5; 5; 1.0; 0.0; 0.053; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 5; 5; 1.0; 0.0; 1.512; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 5; 5; 1.0; 0.0; 10.414; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 6; 6; 0.985; 0.0; 0.092; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 6; 6; 1.0; 0.0; 1.984; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 6; 6; 0.995; 0.0; 13.696; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 7; 7; 0.875; 0.0; 0.124; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 7; 7; 0.995; 0.0; 2.71; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 7; 7; 0.995; 0.0; 15.793; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 8; 8; 0.76; 0.0; 0.179; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 8; 8; 0.935; 0.0; 6.847; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 8; 8; 0.975; 0.0; 31.752; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 9; 9; 0.5700000000000001; 0.0; 0.266; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 9; 9; 0.86; 0.0; 11.576; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 9; 9; 0.915; 0.0; 72.583; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 10; 10; 0.43999999999999995; 0.0; 0.327; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 10; 10; 0.6950000000000001; 0.0; 21.676; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 10; 10; 0.795; 0.0; 143.698; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 11; 11; 0.30500000000000005; 0.0; 0.395; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 11; 11; 0.585; 0.0; 27.883; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 11; 11; 0.63; 0.0; 245.559; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 12; 12; 0.22499999999999998; 0.0; 0.421; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 12; 12; 0.49; 0.0; 32.715; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 12; 12; 0.45499999999999996; 0.0; 346.041; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 13; 13; 0.14500000000000002; 0.0; 0.464; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 13; 13; 0.31999999999999995; 0.0; 42.765; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 13; 13; 0.38; 0.0; 396.343; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 14; 14; 0.06499999999999995; 0.0; 0.493; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 14; 14; 0.20999999999999996; 0.0; 47.882; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 14; 14; 0.27; 0.0; 442.638; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 15; 15; 0.08499999999999996; 0.0; 0.497; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym00_01.agt.zip; 5000000; 0; 15; 15; 0.21999999999999997; 0.0; 47.711; 100.0; 0.0
