TDNTuple4Agt: USESYM:true, nSym:24, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
from: multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_02.agt.zip
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 1; 1; 1.0; 0.0; 0.279; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 1; 1; 1.0; 0.0; 0.384; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 1; 1; 1.0; 0.0; 7.839; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 2; 2; 1.0; 0.0; 0.451; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 2; 2; 1.0; 0.0; 6.405; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 2; 2; 1.0; 0.0; 18.809; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 3; 3; 1.0; 0.0; 0.753; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 3; 3; 1.0; 0.0; 12.428; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 3; 3; 1.0; 0.0; 28.069; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 4; 4; 1.0; 0.0; 0.778; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 4; 4; 1.0; 0.0; 19.422; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 4; 4; 1.0; 0.0; 44.224; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 5; 5; 1.0; 0.0; 0.97; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 5; 5; 1.0; 0.0; 25.259; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 5; 5; 0.97; 0.0; 122.652; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 6; 6; 1.0; 0.0; 1.275; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 6; 6; 1.0; 0.0; 30.695; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 6; 6; 0.955; 0.0; 203.77; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 7; 7; 0.985; 0.0; 1.717; 0.0; 0.0
1; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 7; 7; 1.0; 0.0; 36.797; 100.0; 0.0
2; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 7; 7; 0.985; 0.0; 159.375; 800.0; 0.0
0; multiEval/TCL4-p20-ET23-5000k-120-7t-nsym24_01.agt.zip; 5000000; 24; 8; 8; 0.94; 0.0; 2.375; 0.0; 0.0
