TDNTuple4Agt: USESYM:true, nSym:16, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, eps_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1, stepRew: -0.04, rewPos: 1.0;;;;;;;;;;
from: multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym16_01.agt.zip;;;;;;;;;;
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;1;1;1;0;0.143;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;1;1;1;0;0.174;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;1;1;1;0;7.883;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;2;2;1;0;0.133;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;2;2;1;0;3.354;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;2;2;1;0;13.777;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;3;3;1;0;0.199;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;3;3;1;0;5.799;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;3;3;1;0;19.012;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;4;4;0.995;0;0.337;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;4;4;1;0;10.108;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;4;4;1;0;30.131;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;5;5;0.995;0;0.599;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;5;5;1;0;13.513;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;5;5;1;0;45.482;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;6;6;0.985;0;0.621;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;6;6;1;0;17.515;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;6;6;1;0;67.902;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;7;7;0.955;0;0.745;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;7;7;1;0;19.144;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;7;7;1;0;76.387;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;8;8;0.875;0;1.22;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;8;8;0.98;0;30.424;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;8;8;1;0;96.791;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;9;9;0.685;0;2.202;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;9;9;0.935;0;54.367;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;9;9;0.995;0;138.81;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;10;10;0.65;0;2.562;0;0
1; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;10;10;0.895;0;79.286;100;0
2; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;10;10;0.985;0;275.007;800;0
0; multiTrain2/TCL4-p13-ET16-3000k-120-7t-nsym08_01.agt.zip;3000000;8;11;11;0.46;0;4.739;0;0
