TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
from: multiEval/TCL4-p13-ET16-3000k-120-7t-nsym24_01.agt.zip
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 1; 1; 1.0; 0.0; 0.051; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 1; 1; 1.0; 0.0; 1.331; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 1; 1; 1.0; 0.0; 8.816; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 2; 2; 1.0; 0.0; 0.028; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 2; 2; 1.0; 0.0; 2.697; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 2; 2; 1.0; 0.0; 19.386; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 3; 3; 1.0; 0.0; 0.037; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 3; 3; 1.0; 0.0; 3.245; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 3; 3; 1.0; 0.0; 26.777; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 4; 4; 1.0; 0.0; 0.047; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 4; 4; 1.0; 0.0; 4.323; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 4; 4; 1.0; 0.0; 37.384; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 5; 5; 1.0; 0.0; 0.06; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 5; 5; 1.0; 0.0; 5.629; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 5; 5; 1.0; 0.0; 43.981; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 6; 6; 0.97; 0.0; 0.081; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 6; 6; 1.0; 0.0; 6.712; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 6; 6; 1.0; 0.0; 55.688; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 7; 7; 0.89; 0.0; 0.135; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 7; 7; 0.97; 0.0; 9.605; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 7; 7; 0.975; 0.0; 75.089; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 8; 8; 0.72; 0.0; 0.209; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 8; 8; 0.86; 0.0; 16.453; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 8; 8; 0.87; 0.0; 138.802; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 9; 9; 0.615; 0.0; 0.285; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 9; 9; 0.775; 0.0; 21.648; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 9; 9; 0.755; 0.0; 205.406; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 10; 10; 0.43999999999999995; 0.0; 0.358; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 10; 10; 0.625; 0.0; 30.867; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 10; 10; 0.5900000000000001; 0.0; 291.077; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 11; 11; 0.31499999999999995; 0.0; 0.429; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 11; 11; 0.47; 0.0; 40.217; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 11; 11; 0.48; 0.0; 357.481; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 12; 12; 0.25; 0.0; 0.432; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 12; 12; 0.32999999999999996; 0.0; 47.791; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 12; 12; 0.31999999999999995; 0.0; 436.143; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.16500000000000004; 0.0; 0.488; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.22499999999999998; 0.0; 53.298; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.22999999999999998; 0.0; 489.69; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 1; 1; 1.0; 0.0; 0.118; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 1; 1; 1.0; 0.0; 8.711; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 1; 1; 1.0; 0.0; 62.258; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 2; 2; 1.0; 0.0; 0.134; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 2; 2; 1.0; 0.0; 16.666; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 2; 2; 1.0; 0.0; 137.596; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 3; 3; 1.0; 0.0; 0.205; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 3; 3; 1.0; 0.0; 24.745; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 3; 3; 1.0; 0.0; 201.409; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 4; 4; 0.995; 0.0; 0.372; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 4; 4; 1.0; 0.0; 31.912; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 4; 4; 1.0; 0.0; 255.793; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 5; 5; 1.0; 0.0; 0.506; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 5; 5; 1.0; 0.0; 40.841; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 5; 5; 1.0; 0.0; 318.022; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 6; 6; 0.98; 0.0; 0.57; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 6; 6; 1.0; 0.0; 47.857; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 6; 6; 1.0; 0.0; 408.334; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 7; 7; 0.94; 0.0; 0.842; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 7; 7; 0.99; 0.0; 61.563; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 7; 7; 0.985; 0.0; 516.025; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 8; 8; 0.875; 0.0; 1.22; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 8; 8; 0.94; 0.0; 93.675; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 8; 8; 0.945; 0.0; 754.314; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 9; 9; 0.755; 0.0; 2.161; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 9; 9; 0.84; 0.0; 146.672; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 9; 9; 0.91; 0.0; 930.401; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 10; 10; 0.615; 0.0; 2.61; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 10; 10; 0.74; 0.0; 201.884; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 10; 10; 0.77; 0.0; 1518.67; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 11; 11; 0.42000000000000004; 0.0; 3.492; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 11; 11; 0.595; 0.0; 271.689; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 11; 11; 0.72; 0.0; 1724.881; 800.0; 0.0
