TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
from: multiEval/TCL4-p13-ET16-3000k-120-7t-nsym24_01.agt.zip
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 1; 1; 1.0; 0.0; 0.054; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 1; 1; 1.0; 0.0; 0.128; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 1; 1; 1.0; 0.0; 0.096; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 1; 1; 1.0; 0.0; 0.558; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 1; 1; 1.0; 0.0; 0.966; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 1; 1; 1.0; 0.0; 1.63; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 2; 2; 1.0; 0.0; 0.025; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 2; 2; 1.0; 0.0; 0.094; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 2; 2; 1.0; 0.0; 0.77; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 2; 2; 1.0; 0.0; 1.487; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 2; 2; 1.0; 0.0; 2.215; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 2; 2; 1.0; 0.0; 3.494; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 3; 3; 1.0; 0.0; 0.031; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 3; 3; 1.0; 0.0; 0.154; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 3; 3; 1.0; 0.0; 0.936; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 3; 3; 1.0; 0.0; 1.722; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 3; 3; 1.0; 0.0; 2.947; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 3; 3; 1.0; 0.0; 5.266; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 4; 4; 1.0; 0.0; 0.049; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 4; 4; 1.0; 0.0; 0.422; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 4; 4; 1.0; 0.0; 1.495; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 4; 4; 1.0; 0.0; 2.709; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 4; 4; 1.0; 0.0; 4.085; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 4; 4; 1.0; 0.0; 7.431; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 5; 5; 1.0; 0.0; 0.054; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 5; 5; 1.0; 0.0; 0.656; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 5; 5; 1.0; 0.0; 1.915; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 5; 5; 1.0; 0.0; 3.067; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 5; 5; 1.0; 0.0; 5.432; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 5; 5; 1.0; 0.0; 10.812; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 6; 6; 0.98; 0.0; 0.078; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 6; 6; 0.995; 0.0; 1.183; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 6; 6; 1.0; 0.0; 2.366; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 6; 6; 1.0; 0.0; 3.862; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 6; 6; 0.995; 0.0; 7.291; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 6; 6; 0.995; 0.0; 14.819; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 7; 7; 0.875; 0.0; 0.142; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 7; 7; 0.92; 0.0; 3.725; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 7; 7; 0.985; 0.0; 3.688; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 7; 7; 1.0; 0.0; 4.795; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 7; 7; 1.0; 0.0; 8.853; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 7; 7; 0.995; 0.0; 18.927; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 8; 8; 0.7050000000000001; 0.0; 0.205; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 8; 8; 0.795; 0.0; 7.886; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 8; 8; 0.95; 0.0; 6.813; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 8; 8; 0.975; 0.0; 9.751; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 8; 8; 0.96; 0.0; 25.027; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 8; 8; 0.965; 0.0; 44.557; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 9; 9; 0.605; 0.0; 0.274; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 9; 9; 0.735; 0.0; 9.878; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 9; 9; 0.855; 0.0; 12.807; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 9; 9; 0.945; 0.0; 13.968; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 9; 9; 0.945; 0.0; 30.969; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 9; 9; 0.945; 0.0; 67.432; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 10; 10; 0.45499999999999996; 0.0; 0.308; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 10; 10; 0.65; 0.0; 12.163; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 10; 10; 0.72; 0.0; 21.549; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 10; 10; 0.775; 0.0; 39.331; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 10; 10; 0.875; 0.0; 56.941; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 10; 10; 0.86; 0.0; 139.514; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 11; 11; 0.32999999999999996; 0.0; 0.387; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 11; 11; 0.45499999999999996; 0.0; 17.787; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 11; 11; 0.6; 0.0; 29.737; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 11; 11; 0.64; 0.0; 59.395; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 11; 11; 0.755; 0.0; 100.69; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 11; 11; 0.785; 0.0; 196.083; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 12; 12; 0.20999999999999996; 0.0; 0.443; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 12; 12; 0.37; 0.0; 20.79; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 12; 12; 0.44999999999999996; 0.0; 39.477; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 12; 12; 0.53; 0.0; 76.636; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 12; 12; 0.5700000000000001; 0.0; 162.107; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 12; 12; 0.665; 0.0; 278.976; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.135; 0.0; 0.469; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.21999999999999997; 0.0; 25.024; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.375; 0.0; 43.525; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.38; 0.0; 99.01; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.48; 0.0; 194.13; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.5700000000000001; 0.0; 348.821; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 1; 1; 1.0; 0.0; 0.116; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 1; 1; 1.0; 0.0; 0.103; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 1; 1; 1.0; 0.0; 0.116; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 1; 1; 1.0; 0.0; 3.141; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 1; 1; 1.0; 0.0; 4.891; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 1; 1; 1.0; 0.0; 6.099; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 2; 2; 1.0; 0.0; 0.124; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 2; 2; 1.0; 0.0; 0.17; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 2; 2; 1.0; 0.0; 2.97; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 2; 2; 1.0; 0.0; 7.082; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 2; 2; 1.0; 0.0; 10.274; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 2; 2; 1.0; 0.0; 13.221; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 3; 3; 1.0; 0.0; 0.191; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 3; 3; 1.0; 0.0; 1.238; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 3; 3; 1.0; 0.0; 5.308; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 3; 3; 1.0; 0.0; 12.907; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 3; 3; 1.0; 0.0; 13.737; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 3; 3; 0.995; 0.0; 22.687; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 4; 4; 0.995; 0.0; 0.295; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 4; 4; 0.995; 0.0; 3.91; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 4; 4; 1.0; 0.0; 9.003; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 4; 4; 1.0; 0.0; 15.05; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 4; 4; 1.0; 0.0; 19.864; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 4; 4; 1.0; 0.0; 27.581; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 5; 5; 0.995; 0.0; 0.4; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 5; 5; 1.0; 0.0; 5.767; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 5; 5; 1.0; 0.0; 12.494; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 5; 5; 1.0; 0.0; 18.834; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 5; 5; 1.0; 0.0; 23.699; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 5; 5; 1.0; 0.0; 36.572; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 6; 6; 0.985; 0.0; 0.505; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 6; 6; 0.995; 0.0; 7.416; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 6; 6; 1.0; 0.0; 15.603; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 6; 6; 1.0; 0.0; 21.107; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 6; 6; 1.0; 0.0; 30.349; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 6; 6; 1.0; 0.0; 52.861; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 7; 7; 0.985; 0.0; 0.544; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 7; 7; 0.98; 0.0; 13.287; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 7; 7; 1.0; 0.0; 17.299; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 7; 7; 1.0; 0.0; 24.475; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 7; 7; 1.0; 0.0; 38.927; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 7; 7; 1.0; 0.0; 75.211; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 8; 8; 0.815; 0.0; 1.478; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 8; 8; 0.94; 0.0; 25.282; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 8; 8; 0.995; 0.0; 23.3; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 8; 8; 1.0; 0.0; 29.085; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 8; 8; 0.995; 0.0; 62.537; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 8; 8; 0.995; 0.0; 105.917; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 9; 9; 0.73; 0.0; 1.765; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 9; 9; 0.88; 0.0; 38.514; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 9; 9; 0.935; 0.0; 49.486; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 9; 9; 0.95; 0.0; 80.732; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 9; 9; 0.985; 0.0; 95.697; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 9; 9; 0.99; 0.0; 151.868; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 10; 10; 0.5449999999999999; 0.0; 2.78; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip; 3000000; 8; 10; 10; 0.765; 0.0; 69.105; 50.0; 0.0
